 , ,Classe 0,Classe 1,Classe 2,All Class
Execution Number,Accuracy ,Precision/Recall/F-Score,Precision/Recall/F-Score,Precision/Recall/F-Score,Precision/Recall/F-Score/Support,Silhouette Coefficient,Time (seconds)
1,0.505,[ 0.50498339  0.50501672],[ 0.50666667  0.50333333],[ 0.50582363  0.50417362],[   0.50500006    0.505         0.50499862  300.        ],-0.0030748246605566817,135.71199989318848
2,0.48166666666666669,[ 0.48028674  0.48286604],[ 0.44666667  0.51666667],[ 0.46286701  0.49919485],[   0.48157639    0.48166667    0.48103093  300.        ],-0.00050806718870804535,136.367999792099
3,0.505,[ 0.50479233  0.50522648],[ 0.52666667  0.48333333],[ 0.51549755  0.49403748],[   0.50500941    0.505         0.50476752  300.        ],-0.0030747134517262039,128.92799997329712
4,0.5033333333333333,[ 0.5035461   0.50314465],[ 0.47333333  0.53333333],[ 0.48797251  0.51779935],[   0.50334538    0.50333333    0.50288593  300.        ],-0.0032062827685289258,129.77900004386902
5,0.51000000000000001,[ 0.51102941  0.50914634],[ 0.46333333  0.55666667],[ 0.48601399  0.53184713],[   0.51008788    0.51          0.50893056  300.        ],-0.0024227401781219912,128.55099987983704
6,0.47833333333333333,[ 0.47766323  0.4789644 ],[ 0.46333333  0.49333333],[ 0.47038917  0.48604269],[   0.47831382    0.47833333    0.47821593  300.        ],0.00053803645450380925,127.64499998092651
7,0.48166666666666669,[ 0.48184818  0.48148148],[ 0.48666667  0.47666667],[ 0.48424544  0.47906198],[   0.48166483    0.48166667    0.48165371  300.        ],-0.00050909851993987895,128.8769998550415
8,0.49833333333333335,[ 0.49834983  0.4983165 ],[ 0.50333333  0.49333333],[ 0.50082919  0.4958124 ],[   0.49833317    0.49833333    0.49832079  300.        ],-0.0032945904521670209,128.18499994277954
9,0.48833333333333334,[ 0.48805461  0.48859935],[ 0.47666667  0.5       ],[ 0.48229342  0.49423394],[   0.48832698    0.48833333    0.48826368  300.        ],-0.0021226298920832818,128.04099988937378
10,0.53333333333333333,[ 0.53759398  0.52994012],[ 0.47666667  0.59      ],[ 0.50530035  0.55835962],[   0.53376705    0.53333333    0.53182999  300.        ],0.0054157109763619165,127.42499995231628
11,0.49166666666666664,[ 0.49216301  0.4911032 ],[ 0.52333333  0.46      ],[ 0.50726979  0.47504303],[   0.49163311    0.49166667    0.49115641  300.        ],-0.0026826739060804823,127.02600002288818
12,0.48499999999999999,[ 0.48442907  0.48553055],[ 0.46666667  0.50333333],[ 0.475382    0.49427169],[   0.48497981    0.485         0.48482684  300.        ],-0.0013967467246492941,116.91400003433228
13,0.46999999999999997,[ 0.46917808  0.47077922],[ 0.45666667  0.48333333],[ 0.46283784  0.47697368],[   0.46997865    0.47          0.46990576  300.        ],0.0038315021371574543,108.62100005149841
14,0.52666666666666662,[ 0.52547771  0.52797203],[ 0.55        0.50333333],[ 0.53745928  0.51535836],[   0.52672487    0.52666667    0.52640882  300.        ],0.0024004853155542602,109.09800004959106
15,0.51833333333333331,[ 0.51890034  0.51779935],[ 0.50333333  0.53333333],[ 0.51099831  0.52545156],[   0.51834985    0.51833333    0.51822493  300.        ],-0.0005089195342301158,108.4150002002716
16,0.52833333333333332,[ 0.52901024  0.5276873 ],[ 0.51666667  0.54      ],[ 0.5227656   0.53377265],[   0.52834877    0.52833333    0.52826913  300.        ],0.0030969301531277855,108.9359998703003
17,0.48166666666666669,[ 0.48208469  0.48122867],[ 0.49333333  0.47      ],[ 0.48764415  0.47554806],[   0.48165668    0.48166667    0.48159611  300.        ],-0.00050899873604241905,108.80599999427795
18,0.53000000000000003,[ 0.52866242  0.53146853],[ 0.55333333  0.50666667],[ 0.54071661  0.51877133],[   0.53006548    0.53          0.52974397  300.        ],0.0038320281016170094,108.81900000572205
19,0.53166666666666662,[ 0.53264605  0.53074434],[ 0.51666667  0.54666667],[ 0.52453469  0.53858785],[   0.53169519    0.53166667    0.53156127  300.        ],0.0046032824111632165,108.53199982643127
20,0.49666666666666665,[ 0.49655172  0.49677419],[ 0.48        0.51333333],[ 0.48813559  0.50491803],[   0.49666296    0.49666667    0.49652681  300.        ],-0.0032063774912053098,109.24499988555908
21,0.53166666666666662,[ 0.53177258  0.53156146],[ 0.53        0.53333333],[ 0.53088481  0.53244592],[   0.53166702    0.53166667    0.53166537  300.        ],0.0046029337834575003,108.18600010871887
22,0.47166666666666668,[ 0.47079038  0.47249191],[ 0.45666667  0.48666667],[ 0.46362098  0.47947455],[   0.47164114    0.47166667    0.47154776  300.        ],0.0030970529441450879,107.99199986457825
23,0.5,[ 0.5  0.5],[ 0.46333333  0.53666667],[ 0.48096886  0.51768489],[   0.5           0.5           0.49932687  300.        ],-0.0033333333333332984,108.27499985694885
24,0.48833333333333334,[ 0.48852459  0.48813559],[ 0.49666667  0.48      ],[ 0.49256198  0.48403361],[   0.48833009    0.48833333    0.4882978   300.        ],-0.0021226680431987353,108.69500017166138
25,0.5,[ 0.5  0.5],[ 0.55  0.45],[ 0.52380952  0.47368421],[   0.5           0.5           0.49874687  300.        ],-0.0033333333333333348,108.37400007247925
26,0.5033333333333333,[ 0.50328947  0.50337838],[ 0.51        0.49666667],[ 0.50662252  0.5       ],[   0.50333393    0.50333333    0.50331126  300.        ],-0.0032064131713476275,108.69799995422363
27,0.54833333333333334,[ 0.54574132  0.55123675],[ 0.57666667  0.52      ],[ 0.56077796  0.53516295],[   0.54848904    0.54833333    0.54797045  300.        ],0.014292832464672915,108.98900008201599
