 , ,Classe 0,Classe 1,Classe 2,All Class
Execution Number,Accuracy ,Precision/Recall/F-Score,Precision/Recall/F-Score,Precision/Recall/F-Score,Precision/Recall/F-Score/Support,Silhouette Coefficient,Time (seconds)
1,0.53500000000000003,[ 0.53420195  0.53583618],[ 0.54666667  0.52333333],[ 0.54036244  0.52951096],[   0.53501907    0.535         0.5349367   300.        ],0.0062567386400541828,121.44099998474121
2,0.5083333333333333,[ 0.50896057  0.50778816],[ 0.47333333  0.54333333],[ 0.49050086  0.52495974],[   0.50837437    0.50833333    0.5077303   300.        ],-0.0026825865094782788,110.15699982643127
3,0.48333333333333334,[ 0.48310811  0.48355263],[ 0.47666667  0.49      ],[ 0.47986577  0.48675497],[   0.48333037    0.48333333    0.48331037  300.        ],-0.00097309380707668702,129.21600008010864
4,0.52833333333333332,[ 0.52664577  0.53024911],[ 0.56        0.49666667],[ 0.54281099  0.51290878],[   0.52844744    0.52833333    0.52785988  300.        ],0.0030980718885911325,118.04200005531311
5,0.495,[ 0.49484536  0.49514563],[ 0.48  0.51],[ 0.48730964  0.50246305],[   0.4949955     0.495         0.49488635  300.        ],-0.0030747715859134471,124.92199993133545
6,0.42833333333333334,[ 0.42560554  0.43086817],[ 0.41        0.44666667],[ 0.41765705  0.4386252 ],[   0.42823685    0.42833333    0.42814113  300.        ],0.03343718545860639,120.68899989128113
7,0.46833333333333332,[ 0.46712803  0.46945338],[ 0.45        0.48666667],[ 0.45840407  0.47790507],[   0.4682907     0.46833333    0.46815457  300.        ],0.0046034529946030718,118.59299993515015
8,0.49833333333333335,[ 0.4984127   0.49824561],[ 0.52333333  0.47333333],[ 0.51056911  0.48547009],[   0.49832916    0.49833333    0.4980196   300.        ],-0.003294550928628208,111.9300000667572
9,0.52333333333333332,[ 0.52554745  0.52147239],[ 0.48        0.56666667],[ 0.50174216  0.54313099],[   0.52350992    0.52333333    0.52243658  300.        ],0.0011219146458756664,112.875
10,0.505,[ 0.50479233  0.50522648],[ 0.52666667  0.48333333],[ 0.51549755  0.49403748],[   0.50500941    0.505         0.50476752  300.        ],-0.0030747134517262035,102.89800000190735
11,0.51166666666666671,[ 0.51155116  0.51178451],[ 0.51666667  0.50666667],[ 0.51409619  0.50921273],[   0.51166783    0.51166667    0.51165446  300.        ],-0.0021226935465354555,117.94600009918213
12,0.51666666666666672,[ 0.51602564  0.51736111],[ 0.53666667  0.49666667],[ 0.52614379  0.50680272],[   0.51669338    0.51666667    0.51647326  300.        ],-0.00097280626713718954,118.0460000038147
13,0.50166666666666671,[ 0.50167224  0.50166113],[ 0.5         0.50333333],[ 0.50083472  0.50249584],[   0.50166669    0.50166667    0.50166528  300.        ],-0.0032945919172628559,116.76999998092651
14,0.51333333333333331,[ 0.51360544  0.5130719 ],[ 0.50333333  0.52333333],[ 0.50841751  0.51815182],[   0.51333867    0.51333333    0.51328466  300.        ],-0.0017802516969320247,113.38800001144409
15,0.47999999999999998,[ 0.48051948  0.47945205],[ 0.49333333  0.46666667],[ 0.48684211  0.47297297],[   0.47998577    0.48          0.47990754  300.        ],-5.1771839018928863e-06,111.51799988746643
16,0.5083333333333333,[ 0.5088968   0.50783699],[ 0.47666667  0.54      ],[ 0.49225473  0.52342488],[   0.50836689    0.50833333    0.50783981  300.        ],-0.0026826739060804832,108.24500012397766
17,0.46833333333333332,[ 0.46779661  0.46885246],[ 0.46        0.47666667],[ 0.46386555  0.47272727],[   0.46832453    0.46833333    0.46829641  300.        ],0.0046030394141245981,117.76200008392334
18,0.49666666666666665,[ 0.4965035   0.49681529],[ 0.47333333  0.52      ],[ 0.48464164  0.50814332],[   0.49665939    0.49666667    0.49639248  300.        ],-0.0032063368197733197,115.35000014305115
19,0.50166666666666671,[ 0.50165017  0.5016835 ],[ 0.50666667  0.49666667],[ 0.50414594  0.49916248],[   0.50166683    0.50166667    0.50165421  300.        ],-0.0032945904521670209,123.7889997959137
20,0.48333333333333334,[ 0.48333333  0.48333333],[ 0.48333333  0.48333333],[ 0.48333333  0.48333333],[   0.48333333    0.48333333    0.48333333  300.        ],-0.00097313026695910359,119.68300008773804
21,0.45333333333333331,[ 0.45302013  0.45364238],[ 0.45        0.45666667],[ 0.45150502  0.4551495 ],[   0.45333126    0.45333333    0.45332726  300.        ],0.013165706262727256,104.77499985694885
22,0.51333333333333331,[ 0.51388889  0.51282051],[ 0.49333333  0.53333333],[ 0.50340136  0.52287582],[   0.5133547     0.51333333    0.51313859  300.        ],-0.0017800572087368475,114.94199991226196
23,0.47166666666666668,[ 0.4717608   0.47157191],[ 0.47333333  0.47      ],[ 0.47254576  0.47078464],[   0.47166635    0.47166667    0.4716652   300.        ],0.0030967435470941095,122.97200012207031
24,0.48499999999999999,[ 0.48327138  0.48640483],[ 0.43333333  0.53666667],[ 0.456942    0.51030111],[   0.4848381     0.485         0.48362156  300.        ],-0.0013951890770123531,120.97800016403198
25,0.43333333333333335,[ 0.42907801  0.43710692],[ 0.40333333  0.46333333],[ 0.41580756  0.44983819],[   0.43309247    0.43333333    0.43282287  300.        ],0.028822520494416803,122.69900012016296
 ,Accuracy,Precison,Recall,F-Score
Media Final:,0.49246666666666672,0.49246115898705684,0.49246666666666655,0.49221279604998613
