 , ,Classe 0,Classe 1,Classe 2,All Class
Execution Number,Accuracy ,Precision/Recall/F-Score,Precision/Recall/F-Score,Precision/Recall/F-Score,Precision/Recall/F-Score/Support,Silhouette Coefficient,Time (seconds)
1,0.48120300751879697,[ 0.25570776  0.75555556],[ 0.56       0.4548495],[ 0.35109718  0.56784969],[   0.50563166    0.50742475    0.45947343  199.5       ],-0.0073736030156294893,60.97500014305115
2,0.50375939849624063,[ 0.25252525  0.75124378],[ 0.5         0.50501672],[ 0.33557047  0.604     ],[   0.50188452    0.50250836    0.46978523  199.5       ],-0.004850414815767496,65.10800004005432
3,0.50125313283208017,[ 0.26976744  0.77173913],[ 0.58        0.47491639],[ 0.36825397  0.58799172],[   0.52075329    0.52745819    0.47812284  199.5       ],-0.008005662302666746,60.8050000667572
4,0.48370927318295737,[ 0.24519231  0.7434555 ],[ 0.51        0.47491639],[ 0.33116883  0.57959184],[   0.4943239     0.49245819    0.45538033  199.5       ],-0.0032513634562216231,61.12400007247925
5,0.48120300751879697,[ 0.23383085  0.73232323],[ 0.47        0.48494983],[ 0.31229236  0.58350101],[   0.48307704    0.47747492    0.44789668  199.5       ],-0.00097737884441195322,57.51599979400635
6,0.49122807017543857,[ 0.25821596  0.75806452],[ 0.55        0.47157191],[ 0.3514377  0.5814433],[   0.50814024    0.51078595    0.4664405   199.5       ],-0.0069092937524247063,63.25200009346008
7,0.50375939849624063,[ 0.25742574  0.75634518],[ 0.52        0.49832776],[ 0.34437086  0.60080645],[   0.50688546    0.50916388    0.47258866  199.5       ],-0.0047525521089870236,53.699000120162964
8,0.50877192982456143,[ 0.28378378  0.79096045],[ 0.63        0.46822742],[ 0.39130435  0.58823529],[   0.53737212    0.54911371    0.48976982  199.5       ],-0.010296466549886744,56.99000000953674
9,0.51629072681704258,[ 0.24864865  0.74766355],[ 0.46        0.53511706],[ 0.32280702  0.62378168],[   0.4981561     0.49755853    0.47329435  199.5       ],-0.0056352813749218989,58.11199998855591
10,0.49874686716791977,[ 0.26190476  0.76190476],[ 0.55        0.48160535],[ 0.35483871  0.59016393],[   0.51190476    0.51580268    0.47250132  199.5       ],-0.0063669413410296924,60.09599995613098
11,0.54636591478696739,[ 0.29648241  0.795     ],[ 0.59        0.53177258],[ 0.39464883  0.63727455],[   0.54574121    0.56088629    0.51596169  199.5       ],0.016165232860793344,64.68200016021729
12,0.49122807017543857,[ 0.25120773  0.75      ],[ 0.52        0.48160535],[ 0.33876221  0.58655804],[   0.50060386    0.50080268    0.46266013  199.5       ],-0.0051202748743409401,55.700000047683716
13,0.49122807017543857,[ 0.23316062  0.73300971],[ 0.45        0.50501672],[ 0.30716724  0.5980198 ],[   0.48308517    0.47750836    0.45259352  199.5       ],-0.0043398282948541277,67.24499988555908
14,0.50626566416040097,[ 0.2460733   0.74519231],[ 0.47        0.51839465],[ 0.32302405  0.61143984],[   0.4956328     0.49419732    0.46723195  199.5       ],-0.0056526552792879083,61.50600004196167
15,0.48120300751879697,[ 0.2364532   0.73469388],[ 0.48        0.48160535],[ 0.31683168  0.58181818],[   0.48557354    0.48080268    0.44932493  199.5       ],-0.0011913290941695312,62.60899996757507
16,0.47869674185463656,[ 0.22727273  0.72636816],[ 0.45        0.48829431],[ 0.30201342  0.584     ],[   0.47682044    0.46914716    0.44300671  199.5       ],0.00016385514510117293,63.394999980926514
17,0.50125313283208017,[ 0.2408377   0.74038462],[ 0.46        0.51505017],[ 0.3161512   0.60749507],[   0.49061116    0.48752508    0.46182314  199.5       ],-0.0058575752116626157,54.45099997520447
18,0.50375939849624063,[ 0.28508772  0.79532164],[ 0.65       0.4548495],[ 0.39634146  0.5787234 ],[   0.54020468    0.55242475    0.48753243  199.5       ],-0.015316551175156734,50.23199987411499
19,0.46115288220551376,[ 0.19895288  0.70192308],[ 0.38        0.48829431],[ 0.26116838  0.57593688],[   0.45043798    0.43414716    0.41855263  199.5       ],0.0096613634522284726,49.824000120162964
20,0.50626566416040097,[ 0.23783784  0.73831776],[ 0.44        0.52842809],[ 0.30877193  0.61598441],[   0.4880778     0.48421405    0.46237817  199.5       ],-0.0075845017837563268,50.46900010108948
21,0.52130325814536338,[ 0.27135678  0.77      ],[ 0.54        0.51505017],[ 0.36120401  0.61723447],[   0.52067839    0.52752508    0.48921924  199.5       ],0.00013058467148241242,49.99199986457825
22,0.50877192982456143,[ 0.24736842  0.74641148],[ 0.47        0.52173913],[ 0.32413793  0.61417323],[   0.49688995    0.49586957    0.46915558  199.5       ],-0.0055976582161820273,51.354000091552734
23,0.51378446115288223,[ 0.27403846  0.77486911],[ 0.57        0.49498328],[ 0.37012987  0.60408163],[   0.52445379    0.53249164    0.48710575  199.5       ],-0.00340100261167376,51.3989999294281
24,0.51879699248120303,[ 0.26530612  0.7635468 ],[ 0.52        0.51839465],[ 0.35135135  0.61752988],[   0.51442646    0.51919732    0.48444062  199.5       ],-0.0011913290941695329,51.01599979400635
25,0.50125313283208017,[ 0.26315789  0.76315789],[ 0.55        0.48494983],[ 0.35598706  0.59304703],[   0.51315789    0.51747492    0.47451704  199.5       ],-0.0059969590849877205,50.91199994087219
 ,Accuracy,Precison,Recall,F-Score
Media Final:,0.50005012531328319,0.50378096798471939,0.50495852842809374,0.46843026832148843
