 ; ;Classe 0;Classe 1;Classe 2;All Class;;
Execution Number;Accuracy ;Precision/Recall/F-Score;Precision/Recall/F-Score;Precision/Recall/F-Score;Precision/Recall/F-Score/Support;Silhouette Coefficient;Time (seconds)
1;0.32730923694779118;[ 0.33918129  0.31736527  0.325     ];[ 0.34939759  0.31927711  0.31325301];[ 0.34421365  0.31831832  0.3190184 ];[   0.32718219    0.32730924    0.32718346  166.        ];-0.01849178372769452;9.977.600.002.288.810
2;0.36947791164658633;[ 0.37951807  0.37735849  0.35260116];[ 0.37951807  0.36144578  0.36746988];[ 0.37951807  0.36923077  0.35988201];[   0.36982591    0.36947791    0.36954362  166.        ];-0.041089593450617197;8.820.900.011.062.620
3;0.36746987951807231;[ 0.39215686  0.35        0.36216216];[ 0.36144578  0.3373494   0.40361446];[ 0.37617555  0.34355828  0.38176638];[   0.36810634    0.36746988    0.36716674  166.        ];-0.038168711374660109;7.805.099.987.983.700
4;0.32931726907630521;[ 0.3220339   0.34193548  0.3253012 ];[ 0.34337349  0.31927711  0.3253012 ];[ 0.33236152  0.33021807  0.3253012 ];[   0.32975686    0.32931727    0.3292936   166.        ];-0.020854385958978486;7.869.500.017.166.130
5;0.34136546184738958;[ 0.3625      0.33540373  0.32768362];[ 0.34939759  0.3253012   0.34939759];[ 0.35582822  0.33027523  0.33819242];[   0.34186245    0.34136546    0.34143196  166.        ];-0.036914819294001172;7.898.799.991.607.660
6;0.3534136546184739;[ 0.34730539  0.38172043  0.32413793];[ 0.34939759  0.42771084  0.28313253];[ 0.34834835  0.40340909  0.3022508 ];[   0.35105458    0.35341365    0.35133608  166.        ];-0.027982076568189507;807.260.000.705.719
7;0.35140562248995982;[ 0.32934132  0.3625731   0.3625    ];[ 0.3313253   0.37349398  0.34939759];[ 0.33033033  0.36795252  0.35582822];[   0.35147147    0.35140562    0.35137036  166.        ];-0.03750379996453683;7.836.899.995.803.830
8;0.3393574297188755;[ 0.30120482  0.35802469  0.35882353];[ 0.30120482  0.34939759  0.36746988];[ 0.30120482  0.35365854  0.36309524];[   0.33935101    0.33935743    0.33931953  166.        ];-0.042432628037450223;7.845.099.997.520.440
9;0.34738955823293172;[ 0.39490446  0.30625     0.34254144];[ 0.37349398  0.29518072  0.37349398];[ 0.38390093  0.3006135   0.3573487 ];[   0.34789863    0.34738956    0.34728771  166.        ];-0.050862864179838263;9.502.699.995.040.890
10;0.32931726907630521;[ 0.33950617  0.34567901  0.3045977 ];[ 0.3313253   0.3373494   0.31927711];[ 0.33536585  0.34146341  0.31176471];[   0.32992763    0.32931727    0.32953132  166.        ];-0.029223984570977277;9.991.499.996.185.300
11;0.35542168674698793;[ 0.35025381  0.33793103  0.37820513];[ 0.41566265  0.29518072  0.35542169];[ 0.38016529  0.31511254  0.36645963];[   0.35546332    0.35542169    0.35391249  166.        ];-0.031226707816731505;8.809.800.004.959.100
12;0.32931726907630521;[ 0.33136095  0.33552632  0.3220339 ];[ 0.3373494   0.30722892  0.34337349];[ 0.33432836  0.32075472  0.33236152];[   0.32964039    0.32931727    0.3291482   166.        ];-0.02000490423000479;8.502.600.002.288.810
