 ; ;Classe 0;Classe 1;Classe 2;All Class;;
Execution Number;Accuracy ;Precision/Recall/F-Score;Precision/Recall/F-Score;Precision/Recall/F-Score;Precision/Recall/F-Score/Support;Silhouette Coefficient;Time (seconds)
1;0.33448959365708625;[ 0.07098765  0.6723869   0.27160494];[ 0.27710843  0.33179369  0.35804702];[ 0.11302211  0.4443299   0.30889236];[  3.38326496e-01   3.22316379e-01   2.88748122e-01   6.72666667e+02];-0.033787884484161992;11.657.360.000.610.300
2;0.32953419226957381;[ 0.09491059  0.62626263  0.27090301];[ 0.41566265  0.33410316  0.29294756];[ 0.15453527  0.43574297  0.28149435];[  3.30692076e-01   3.47571122e-01   2.90590866e-01   6.72666667e+02];-0.024551754800297278;10.727.699.999.809.200
3;0.3468780971258672;[ 0.08467153  0.65462428  0.29485179];[ 0.34939759  0.34872979  0.34177215];[ 0.13631022  0.45504771  0.31658291];[  3.44715868e-01   3.46633178e-01   3.02646951e-01   6.72666667e+02];-0.019824196339637366;1.252.266.000.032.420
4;0.31813676907829536;[ 0.07205882  0.60964912  0.26911315];[ 0.29518072  0.32101617  0.31826401];[ 0.11583924  0.42057489  0.29163215];[  3.16940365e-01   3.11486968e-01   2.76015425e-01   6.72666667e+02];-0.038747775794170831;5.114.069.999.933.240
5;0.31565906838453917;[ 0.07108239  0.6         0.25      ];[ 0.26506024  0.32101617  0.31826401];[ 0.11210191  0.41825476  0.28003182];[  3.07027464e-01   3.01446807e-01   2.70129499e-01   6.72666667e+02];-0.041691403930918358;10.980.659.999.847.400
6;0.33151635282457881;[ 0.06726457  0.63570392  0.28181818];[ 0.27108434  0.33718245  0.3363472 ];[ 0.10778443  0.44064386  0.30667766];[  3.28262225e-01   3.14871327e-01   2.85035318e-01   6.72666667e+02];-0.02107067538981099;11.896.189.999.580.300
7;0.35183349851337958;[ 0.07507508  0.67144907  0.29312977];[ 0.30120482  0.36027714  0.34719711];[ 0.12019231  0.46893788  0.31788079];[  3.46551304e-01   3.36226354e-01   3.02336993e-01   6.72666667e+02];-0.030558174600249264;1.156.989.000.082.010
8;0.35034687809712589;[ 0.0875      0.67109145  0.30483871];[ 0.37951807  0.35026944  0.34177215];[ 0.14221219  0.46029337  0.32225064];[  3.54476718e-01   3.57186554e-01   3.08252068e-01   6.72666667e+02];-0.034127559869223945;11.363.849.999.904.600
9;0.33944499504459863;[ 0.08199357  0.63091922  0.26696165];[ 0.30722892  0.34872979  0.32730561];[ 0.12944162  0.44918195  0.29406986];[  3.26624814e-01   3.27754771e-01   2.90897813e-01   6.72666667e+02];-0.018411573602945895;11.413.159.999.847.400
10;0.33498513379583744;[ 0.08052709  0.659271    0.29119318];[ 0.3313253   0.32024634  0.37070524];[ 0.12956419  0.43108808  0.32617343];[  3.43663756e-01   3.40758963e-01   2.95608568e-01   6.72666667e+02];-0.02507116676037029;1.156.539.999.961.850
11;0.34192269573835482;[ 0.08472012  0.65491924  0.27810651];[ 0.3373494   0.34334103  0.33996383];[ 0.13542926  0.45050505  0.30593979];[  3.39248622e-01   3.40218088e-01   2.97291367e-01   6.72666667e+02];-0.021734512557928153;11.530.729.999.542.200
12;0.32061446977205155;[ 0.08213256  0.61978362  0.27917282];[ 0.34337349  0.308699    0.34177215];[ 0.13255814  0.41212744  0.30731707];[  3.27029668e-01   3.31281548e-01   2.84000885e-01   6.72666667e+02];-0.028472165394115793;1.158.266.000.032.420
13;0.34043607532210107;[ 0.08993902  0.64730878  0.26067073];[ 0.35542169  0.35180908  0.30922242];[ 0.14355231  0.45586035  0.28287841];[  3.32639513e-01   3.38817731e-01   2.94097024e-01   6.72666667e+02];-0.021416275556275323;1.155.965.000.152.580
14;0.32408325074331018;[ 0.08204334  0.63939394  0.25140449];[ 0.31927711  0.32486528  0.32368897];[ 0.13054187  0.43083206  0.28300395];[  3.24280592e-01   3.22610453e-01   2.81459294e-01   6.72666667e+02];-0.029739604970424237;11.565.400.002.002.700
15;0.33250743310208125;[ 0.07854985  0.64467766  0.2743106 ];[ 0.31325301  0.33102386  0.34177215];[ 0.12560386  0.43743642  0.30434783];[  3.32512702e-01   3.28683009e-01   2.89129370e-01   6.72666667e+02];-0.011991281838483541;1.158.854.999.780.650
16;0.32457879088206143;[ 0.06980273  0.63259259  0.26608187];[ 0.27710843  0.3287144   0.32911392];[ 0.11151515  0.43262411  0.29426031];[  3.22825732e-01   3.11645584e-01   2.79466524e-01   6.72666667e+02];-0.015968471227823008;11.575.039.999.485.000
17;0.34241823587710607;[ 0.09174312  0.64046579  0.28212703];[ 0.36144578  0.33872209  0.34538879];[ 0.14634146  0.44310171  0.31056911];[  3.38111981e-01   3.48518888e-01   3.00004094e-01   6.72666667e+02];-0.017845677579163929;12.983.670.001.029.900
18;0.3612487611496531;[ 0.09792285  0.67272727  0.32017544];[ 0.39759036  0.34180139  0.3960217 ];[ 0.15714286  0.4532925   0.35408246];[  3.63608520e-01   3.78471149e-01   3.21505937e-01   6.72666667e+02];-0.043903128263201897;12.684.509.999.752.000
19;0.35084241823587708;[ 0.0795107   0.67492711  0.28466077];[ 0.31325301  0.35642802  0.34900542];[ 0.12682927  0.46649874  0.31356621];[  3.46366195e-01   3.39562153e-01   3.02298072e-01   6.72666667e+02];-0.031228028414837121;11.557.720.000.743.800
