 , ,Classe 0,Classe 1,Classe 2,All Class
Execution Number,Accuracy ,Precision/Recall/F-Score,Precision/Recall/F-Score,Precision/Recall/F-Score,Precision/Recall/F-Score/Support,Silhouette Coefficient,Time (seconds)
1,0.31927710843373491,[ 0.31395349  0.325       0.        ],[ 0.48795181  0.46987952  0.        ],[ 0.38207547  0.38423645  0.        ],[   0.2129845     0.31927711    0.25543731  166.        ],-0.0013449976530721277,100.20700001716614
2,0.32931726907630521,[ 0.30452675  0.35294118  0.        ],[ 0.44578313  0.54216867  0.        ],[ 0.36185819  0.42755344  0.        ],[   0.21915598    0.32931727    0.26313721  166.        ],0.008904422430607772,97.99199986457825
3,0.32329317269076308,[ 0.34136546  0.30522088  0.        ],[ 0.51204819  0.45783133  0.        ],[ 0.40963855  0.36626506  0.        ],[   0.21552878    0.32329317    0.25863454  166.        ],0.0023238827008956291,101.38800001144409
4,0.33333333333333331,[ 0.33333333  0.33333333  0.        ],[ 0.52409639  0.47590361  0.        ],[ 0.40749415  0.39205955  0.        ],[   0.22222222    0.33333333    0.2665179   166.        ],-0.0040160642570281086,107.94099998474121
5,0.31927710843373491,[ 0.29770992  0.34322034  0.        ],[ 0.46987952  0.48795181  0.        ],[ 0.36448598  0.40298507  0.        ],[   0.21364342    0.31927711    0.25582369  166.        ],0.0093314183715156145,98.1859998703003
6,0.34738955823293172,[ 0.35510204  0.33992095  0.        ],[ 0.52409639  0.51807229  0.        ],[ 0.42335766  0.41050119  0.        ],[   0.23167433    0.34738956    0.27795295  166.        ],-0.0010488007600004123,97.3840000629425
7,0.3634538152610442,[ 0.36111111  0.36585366  0.        ],[ 0.54819277  0.54216867  0.        ],[ 0.4354067  0.4368932  0.       ],[   0.24232159    0.36345382    0.29076663  166.        ],-5.443001034221058e-05,94.99199986457825
8,0.33132530120481929,[ 0.33730159  0.32520325  0.        ],[ 0.51204819  0.48192771  0.        ],[ 0.40669856  0.38834951  0.        ],[   0.22083495    0.3313253     0.26501603  166.        ],-0.0031126411664669407,96.88100004196167
9,0.31726907630522089,[ 0.30859375  0.32644628  0.        ],[ 0.47590361  0.47590361  0.        ],[ 0.37440758  0.3872549   0.        ],[   0.21168001    0.31726908    0.25388749  166.        ],0.00028861418232988342,93.84099984169006
10,0.34538152610441769,[ 0.3372549   0.35390947  0.        ],[ 0.51807229  0.51807229  0.        ],[ 0.40855107  0.4205379   0.        ],[   0.23038812    0.34538153    0.27636299  166.        ],-0.0028897059725052935,93.00799989700317
11,0.2971887550200803,[ 0.28828829  0.30434783  0.        ],[ 0.38554217  0.5060241   0.        ],[ 0.32989691  0.3800905   0.        ],[   0.19754537    0.29718876    0.23666247  166.        ],0.0004073304458861743,95.63300013542175
12,0.3493975903614458,[ 0.3553719  0.34375    0.       ],[ 0.51807229  0.53012048  0.        ],[ 0.42156863  0.41706161  0.        ],[   0.23304063    0.34939759    0.27954341  166.        ],-0.0011783286386490488,96.21799993515015
13,0.3253012048192771,[ 0.3253012  0.3253012  0.       ],[ 0.48795181  0.48795181  0.        ],[ 0.39036145  0.39036145  0.        ],[   0.21686747    0.3253012     0.26024096  166.        ],-0.0036303542842879067,107.98699998855591
14,0.3393574297188755,[ 0.32307692  0.35714286  0.        ],[ 0.5060241   0.51204819  0.        ],[ 0.3943662   0.42079208  0.        ],[   0.22673993    0.33935743    0.27171943  166.        ],0.00056023082205968226,107.3069999217987
15,0.3534136546184739,[ 0.34836066  0.35826772  0.        ],[ 0.51204819  0.54819277  0.        ],[ 0.41463415  0.43333333  0.        ],[   0.23554279    0.35341365    0.28265583  166.        ],-0.0015116417081884391,102.20299983024597
16,0.3393574297188755,[ 0.35510204  0.32411067  0.        ],[ 0.52409639  0.4939759   0.        ],[ 0.42335766  0.39140811  0.        ],[   0.22640424    0.33935743    0.27158859  166.        ],0.0015709003983719666,91.9670000076294
17,0.3253012048192771,[ 0.332       0.31854839  0.        ],[ 0.5         0.47590361  0.        ],[ 0.39903846  0.38164251  0.        ],[   0.21684946    0.3253012     0.26022699  166.        ],-0.0029213548115310491,93.41700005531311
18,0.34136546184738958,[ 0.34926471  0.33185841  0.        ],[ 0.57228916  0.45180723  0.        ],[ 0.43378995  0.38265306  0.        ],[   0.22704104    0.34136546    0.27214767  166.        ],-0.0011713185051684307,93.38900017738342
19,0.34538152610441769,[ 0.33760684  0.35227273  0.        ],[ 0.47590361  0.56024096  0.        ],[ 0.395       0.43255814  0.        ],[   0.22995985    0.34538153    0.27585271  166.        ],-0.0012415001808939606,94.3109998703003
20,0.30522088353413657,[ 0.29069767  0.32083333  0.        ],[ 0.45180723  0.46385542  0.        ],[ 0.35377358  0.37931034  0.        ],[   0.20384367    0.30522088    0.24436131  166.        ],0.0080882713907416692,90.9079999923706
