 , ,Classe 0,Classe 1,Classe 2,All Class
Execution Number,Accuracy ,Precision/Recall/F-Score,Precision/Recall/F-Score,Precision/Recall/F-Score,Precision/Recall/F-Score/Support,Silhouette Coefficient,Time (seconds)
1,0.43373493975903615,[ 0.43678161  0.43037975],[ 0.45783133  0.40963855],[ 0.44705882  0.41975309],[   0.43358068    0.43373494    0.43340595  166.        ],0.026391469531191723,239.9099998474121
2,0.56024096385542166,[ 0.56756757  0.55434783],[ 0.5060241   0.61445783],[ 0.53503185  0.58285714],[   0.5609577     0.56024096    0.55894449  166.        ],0.021180072077384898,247.58599996566772
3,0.52710843373493976,[ 0.52380952  0.53146853],[ 0.59638554  0.45783133],[ 0.55774648  0.49190939],[   0.52763903    0.52710843    0.52482793  166.        ],0.00016445018209419553,260.5039999485016
4,0.49397590361445781,[ 0.49411765  0.49382716],[ 0.5060241   0.48192771],[ 0.5         0.48780488],[   0.4939724     0.4939759     0.49390244  166.        ],-0.0056117669963516902,249.6010000705719
5,0.52710843373493976,[ 0.52795031  0.52631579],[ 0.51204819  0.54216867],[ 0.51987768  0.53412463],[   0.52713305    0.52710843    0.52700115  166.        ],0.00015538226969215055,259.21599984169006
6,0.5,[ 0.5  0.5],[ 0.45783133  0.54216867],[ 0.47798742  0.52023121],[   0.5           0.5           0.49910932  166.        ],-0.0060240963855422115,298.2960000038147
7,0.48795180722891568,[ 0.48666667  0.48901099],[ 0.43975904  0.53614458],[ 0.46202532  0.51149425],[   0.48783883    0.48795181    0.48675978  166.        ],-0.0046221364717731334,266.46399998664856
8,0.46987951807228917,[ 0.47058824  0.4691358 ],[ 0.48192771  0.45783133],[ 0.47619048  0.46341463],[   0.46986202    0.46987952    0.46980256  166.        ],0.0014892475485849955,246.16100001335144
9,0.46686746987951805,[ 0.46892655  0.46451613],[ 0.5         0.43373494],[ 0.48396501  0.44859813],[   0.46672134    0.46686747    0.46628157  166.        ],0.0029469994812405978,260.3470001220703
10,0.44578313253012047,[ 0.44705882  0.44444444],[ 0.45783133  0.43373494],[ 0.45238095  0.43902439],[   0.44575163    0.44578313    0.44570267  166.        ],0.016354286399807638,280.81900000572205
11,0.50602409638554213,[ 0.50526316  0.50704225],[ 0.57831325  0.43373494],[ 0.53932584  0.46753247],[   0.50615271    0.5060241     0.50342916  166.        ],-0.0056093291782299461,248.19500017166138
12,0.4759036144578313,[ 0.47674419  0.475     ],[ 0.4939759   0.45783133],[ 0.4852071   0.46625767],[   0.47587209    0.47590361    0.47573238  166.        ],-0.0010553353981247386,263.12199997901917
13,0.50301204819277112,[ 0.50292398  0.50310559],[ 0.51807229  0.48795181],[ 0.51038576  0.49541284],[   0.50301478    0.50301205    0.5028993   166.        ],-0.005897903127795953,300.8510000705719
14,0.50903614457831325,[ 0.50828729  0.50993377],[ 0.55421687  0.46385542],[ 0.53025937  0.48580442],[   0.50911053    0.50903614    0.50803189  166.        ],-0.005184987470688871,243.14199995994568
15,0.48192771084337349,[ 0.48314607  0.48051948],[ 0.51807229  0.44578313],[ 0.5     0.4625],[   0.48183277    0.48192771    0.48125     166.        ],-0.0030976965654307899,271.99500012397766
16,0.51506024096385539,[ 0.51612903  0.51412429],[ 0.48192771  0.54819277],[ 0.49844237  0.53061224],[   0.51512666    0.51506024    0.51452731  166.        ],-0.0039266768913347209,261.4379999637604
17,0.55421686746987953,[ 0.5505618   0.55844156],[ 0.59036145  0.51807229],[ 0.56976744  0.5375    ],[   0.55450168    0.55421687    0.55363372  166.        ],0.016359773792766014,257.23099994659424
18,0.56927710843373491,[ 0.57142857  0.56725146],[ 0.55421687  0.58433735],[ 0.56269113  0.57566766],[   0.56934002    0.56927711    0.56917939  166.        ],0.02915018122710384,269.9320001602173
19,0.5,[ 0.5  0.5],[ 0.53012048  0.46987952],[ 0.51461988  0.48447205],[   0.5           0.5           0.49954597  166.        ],-0.0060240963855421603,260.67899990081787
20,0.51807228915662651,[ 0.51829268  0.51785714],[ 0.51204819  0.52409639],[ 0.51515152  0.52095808],[   0.51807491    0.51807229    0.5180548   166.        ],-0.0030996339858788149,326.75
21,0.49397590361445781,[ 0.49358974  0.49431818],[ 0.46385542  0.52409639],[ 0.47826087  0.50877193],[   0.49395396    0.4939759     0.4935164   166.        ],-0.0056113923953594385,433.6879999637604
22,0.51506024096385539,[ 0.51612903  0.51412429],[ 0.48192771  0.54819277],[ 0.49844237  0.53061224],[   0.51512666    0.51506024    0.51452731  166.        ],-0.0039266768913347209,400.3659999370575
23,0.50903614457831325,[ 0.50898204  0.50909091],[ 0.51204819  0.5060241 ],[ 0.51051051  0.50755287],[   0.50903647    0.50903614    0.50903169  166.        ],-0.0051865213608114375,415.2279999256134
24,0.50301204819277112,[ 0.5027933   0.50326797],[ 0.54216867  0.46385542],[ 0.52173913  0.48275862],[   0.50303063    0.50301205    0.50224888  166.        ],-0.005897625001793888,415.70899987220764
25,0.52108433734939763,[ 0.52121212  0.52095808],[ 0.51807229  0.52409639],[ 0.51963746  0.52252252],[   0.5210851     0.52108434    0.52107999  166.        ],-0.0021415718089867336,461.17199993133545
 ,Accuracy,Precison,Recall,F-Score
Media Final:,0.50349397590361444,0.5035486269857421,0.50349397590361444,0.50289704228474896
