 , ,Classe 0,Classe 1,Classe 2,All Class
Execution Number,Accuracy ,Precision/Recall/F-Score,Precision/Recall/F-Score,Precision/Recall/F-Score,Precision/Recall/F-Score/Support,Silhouette Coefficient,Time (seconds)
1,0.51535836177474403,[ 0.1284153   0.90177353],[ 0.56626506  0.50885296],[ 0.20935412  0.65059055],[  5.15094417e-01   5.37559012e-01   4.29972336e-01   7.32500000e+02],0.0031173245018826967,1268.2709999084473
2,0.49146757679180886,[ 0.11756935  0.89124294],[ 0.53614458  0.48575828],[ 0.1928494  0.6287992],[  5.04406145e-01   5.10951427e-01   4.10824303e-01   7.32500000e+02],-0.0030858592615704704,1050.9079999923706
3,0.50989761092150165,[ 0.11772853  0.8909825 ],[ 0.51204819  0.50962279],[ 0.19144144  0.64838394],[  5.04355518e-01   5.10835490e-01   4.19912689e-01   7.32500000e+02],1.4383850329717246e-05,1006.5500001907349
4,0.49692832764505118,[ 0.11366712  0.88705234],[ 0.5060241   0.49576597],[ 0.18563536  0.63604938],[  5.00359730e-01   5.00895035e-01   4.10842371e-01   7.32500000e+02],-0.0014047366028906445,951.045000076294
5,0.51126279863481228,[ 0.109375    0.88304862],[ 0.46385542  0.51732102],[ 0.17701149  0.65242718],[  4.96211810e-01   4.90588219e-01   4.14719339e-01   7.32500000e+02],-0.0032065742790134072,954.9349999427795
6,0.49351535836177474,[ 0.11185984  0.88520055],[ 0.5         0.49268668],[ 0.18281938  0.6330366 ],[  4.98530196e-01   4.96343341e-01   4.07927990e-01   7.32500000e+02],-0.0010024875368932133,956.4479999542236
7,0.48737201365187716,[ 0.10632571  0.87950139],[ 0.47590361  0.48883757],[ 0.17381738  0.62840178],[  4.92913546e-01   4.82370591e-01   4.01109582e-01   7.32500000e+02],0.0011936850852318753,956.4090001583099
8,0.50170648464163825,[ 0.11263736  0.88602442],[ 0.4939759   0.50269438],[ 0.18344519  0.64145383],[  4.99330893e-01   4.98335142e-01   4.12449511e-01   7.32500000e+02],-0.0014057132112260497,954.162999868393
9,0.48873720136518772,[ 0.11492734  0.88841808],[ 0.52409639  0.48421863],[ 0.18851571  0.62680618],[  5.01672712e-01   5.04157508e-01   4.07660944e-01   7.32500000e+02],-0.0021243955723872139,949.555999994278
10,0.49761092150170649,[ 0.11486486  0.88827586],[ 0.51204819  0.49576597],[ 0.18763797  0.63636364],[  5.01570363e-01   5.03907083e-01   4.12000803e-01   7.32500000e+02],-0.0015281125041210126,952.7200000286102
11,0.48600682593856653,[ 0.09959072  0.87295082],[ 0.43975904  0.49191686],[ 0.16240267  0.62924668],[  4.86270771e-01   4.65837948e-01   3.95824673e-01   7.32500000e+02],0.0024147258847248237,953.2079999446869
12,0.50102389078498288,[ 0.11978466  0.8933518 ],[ 0.53614458  0.4965358 ],[ 0.19581958  0.63829787],[  5.06568229e-01   5.16340188e-01   4.17058727e-01   7.32500000e+02],-0.0017842864159190776,954.8329999446869
13,0.52969283276450507,[ 0.13323983  0.90558511],[ 0.57228916  0.52424942],[ 0.21615472  0.66406631],[  5.19412469e-01   5.48269290e-01   4.40110515e-01   7.32500000e+02],0.012226468184610925,953.1670000553131
14,0.49692832764505118,[ 0.1062069   0.87972973],[ 0.46385542  0.50115473],[ 0.17283951  0.63854831],[  4.92968313e-01   4.82505078e-01   4.05693907e-01   7.32500000e+02],-0.0013326189467280519,954.6429998874664
15,0.50170648464163825,[ 0.10614525  0.87983979],[ 0.45783133  0.50731332],[ 0.1723356   0.64355469],[  4.92992519e-01   4.82572322e-01   4.07945144e-01   7.32500000e+02],-0.0025852599359031856,964.558000087738
16,0.50170648464163825,[ 0.11157025  0.8849797 ],[ 0.48795181  0.5034642 ],[ 0.18161435  0.64180569],[  4.98274975e-01   4.95708005e-01   4.11710021e-01   7.32500000e+02],-0.001502862340022387,953.2860000133514
17,0.50034129692832763,[ 0.12165775  0.89539749],[ 0.54819277  0.49422633],[ 0.19912473  0.63690476],[  5.08527622e-01   5.21209550e-01   4.18014744e-01   7.32500000e+02],-0.0024207211689703848,952.2030000686646
18,0.49897610921501706,[ 0.1066482   0.88021534],[ 0.46385542  0.5034642 ],[ 0.17342342  0.64054848],[  4.93431771e-01   4.83659812e-01   4.06985953e-01   7.32500000e+02],-0.0017842864159190771,5752.289000034332
19,0.47781569965870307,[ 0.10225764  0.875     ],[ 0.46385542  0.47959969],[ 0.16757345  0.61959224],[  4.88628818e-01   4.71727557e-01   3.93582846e-01   7.32500000e+02],0.0056477107864412726,974.4979999065399
20,0.52491467576791806,[ 0.11925287  0.89206762],[ 0.5         0.52809854],[ 0.19257541  0.66344294],[  5.05660247e-01   5.14049269e-01   4.28009173e-01   7.32500000e+02],0.0034810456443029273,978.4319999217987
21,0.50511945392491464,[ 0.11554333  0.88888889],[ 0.5060241   0.50500385],[ 0.1881299   0.64408444],[  5.02216109e-01   5.05513973e-01   4.16107169e-01   7.32500000e+02],-0.00097168131681269713,981.8329999446869
22,0.48941979522184298,[ 0.10675676  0.88      ],[ 0.47590361  0.49114704],[ 0.17439294  0.63043478],[  4.93378378e-01   4.83525325e-01   4.02413859e-01   7.32500000e+02],0.00058342355550524588,978.9460000991821
23,0.53310580204778157,[ 0.12354651  0.8957529 ],[ 0.51204819  0.53579677],[ 0.19906323  0.67052023],[  5.09649704e-01   5.23922480e-01   4.34791732e-01   7.32500000e+02],0.0088016824480833759,982.0340001583099
24,0.48737201365187716,[ 0.10419486  0.87741047],[ 0.46385542  0.49037721],[ 0.17016575  0.6291358 ],[  4.90802663e-01   4.77116317e-01   3.99650774e-01   7.32500000e+02],0.0015475879712786938,981.2960000038147
25,0.50375426621160413,[ 0.10769231  0.88133333],[ 0.46385542  0.50885296],[ 0.17480136  0.64519278],[  4.94512821e-01   4.86354193e-01   4.09997070e-01   7.32500000e+02],-0.0026033760389806331,986.970999956131
 ,Accuracy,Precison,Recall,F-Score
Media Final:,0.50126962457337887,0.4999096295384543,0.49977016611480574,0.41261264698151318
