 ; ;Classe 0;Classe 1;Classe 2;All Class;;
Execution Number;Accuracy ;Precision/Recall/F-Score;Precision/Recall/F-Score;Precision/Recall/F-Score;Precision/Recall/F-Score/Support;Silhouette Coefficient;Time (seconds)
1;0.35827552031714571;[ 0.08427877  0.65444288  0.29913295];[ 0.31325301  0.35719784  0.37432188];[ 0.13282248  0.46215139  0.33253012];[  3.45951531e-01   3.48257579e-01   3.09167998e-01   6.72666667e+02];-0.026087625626975731;25.345.940.001.010.800
2;0.35133795837462833;[ 0.08320726  0.66020864  0.30758017];[ 0.3313253   0.34103156  0.38155515];[ 0.13301088  0.44974619  0.34059726];[  3.50332027e-01   3.51304006e-01   3.07784777e-01   6.72666667e+02];-0.036779274794005286;25.226.180.000.305.100
3;0.34043607532210107;[ 0.0875576   0.64483261  0.275     ];[ 0.34337349  0.34103156  0.33815552];[ 0.13953488  0.44612286  0.30332522];[  3.35796736e-01   3.40853524e-01   2.96327656e-01   6.72666667e+02];-0.013750836278756661;293.200.200.009.346
4;0.32309217046580774;[ 0.08211144  0.63223787  0.27546628];[ 0.3373494   0.31100847  0.34719711];[ 0.13207547  0.41692466  0.3072    ];[  3.29938531e-01   3.31851657e-01   2.85400045e-01   6.72666667e+02];-0.019581605956386715;25.241.989.998.817.400
5;0.33548067393458869;[ 0.09104046  0.64307229  0.28247734];[ 0.37951807  0.3287144   0.33815552];[ 0.14685315  0.4350484   0.30781893];[  3.38863364e-01   3.48795994e-01   2.96573491e-01   6.72666667e+02];-0.0067314690737337295;24.925.069.999.694.800
6;0.34043607532210107;[ 0.0893617   0.66210046  0.28810976];[ 0.37951807  0.33487298  0.34177215];[ 0.14466131  0.44478528  0.31265509];[  3.46523972e-01   3.52054401e-01   3.00700557e-01   6.72666667e+02];-0.028640179890119851;2.487.707.000.017.160
7;0.31169474727452923;[ 0.07604017  0.63011696  0.22762951];[ 0.31927711  0.33179369  0.26220615];[ 0.12282735  0.43469491  0.24369748];[  3.11262215e-01   3.04425648e-01   2.67073244e-01   6.72666667e+02];-0.034276795632797563;25.036.790.001.392.300
8;0.33746283448959363;[ 0.08946609  0.63905325  0.28813559];[ 0.37349398  0.33256351  0.33815552];[ 0.1443539   0.43746835  0.31114809];[  3.38884979e-01   3.48071001e-01   2.97656780e-01   6.72666667e+02];-0.014456110585796874;24.865.920.000.076.200
9;0.34241823587710607;[ 0.0887218   0.6519174   0.28148148];[ 0.35542169  0.34026174  0.34358047];[ 0.14199759  0.44714213  0.30944625];[  3.40706897e-01   3.46421299e-01   2.99528661e-01   6.72666667e+02];-0.014761783191392807;24.906.239.998.340.600
10;0.33448959365708625;[ 0.075       0.6481203   0.28677563];[ 0.30722892  0.33179369  0.34900542];[ 0.12056738  0.4389002   0.31484502];[  3.36631977e-01   3.29342676e-01   2.91437535e-01   6.72666667e+02];-0.020954665367511047;2.487.875
11;0.32755203171456887;[ 0.08011869  0.63759398  0.26951399];[ 0.3253012   0.32640493  0.33092224];[ 0.12857143  0.43177189  0.29707792];[  3.29075557e-01   3.27542791e-01   2.85807082e-01   6.72666667e+02];-0.015177546879440824;2.657.871.999.979.010
12;0.34985133795837464;[ 0.09104258  0.66421208  0.29331307];[ 0.37349398  0.34719015  0.34900542];[ 0.14639906  0.45601618  0.31874484];[  3.49522577e-01   3.56563182e-01   3.07053357e-01   6.72666667e+02];-0.029352892323883932;30.676.070.001.125.300
13;0.34241823587710607;[ 0.09050445  0.64264706  0.29066265];[ 0.36746988  0.33641263  0.34900542];[ 0.1452381   0.44163719  0.31717338];[  3.41271387e-01   3.50962643e-01   3.01349554e-01   6.72666667e+02];-0.014080951643102099;29.694.260.001.182.500
