 ; ;Classe 0;Classe 1;Classe 2;All Class;;
Execution Number;Accuracy ;Precision/Recall/F-Score;Precision/Recall/F-Score;Precision/Recall/F-Score;Precision/Recall/F-Score/Support;Silhouette Coefficient;Time (seconds)
1;0.55035971223021585;[ 0.55147059  0.54929577];[ 0.53956835  0.56115108];[ 0.54545455  0.55516014];[   0.55038318    0.55035971    0.55030734  139.        ];0.012531847666836973;3.559.600.019.454.950
2;0.48561151079136688;[ 0.48529412  0.48591549];[ 0.47482014  0.49640288];[ 0.48       0.4911032];[   0.48560481    0.48561151    0.4855516   139.        ];-0.0052070135508129542;32.281.999.826.431.200
3;0.46043165467625902;[ 0.46043165  0.46043165];[ 0.46043165  0.46043165];[ 0.46043165  0.46043165];[   0.46043165    0.46043165    0.46043165  139.        ];0.0054436225808218112;29.664.999.961.853.000
4;0.50359712230215825;[ 0.5035461   0.50364964];[ 0.51079137  0.49640288];[ 0.50714286  0.5       ];[   0.50359787    0.50359712    0.50357143  139.        ];-0.0070145576433888026;2.785.700.011.253.350
5;0.48920863309352519;[ 0.48780488  0.49032258];[ 0.43165468  0.54676259];[ 0.45801527  0.5170068 ];[   0.48906373    0.48920863    0.48751103  139.        ];-0.0060003200716705896;25.831.000.089.645.300
6;0.47482014388489208;[ 0.47741935  0.47154472];[ 0.5323741   0.41726619];[ 0.50340136  0.44274809];[   0.47448204    0.47482014    0.47307473  139.        ];-0.0016922383247892424;28.287.999.868.392.900
7;0.49280575539568344;[ 0.49285714  0.49275362];[ 0.49640288  0.48920863];[ 0.49462366  0.49097473];[   0.49280538    0.49280576    0.49279919  139.        ];-0.0066076504462976252;36.043.999.910.354.600
8;0.5611510791366906;[ 0.56115108  0.56115108];[ 0.56115108  0.56115108];[ 0.56115108  0.56115108];[   0.56115108    0.56115108    0.56115108  139.        ];0.021006452218942311;3.213.499.999.046.320
9;0.48561151079136688;[ 0.48484848  0.48630137];[ 0.46043165  0.51079137];[ 0.47232472  0.49824561];[   0.48557493    0.48561151    0.48528517  139.        ];-0.0052062599598431151;3.683.400.011.062.620
10;0.49280575539568344;[ 0.49275362  0.49285714];[ 0.48920863  0.49640288];[ 0.49097473  0.49462366];[   0.49280538    0.49280576    0.49279919  139.        ];-0.0066076504462976252;3.281.500.005.722.040
11;0.47122302158273383;[ 0.47222222  0.47014925];[ 0.48920863  0.45323741];[ 0.48056537  0.46153846];[   0.47118574    0.47122302    0.47105192  139.        ];-0.00017043896697797588;35.550.999.879.837.000
12;0.51438848920863312;[ 0.515625    0.51333333];[ 0.47482014  0.55395683];[ 0.49438202  0.53287197];[   0.51447917    0.51438849    0.513627    139.        ];-0.005204929131603234;29.052.000.045.776.300
13;0.52517985611510787;[ 0.52258065  0.52845528];[ 0.58273381  0.4676259 ];[ 0.55102041  0.49618321];[   0.52551796    0.52517986    0.52360181  139.        ];-0.0016922383247892415;29.597.000.122.070.300
14;0.48920863309352519;[ 0.48888889  0.48951049];[ 0.47482014  0.50359712];[ 0.48175182  0.4964539 ];[   0.48919969    0.48920863    0.48910286  139.        ];-0.0060035942937390618;27.254.000.186.920.100
15;0.53956834532374098;[ 0.53793103  0.54135338];[ 0.56115108  0.51798561];[ 0.54929577  0.52941176];[   0.53964221    0.53956835    0.53935377  139.        ];0.0054455074016262492;27.484.000.205.993.600
16;0.46402877697841727;[ 0.46212121  0.46575342];[ 0.43884892  0.48920863];[ 0.4501845   0.47719298];[   0.46393732    0.46402878    0.46368874  139.        ];0.0034062477178498367;3.083.399.987.220.760
17;0.46762589928057552;[ 0.464       0.47058824];[ 0.41726619  0.51798561];[ 0.43939394  0.49315068];[   0.46729412    0.4676259     0.46627231  139.        ];0.0015389436947545417;331.489.999.294.281
18;0.48561151079136688;[ 0.48611111  0.48507463];[ 0.50359712  0.4676259 ];[ 0.49469965  0.47619048];[   0.48559287    0.48561151    0.48544506  139.        ];-0.0052067109072295743;3.026.099.991.798.400
19;0.57194244604316546;[ 0.57352941  0.57042254];[ 0.56115108  0.58273381];[ 0.56727273  0.57651246];[   0.57197597    0.57194245    0.57189259  139.        ];0.030791787175935517;28.503.000.020.980.800
20;0.51438848920863312;[ 0.51449275  0.51428571];[ 0.51079137  0.51798561];[ 0.51263538  0.51612903];[   0.51438923    0.51438849    0.51438221  139.        ];-0.0052071654728487425;28.884.000.062.942.500
21;0.49280575539568344;[ 0.49242424  0.49315068];[ 0.4676259   0.51798561];[ 0.4797048   0.50526316];[   0.49278746    0.49280576    0.49248398  139.        ];-0.0066072163527401253;2.806.500.005.722.040
22;0.48561151079136688;[ 0.48571429  0.48550725];[ 0.48920863  0.48201439];[ 0.4874552   0.48375451];[   0.48561077    0.48561151    0.48560485  139.        ];-0.0052071654728487425;358.289.999.961.853
23;0.47841726618705038;[ 0.47887324  0.47794118];[ 0.48920863  0.4676259 ];[ 0.48398577  0.47272727];[   0.47840721    0.47841727    0.47835652  139.        ];-0.0030512278426959127;30.046.000.003.814.600
24;0.47841726618705038;[ 0.47945205  0.47727273];[ 0.50359712  0.45323741];[ 0.49122807  0.46494465];[   0.47836239    0.47841727    0.47808636  139.        ];-0.0030500983927872847;29.933.000.087.738.000
25;0.49640287769784175;[ 0.49640288  0.49640288];[ 0.49640288  0.49640288];[ 0.49640288  0.49640288];[   0.49640288    0.49640288    0.49640288  139.        ];-0.0070145733361923323;2.972.499.990.463.250
 ;Accuracy;Precison;Recall;F-Score;;;
Media Final:;0.49884892086330929;0.49882740128633779;0.49884892086330923;0.49847341109419185;;;
