 ; ;Classe 0;Classe 1;Classe 2;All Class;;
Execution Number;Accuracy ;Precision/Recall/F-Score;Precision/Recall/F-Score;Precision/Recall/F-Score;Precision/Recall/F-Score/Support;Silhouette Coefficient;Time (seconds)
1;0.5;[ 0.5  0.5];[ 0.48920863  0.51079137];[ 0.49454545  0.50533808];[   0.5           0.5           0.49994177  139.        ];-0.0071942446043164465;28.269.999.980.926.500
2;0.44244604316546765;[ 0.44285714  0.44202899];[ 0.44604317  0.43884892];[ 0.44444444  0.44043321];[   0.44244306    0.44244604    0.44243883  139.        ];0.018032250132533081;3.057.100.009.918.210
3;0.46402877697841727;[ 0.45833333  0.46835443];[ 0.39568345  0.5323741 ];[ 0.42471042  0.4983165 ];[   0.46334388    0.46402878    0.46151346  139.        ];0.0034185930695810841;3.046.999.979.019.160
4;0.48561151079136688;[ 0.48550725  0.48571429];[ 0.48201439  0.48920863];[ 0.48375451  0.4874552 ];[   0.48561077    0.48561151    0.48560485  139.        ];-0.0052071654728487425;316.010.000.705.719
5;0.52877697841726623;[ 0.52702703  0.53076923];[ 0.56115108  0.49640288];[ 0.54355401  0.51301115];[   0.52889813    0.52877698    0.52828258  139.        ];-0.00016837480934805052;29.075.000.047.683.700
6;0.51438848920863312;[ 0.51369863  0.51515152];[ 0.53956835  0.48920863];[ 0.52631579  0.50184502];[   0.51442507    0.51438849    0.5140804   139.        ];-0.0052062599598431151;29.224.000.215.530.300
7;0.52158273381294962;[ 0.52380952  0.51973684];[ 0.47482014  0.56834532];[ 0.49811321  0.54295533];[   0.52177318    0.52158273    0.52053427  139.        ];-0.0030468546597456248;2.636.400.008.201.590
8;0.45683453237410071;[ 0.45522388  0.45833333];[ 0.43884892  0.47482014];[ 0.44688645  0.4664311 ];[   0.45677861    0.45683453    0.45665877  139.        ];0.0076483145804179514;27.200.000.047.683.700
9;0.51438848920863312;[ 0.51428571  0.51449275];[ 0.51798561  0.51079137];[ 0.51612903  0.51263538];[   0.51438923    0.51438849    0.51438221  139.        ];-0.0052071654728487416;30.014.000.177.383.400
10;0.52877697841726623;[ 0.52898551  0.52857143];[ 0.52517986  0.5323741 ];[ 0.52707581  0.53046595];[   0.52877847    0.52877698    0.52877088  139.        ];-0.00017134897041488757;3.322.699.999.809.260
11;0.53237410071942448;[ 0.53383459  0.53103448];[ 0.51079137  0.55395683];[ 0.52205882  0.54225352];[   0.53243453    0.5323741     0.53215617  139.        ];0.0015326652175183106;2.879.200.005.531.310
12;0.48561151079136688;[ 0.4875      0.48305085];[ 0.56115108  0.41007194];[ 0.52173913  0.44357977];[   0.48527542    0.48561151    0.48265945  139.        ];-0.0051994336939114819;34.323.999.881.744.300
13;0.55755395683453235;[ 0.55555556  0.55970149];[ 0.57553957  0.53956835];[ 0.56537102  0.54945055];[   0.55762852    0.55755396    0.55741079  139.        ];0.018034204241712672;34.5
14;0.49280575539568344;[ 0.49324324  0.49230769];[ 0.52517986  0.46043165];[ 0.5087108   0.47583643];[   0.49277547    0.49280576    0.49227362  139.        ];-0.0066069285240871424;3.283.999.991.416.930
15;0.53597122302158273;[ 0.53623188  0.53571429];[ 0.5323741   0.53956835];[ 0.53429603  0.53763441];[   0.53597308    0.53597122    0.53596522  139.        ];0.0034039872155267629;2.763.699.984.550.470
16;0.47841726618705038;[ 0.47945205  0.47727273];[ 0.50359712  0.45323741];[ 0.49122807  0.46494465];[   0.47836239    0.47841727    0.47808636  139.        ];-0.003050098392787286;30.322.999.954.223.600
17;0.46762589928057552;[ 0.46715328  0.46808511];[ 0.46043165  0.47482014];[ 0.46376812  0.47142857];[   0.4676192     0.4676259     0.46759834  139.        ];0.0015313062231176739;30.944.000.005.722.000
18;0.51079136690647486;[ 0.5106383   0.51094891];[ 0.51798561  0.50359712];[ 0.51428571  0.50724638];[   0.5107936     0.51079137    0.51076605  139.        ];-0.0060037630936806263;3.223.399.996.757.500
19;0.49280575539568344;[ 0.49342105  0.49206349];[ 0.53956835  0.44604317];[ 0.51546392  0.46792453];[   0.49274227    0.49280576    0.49169422  139.        ];-0.0066061436139140776;33.855.000.019.073.400
20;0.48201438848920863;[ 0.48201439  0.48201439];[ 0.48201439  0.48201439];[ 0.48201439  0.48201439];[   0.48201439    0.48201439    0.48201439  139.        ];-0.0042217711598628305;3.375.600.004.196.160
21;0.46762589928057552;[ 0.46341463  0.47096774];[ 0.41007194  0.52517986];[ 0.4351145   0.49659864];[   0.46719119    0.4676259     0.46585657  139.        ];0.0015410703269409382;28.421.000.003.814.600
22;0.52877697841726623;[ 0.53076923  0.52702703];[ 0.49640288  0.56115108];[ 0.51301115  0.54355401];[   0.52889813    0.52877698    0.52828258  139.        ];-0.00016837480934805052;30.653.000.116.348.200
23;0.48561151079136688;[ 0.48529412  0.48591549];[ 0.47482014  0.49640288];[ 0.48       0.4911032];[   0.48560481    0.48561151    0.4855516   139.        ];-0.0052070135508129551;2.926.800.012.588.500
24;0.48561151079136688;[ 0.48648649  0.48461538];[ 0.51798561  0.45323741];[ 0.50174216  0.46840149];[   0.48555094    0.48561151    0.48507182  139.        ];-0.0052056643774903103;3.016.600.012.779.230
25;0.48561151079136688;[ 0.48591549  0.48529412];[ 0.49640288  0.47482014];[ 0.4911032  0.48     ];[   0.48560481    0.48561151    0.4855516   139.        ];-0.0052070135508129559;32.109.999.895.095.800
 ;Accuracy;Precison;Recall;F-Score;;;
Media Final:;0.49784172661870507;0.49779636609780581;0.49784172661870491;0.49732587205057888;;;
