 ; ;Classe 0;Classe 1;Classe 2;All Class;;
Execution Number;Accuracy ;Precision/Recall/F-Score;Precision/Recall/F-Score;Precision/Recall/F-Score;Precision/Recall/F-Score/Support;Silhouette Coefficient;Time (seconds)
1;0.45682451253481893;[ 0.46327684  0.45054945];[ 0.45054945  0.46327684];[ 0.45682451  0.45682451];[   0.45691314    0.45691314    0.45682451  179.5       ];0.0090283662032708215;3.949.400.019.645.690
2;0.51810584958217265;[ 0.52459016  0.51136364];[ 0.52747253  0.50847458];[ 0.5260274   0.50991501];[   0.5179769     0.51797355    0.51797121  179.5       ];-0.0026680338326275383;41.163.999.795.913.600
3;0.52924791086350975;[ 0.53439153  0.52352941];[ 0.55494505  0.50282486];[ 0.54447439  0.5129683 ];[   0.52896047    0.52888496    0.52872135  179.5       ];0.0014898429377149256;4.736.199.998.855.590
4;0.50417827298050144;[ 0.51176471  0.4973545 ];[ 0.47802198  0.53107345];[ 0.49431818  0.5136612 ];[   0.5045596     0.50454771    0.50398969  179.5       ];-0.0053484176445488868;4.361.199.998.855.590
5;0.50139275766016711;[ 0.50828729  0.49438202];[ 0.50549451  0.49717514];[ 0.50688705  0.49577465];[   0.50133466    0.50133482    0.50133085  179.5       ];-0.0055414308313797645;4.523.200.011.253.350
6;0.51253481894150421;[ 0.52071006  0.50526316];[ 0.48351648  0.54237288];[ 0.5014245   0.52316076];[   0.51298661    0.51294468    0.51229263  179.5       ];-0.004079100515727207;5.073.799.991.607.660
7;0.44289693593314761;[ 0.44827586  0.43783784];[ 0.42857143  0.45762712];[ 0.43820225  0.44751381];[   0.44305685    0.44309927    0.44285803  179.5       ];0.01896869770857151;4.402.999.997.138.970
8;0.44568245125348188;[ 0.45251397  0.43888889];[ 0.44505495  0.44632768];[ 0.44875346  0.44257703];[   0.44570143    0.44569131    0.44566525  179.5       ];0.016800383662346569;446.710.000.038.147
9;0.51253481894150421;[ 0.51955307  0.50555556];[ 0.51098901  0.51412429];[ 0.51523546  0.50980392];[   0.51255431    0.51255665    0.51251969  179.5       ];-0.0040867736302580846;431.800.000.667.572
10;0.50417827298050144;[ 0.51111111  0.4972067 ];[ 0.50549451  0.50282486];[ 0.50828729  0.5       ];[   0.50415891    0.50415968    0.50414365  179.5       ];-0.0053560275040721618;4.766.799.998.283.380
11;0.48189415041782729;[ 0.48850575  0.47567568];[ 0.46703297  0.49717514];[ 0.47752809  0.48618785];[   0.48209071    0.48210405    0.48185797  179.5       ];-0.0026696374086996643;4.704.900.002.479.550
12;0.4763231197771588;[ 0.48148148  0.47208122];[ 0.42857143  0.52542373];[ 0.45348837  0.4973262 ];[   0.47678135    0.47699758    0.47540729  179.5       ];-0.0008106454339362033;4.410.599.994.659.420
13;0.54038997214484674;[ 0.54545455  0.53488372];[ 0.56043956  0.51977401];[ 0.55284553  0.52722063];[   0.54016913    0.54010679    0.54003308  179.5       ];0.0073195304826367425;4.569.000.005.722.040
14;0.51810584958217265;[ 0.52356021  0.51190476];[ 0.54945055  0.48587571];[ 0.53619303  0.49855072];[   0.51773249    0.51766313    0.51737188  179.5       ];-0.00267417538834817;4.530.200.004.577.630
15;0.50417827298050144;[ 0.51123596  0.49723757];[ 0.5         0.50847458];[ 0.50555556  0.5027933 ];[   0.50423676    0.50423729    0.50417443  179.5       ];-0.0053543445401009523;43.305.999.994.277.900
16;0.50139275766016711;[ 0.50847458  0.49450549];[ 0.49450549  0.50847458];[ 0.50139276  0.50139276];[   0.50149004    0.50149004    0.50139276  179.5       ];-0.0055380739307763095;4.927.999.997.138.970
17;0.49303621169916434;[ 0.5         0.48587571];[ 0.5         0.48587571];[ 0.5         0.48587571];[   0.49293785    0.49293785    0.49293785  179.5       ];-0.0050485528366779114;45.104.000.091.552.700
18;0.45682451253481893;[ 0.46327684  0.45054945];[ 0.45054945  0.46327684];[ 0.45682451  0.45682451];[   0.45691314    0.45691314    0.45682451  179.5       ];0.0090283662032708198;4.143.899.989.128.110
19;0.49303621169916434;[ 0.5         0.48618785];[ 0.48901099  0.49717514];[ 0.49444444  0.49162011];[   0.49309392    0.49309307    0.49303228  179.5       ];-0.0050518922985160171;38.782.999.992.370.600
20;0.50139275766016711;[ 0.50920245  0.49489796];[ 0.45604396  0.5480226 ];[ 0.48115942  0.52010724];[   0.50205021    0.50203328    0.50063333  179.5       ];-0.0055291498125961853;3.861.300.015.449.520
21;0.54874651810584962;[ 0.5617284   0.53807107];[ 0.5         0.59887006];[ 0.52906977  0.56684492];[   0.54989973    0.54943503    0.54795734  179.5       ];0.012747913219408604;3.906.100.010.871.880
22;0.49860724233983289;[ 0.5060241   0.49222798];[ 0.46153846  0.53672316];[ 0.48275862  0.51351351];[   0.49912604    0.49913081    0.49813607  179.5       ];-0.0055516148176417155;4.256.400.012.969.970
23;0.44289693593314761;[ 0.44375     0.44221106];[ 0.39010989  0.49717514];[ 0.41520468  0.46808511];[   0.44298053    0.44364252    0.44164489  179.5       ];0.018967804122375771;4.676.599.979.400.630
24;0.49582172701949861;[ 0.50276243  0.48876404];[ 0.5         0.49152542];[ 0.50137741  0.49014085];[   0.49576324    0.49576271    0.49575913  179.5       ];-0.0053543445401009523;4.219.200.015.068.050
25;0.43454038997214484;[ 0.43558282  0.43367347];[ 0.39010989  0.48022599];[ 0.4115942   0.45576408];[   0.43462815    0.43516794    0.43367914  179.5       ];0.026015002571087454;41.009.000.062.942.500
 ;Accuracy;Precison;Recall;F-Score;;;
Media Final:;0.49259052924791091;0.49272384666282415;0.49275284037995909;0.49228635158001888;;;
