 , ,Classe 0,Classe 1,Classe 2,All Class
Execution Number,Accuracy ,Precision/Recall/F-Score,Precision/Recall/F-Score,Precision/Recall/F-Score,Precision/Recall/F-Score/Support,Silhouette Coefficient,Time (seconds)
1,0.39156626506024095,[ 0.41566265  0.41290323  0.35028249],[ 0.37912088  0.36158192  0.44604317],[ 0.39655172  0.38554217  0.39240506],[   0.39294945    0.39558199    0.39149965  166.        ],-0.045881613271715888,91.06299996376038
2,0.36144578313253012,[ 0.40268456  0.40229885  0.28571429],[ 0.32967033  0.39548023  0.35971223],[ 0.36253776  0.3988604   0.31847134],[   0.3635659     0.36162093    0.3599565   166.        ],-0.026239578434725779,90.49600005149841
3,0.3534136546184739,[ 0.38509317  0.36571429  0.30864198],[ 0.34065934  0.36158192  0.35971223],[ 0.36151603  0.36363636  0.33222591],[   0.35314981    0.3539845     0.35245944  166.        ],-0.027978113292064302,89.54899978637695
4,0.3534136546184739,[ 0.38953488  0.36969697  0.29813665],[ 0.36813187  0.34463277  0.34532374],[ 0.37853107  0.35672515  0.32      ],[   0.35245617    0.35269613    0.35175207  166.        ],-0.025294430764772766,86.77900004386902
5,0.3253012048192771,[ 0.36363636  0.32236842  0.28823529],[ 0.35164835  0.27683616  0.35251799],[ 0.3575419   0.29787234  0.3171521 ],[   0.32474669    0.32700083    0.32418878  166.        ],-0.028964299709611122,88.51999998092651
6,0.34738955823293172,[ 0.37356322  0.3566879   0.31137725],[ 0.35714286  0.31638418  0.37410072],[ 0.36516854  0.33532934  0.33986928],[   0.34720945    0.34920925    0.34678905  166.        ],-0.026436109026523262,92.15299987792969
7,0.32730923694779118,[ 0.37142857  0.33333333  0.2721519 ],[ 0.35714286  0.31073446  0.30935252],[ 0.36414566  0.32163743  0.28956229],[   0.32563793    0.32574328    0.32511512  166.        ],-0.018739572654174957,86.87999987602234
8,0.35140562248995982,[ 0.38853503  0.36111111  0.30434783],[ 0.33516484  0.36723164  0.35251799],[ 0.35988201  0.36414566  0.32666667],[   0.35133132    0.35163815    0.35023144  166.        ],-0.031761703156104271,88.05599999427795
9,0.3493975903614458,[ 0.36601307  0.39664804  0.28313253],[ 0.30769231  0.40112994  0.3381295 ],[ 0.33432836  0.3988764   0.30819672],[   0.34859788    0.34898392    0.34713383  166.        ],-0.021221041378546041,95.01300001144409
10,0.34538152610441769,[ 0.38461538  0.37724551  0.27160494],[ 0.35714286  0.3559322   0.31654676],[ 0.37037037  0.36627907  0.2923588 ],[   0.34448861    0.34320727    0.34300275  166.        ],-0.035185170484233398,110.36300015449524
11,0.30722891566265059,[ 0.34659091  0.34911243  0.21568627],[ 0.33516484  0.33333333  0.23741007],[ 0.34078212  0.34104046  0.2260274 ],[   0.30379654    0.30196941    0.30261666  166.        ],-0.03819075790068871,90.14499998092651
12,0.3534136546184739,[ 0.40331492  0.36111111  0.29479769],[ 0.4010989   0.29378531  0.36690647],[ 0.40220386  0.32398754  0.32692308],[   0.35307457    0.35393023    0.35103816  166.        ],-0.028432256383771198,101.62099981307983
13,0.3353413654618474,[ 0.36363636  0.36612022  0.26666667],[ 0.32967033  0.37853107  0.28776978],[ 0.34582133  0.37222222  0.27681661],[   0.33214108    0.3319904     0.33162005  166.        ],-0.02789011326787871,96.7519998550415
14,0.31927710843373491,[ 0.36612022  0.36        0.23030303],[ 0.36813187  0.30508475  0.27338129],[ 0.36712329  0.33027523  0.25      ],[   0.31880775    0.31553264    0.31579951  166.        ],-0.03601370061225765,89.03099989891052
15,0.29116465863453816,[ 0.31213873  0.34615385  0.21893491],[ 0.2967033   0.30508475  0.26618705],[ 0.30422535  0.32432432  0.24025974],[   0.29240916    0.28932503    0.28960314  166.        ],-0.040475105941822402,90.89599990844727
16,0.33132530120481929,[ 0.3597561   0.30952381  0.3253012 ],[ 0.32417582  0.29378531  0.38848921],[ 0.34104046  0.30144928  0.35409836],[   0.33152704    0.33548345    0.33219603  166.        ],-0.044055556522549472,95.87899994850159
17,0.34538152610441769,[ 0.39751553  0.37579618  0.27222222],[ 0.35164835  0.33333333  0.35251799],[ 0.37317784  0.35329341  0.30721003],[   0.34851131    0.34583322    0.34456043  166.        ],-0.021545305489067676,92.38300013542175
18,0.34538152610441769,[ 0.3974359   0.34319527  0.30057803],[ 0.34065934  0.32768362  0.37410072],[ 0.36686391  0.33526012  0.33333333],[   0.34706973    0.34748123    0.34515245  166.        ],-0.031767855249632534,94.0920000076294
19,0.31927710843373491,[ 0.34782609  0.38150289  0.22560976],[ 0.30769231  0.37288136  0.26618705],[ 0.32653061  0.37714286  0.24422442],[   0.31831291    0.3155869     0.31596596  166.        ],-0.04554788727497109,91.33500003814697
20,0.32128514056224899,[ 0.37974684  0.32098765  0.26966292],[ 0.32967033  0.29378531  0.34532374],[ 0.35294118  0.30678466  0.30283912],[   0.3234658     0.32292646    0.32085498  166.        ],-0.030731674542779235,84.19000005722046
21,0.32128514056224899,[ 0.38410596  0.31952663  0.26966292],[ 0.31868132  0.30508475  0.34532374],[ 0.34834835  0.31213873  0.30283912],[   0.32443184    0.32302994    0.32110873  166.        ],-0.02790793660954111,90.58599996566772
22,0.28915662650602408,[ 0.30769231  0.33125     0.23626374],[ 0.26373626  0.29943503  0.30935252],[ 0.28402367  0.31454006  0.26791277],[   0.29173535    0.29084127    0.2888255   166.        ],-0.039638430906687783,95.04699993133545
23,0.29116465863453816,[ 0.33333333  0.28125     0.25882353],[ 0.30769231  0.25423729  0.31654676],[ 0.32        0.26706231  0.28478964],[   0.29113562    0.29282545    0.29061732  166.        ],-0.041320928376312641,93.45700001716614
24,0.3353413654618474,[ 0.40571429  0.32571429  0.26351351],[ 0.39010989  0.3220339   0.28057554],[ 0.3977591   0.32386364  0.271777  ],[   0.33164736    0.33090644    0.33113325  166.        ],-0.039953939065487408,89.12599992752075
25,0.34337349397590361,[ 0.31818182  0.40490798  0.3081761 ],[ 0.30769231  0.37288136  0.35251799],[ 0.31284916  0.38823529  0.32885906],[   0.3437553     0.34436388    0.34331451  166.        ],-0.048976867301374245,87.4909999370575
 ,Accuracy,Precison,Recall,F-Score
Media Final:,0.3342168674698795,0.33423818359292101,0.33406768792453467,0.33266141295353568
