 ; ;Classe 0;Classe 1;Classe 2;All Class;;
Execution Number;Accuracy ;Precision/Recall/F-Score;Precision/Recall/F-Score;Precision/Recall/F-Score;Precision/Recall/F-Score/Support;Silhouette Coefficient;Time (seconds)
1;0.48999999999999999;[ 0.49006623  0.48993289];[ 0.49333333  0.48666667];[ 0.49169435  0.48829431];[   0.48999956    0.49          0.48999433  300.        ];-0.0024237578384350483;14.721.099.996.566.700
2;0.51166666666666671;[ 0.5122807   0.51111111];[ 0.48666667  0.53666667];[ 0.4991453   0.52357724];[   0.51169591    0.51166667    0.51136127  300.        ];-0.0021223539458932405;16.421.399.998.664.800
3;0.47166666666666668;[ 0.47266881  0.47058824];[ 0.49        0.45333333];[ 0.4811784   0.46179966];[   0.47162852    0.47166667    0.47148903  300.        ];0.0030972046135442841;14.868.899.989.128.100
4;0.51333333333333331;[ 0.51226994  0.51459854];[ 0.55666667  0.47      ];[ 0.53354633  0.4912892 ];[   0.51343424    0.51333333    0.51241776  300.        ];-0.0017791486081513168;14.740.899.991.989.100
5;0.46166666666666667;[ 0.46020761  0.46302251];[ 0.44333333  0.48      ];[ 0.4516129   0.47135843];[   0.46161506    0.46166667    0.46148567  300.        ];0.0080553597552301803;15.680.599.999.427.700
6;0.49166666666666664;[ 0.49211356  0.49116608];[ 0.52        0.46333333];[ 0.50567261  0.47684391];[   0.49163982    0.49166667    0.49125826  300.        ];-0.0026827531569237691;14.928.900.003.433.200
7;0.48666666666666669;[ 0.48726115  0.48601399];[ 0.51        0.46333333];[ 0.49837134  0.47440273];[   0.48663757    0.48666667    0.48638703  300.        ];-0.0017799647608489155;1.471.230.001.449.580
8;0.52833333333333332;[ 0.52698413  0.52982456];[ 0.55333333  0.50333333];[ 0.5398374   0.51623932];[   0.52840434    0.52833333    0.52803836  300.        ];0.003097589456952468;1.468.270.001.411.430
9;0.49666666666666665;[ 0.49652778  0.49679487];[ 0.47666667  0.51666667];[ 0.48639456  0.50653595];[   0.49666132    0.49666667    0.49646525  300.        ];-0.0032063588360589897;14.903.099.989.891.000
10;0.47999999999999998;[ 0.48039216  0.47959184];[ 0.49  0.47];[ 0.48514851  0.47474747];[   0.479992      0.48          0.47994799  300.        ];-5,25E+09;14.633.599.996.566.700
11;0.51666666666666672;[ 0.5170068   0.51633987];[ 0.50666667  0.52666667];[ 0.51178451  0.52145215];[   0.51667334    0.51666667    0.51661833  300.        ];-0.00097304839351172625;14.984.100.008.010.800
12;0.52333333333333332;[ 0.52430556  0.5224359 ];[ 0.50333333  0.54333333];[ 0.51360544  0.53267974];[   0.52337073    0.52333333    0.52314259  300.        ];0.0011204034280937489;14.681.799.983.978.200
13;0.48833333333333334;[ 0.48881789  0.48780488];[ 0.51        0.46666667];[ 0.49918434  0.4770017 ];[   0.48831138    0.48833333    0.48809302  300.        ];-0.0021224410135566563;14.784.300.017.356.800
14;0.51000000000000001;[ 0.51027397  0.50974026];[ 0.49666667  0.52333333];[ 0.50337838  0.51644737];[   0.51000712    0.51          0.50991287  300.        ];-0.0024236761122064217;14.795.499.992.370.600
15;0.50666666666666671;[ 0.50689655  0.50645161];[ 0.49        0.52333333];[ 0.49830508  0.5147541 ];[   0.50667408    0.50666667    0.50652959  300.        ];-0.0029001468429137637;14.842.999.982.833.800
16;0.52833333333333332;[ 0.5282392   0.52842809];[ 0.53        0.52666667];[ 0.52911814  0.52754591];[   0.52833365    0.52833333    0.52833202  300.        ];0.0030967435470941091;1.482.889.997.959.130
17;0.52166666666666661;[ 0.5210356   0.52233677];[ 0.53666667  0.50666667];[ 0.52873563  0.5143824 ];[   0.52168618    0.52166667    0.52155902  300.        ];0.00053803645450380968;14.684.100.008.010.800
18;0.52000000000000002;[ 0.52173913  0.51851852];[ 0.48  0.56];[ 0.5         0.53846154];[   0.52012882    0.52          0.51923077  300.        ];-3,88E+10;16.125.799.989.700.300
19;0.52000000000000002;[ 0.51973684  0.52027027];[ 0.52666667  0.51333333];[ 0.52317881  0.51677852];[   0.52000356    0.52          0.51997867  300.        ];-5,31E+10;14.756.900.000.572.200
20;0.5;[ 0.5  0.5];[ 0.49  0.51];[ 0.49494949  0.5049505 ];[   0.5           0.5           0.49994999  300.        ];-0.0033333333333333379;14.205.399.990.081.700
21;0.47999999999999998;[ 0.48159509  0.47810219];[ 0.52333333  0.43666667];[ 0.50159744  0.45644599];[   0.47984864    0.48          0.47902172  300.        ];-3,65E+10;1.442.960.000.038.140
22;0.50666666666666671;[ 0.50662252  0.50671141];[ 0.51        0.50333333];[ 0.50830565  0.50501672];[   0.50666696    0.50666667    0.50666119  300.        ];-0.0029002330513293851;1.429.869.999.885.550
23;0.48833333333333334;[ 0.48780488  0.48881789];[ 0.46666667  0.51      ];[ 0.4770017   0.49918434];[   0.48831138    0.48833333    0.48809302  300.        ];-0.0021224410135566559;1.431.449.999.809.260
24;0.495;[ 0.49498328  0.49501661];[ 0.49333333  0.49666667];[ 0.49415693  0.49584027];[   0.49499994    0.495         0.4949986   300.        ];-0.0030748246605566821;14.307.000.017.166.100
25;0.5083333333333333;[ 0.50788644  0.50883392];[ 0.53666667  0.48      ];[ 0.52188006  0.49399657];[   0.50836018    0.50833333    0.50793832  300.        ];-0.0026827531569237695;14.408.500.003.814.600
 ;Accuracy;Precison;Recall;F-Score;;;
Media Final:;0.50179999999999991;0.50180337232864869;0.5017999999999998;0.50155618681865466;;;
