 ; ;Classe 0;Classe 1;Classe 2;All Class;;
Execution Number;Accuracy ;Precision/Recall/F-Score;Precision/Recall/F-Score;Precision/Recall/F-Score;Precision/Recall/F-Score/Support;Silhouette Coefficient;Time (seconds)
1;0.49624060150375937;[ 0.25242718  0.75647668];[ 0.52525253  0.48666667];[ 0.34098361  0.59229209];[   0.50445193    0.5059596     0.46663785  199.5       ];-0.0054372463686326589;7.183.100.008.964.530
2;0.50125313283208017;[ 0.25247525  0.75634518];[ 0.51515152  0.49666667];[ 0.33887043  0.59959759];[   0.50441021    0.50590909    0.46923401  199.5       ];-0.0049662323416141364;6.635.199.999.809.260
3;0.48370927318295737;[ 0.2464455  0.75     ];[ 0.52525253  0.47      ];[ 0.33548387  0.57786885];[   0.49822275    0.49762626    0.45667636  199.5       ];-0.0043829377739132321;6.760.199.999.809.260
4;0.48621553884711777;[ 0.23232323  0.73631841];[ 0.46464646  0.49333333];[ 0.30976431  0.59081836];[   0.48432082    0.4789899     0.45029134  199.5       ];-0.0026163785842824093;6.778.200.006.484.980
5;0.48621553884711777;[ 0.24761905  0.75132275];[ 0.52525253  0.47333333];[ 0.33656958  0.5807771 ];[   0.4994709     0.49929293    0.45867334  199.5       ];-0.0048521329685999297;6.608.500.003.814.690
6;0.49373433583959897;[ 0.24120603  0.745     ];[ 0.48484848  0.49666667];[ 0.32214765  0.596     ];[   0.49310302    0.49075758    0.45907383  199.5       ];-0.0043904561764853689;6.428.999.996.185.300
7;0.48872180451127817;[ 0.23076923  0.73529412];[ 0.45454545  0.5       ];[ 0.30612245  0.5952381 ];[   0.48303167    0.47727273    0.45068027  199.5       ];-0.003490970867353926;625.239.999.294.281
8;0.49874686716791977;[ 0.25123153  0.75510204];[ 0.51515152  0.49333333];[ 0.33774834  0.59677419];[   0.50316678    0.50424242    0.46726127  199.5       ];-0.0051093011048364782;7.242.899.990.081.780
9;0.51629072681704258;[ 0.24731183  0.75117371];[ 0.46464646  0.53333333];[ 0.32280702  0.62378168];[   0.49924277    0.4989899     0.47329435  199.5       ];-0.0052689818817900601;6.740.100.002.288.810
10;0.48370927318295737;[ 0.25116279  0.75543478];[ 0.54545455  0.46333333];[ 0.34394904  0.57438017];[   0.50329879    0.50439394    0.4591646   199.5       ];-0.0061670086596186122;670.220.000.743.866
11;0.50877192982456143;[ 0.25870647  0.76262626];[ 0.52525253  0.50333333];[ 0.34666667  0.6064257 ];[   0.51066637    0.51429293    0.47654618  199.5       ];-0.0039151342719491323;676.819.999.217.987
12;0.47869674185463656;[ 0.24413146  0.74731183];[ 0.52525253  0.46333333];[ 0.33333333  0.57201646];[   0.49572164    0.49429293    0.4526749   199.5       ];-0.0031576201918298735;7.475.399.994.850.150
13;0.51127819548872178;[ 0.26237624  0.76649746];[ 0.53535354  0.50333333];[ 0.35215947  0.60764588];[   0.51443685    0.51934343    0.47990267  199.5       ];-0.0033502544511621688;6.455.399.990.081.780
14;0.55388471177944865;[ 0.28877005  0.78773585];[ 0.54545455  0.55666667];[ 0.37762238  0.65234375];[   0.53825295    0.55106061    0.51498306  199.5       ];0.020861152317144839;6.648.900.008.201.590
15;0.50375939849624063;[ 0.25125628  0.755     ];[ 0.50505051  0.50333333];[ 0.33557047  0.604     ];[   0.50312814    0.50419192    0.46978523  199.5       ];-0.0047752282237469327;7.172.399.997.711.180
16;0.51378446115288223;[ 0.26600985  0.77040816];[ 0.54545455  0.50333333];[ 0.35761589  0.60887097];[   0.51820901    0.52439394    0.48324343  199.5       ];-0.0026968133371085218;6.698.000.001.907.340
17;0.51879699248120303;[ 0.26633166  0.77      ];[ 0.53535354  0.51333333];[ 0.3557047  0.616    ];[   0.51816583    0.52434343    0.48585235  199.5       ];-0.00088840259696217137;672.940.001.487.732
18;0.47368421052631576;[ 0.24657534  0.75      ];[ 0.54545455  0.45      ];[ 0.33962264  0.5625    ];[   0.49828767    0.49772727    0.45106132  199.5       ];-0.0040397263643264158;63.305.999.994.277.900
19;0.51127819548872178;[ 0.26       0.7638191];[ 0.52525253  0.50666667];[ 0.34782609  0.60921844];[   0.51190955    0.5159596     0.47852226  199.5       ];-0.0033312296608695711;6.536.400.008.201.590
20;0.50375939849624063;[ 0.25853659  0.7628866 ];[ 0.53535354  0.49333333];[ 0.34868421  0.59919028];[   0.51071159    0.51434343    0.47393725  199.5       ];-0.0050154480584724695;655.550.000.667.572
21;0.52631578947368418;[ 0.265625    0.76811594];[ 0.51515152  0.53      ];[ 0.35051546  0.62721893];[   0.51687047    0.52257576    0.4888672   199.5       ];0.001569795731061749;706.159.999.370.575
22;0.51378446115288223;[ 0.27906977  0.78804348];[ 0.60606061  0.48333333];[ 0.38216561  0.59917355];[   0.53355662    0.54469697    0.49066958  199.5       ];-0.0055543682549192581;6.476.600.003.242.490
23;0.48120300751879697;[ 0.23        0.73366834];[ 0.46464646  0.48666667];[ 0.30769231  0.58517034];[   0.48183417    0.47565657    0.44643132  199.5       ];-0.00088840259696217159;8.105.999.994.277.950
24;0.48872180451127817;[ 0.23880597  0.74242424];[ 0.48484848  0.49      ];[ 0.32        0.59036145];[   0.49061511    0.48742424    0.45518072  199.5       ];-0.0034380781090694703;9.490.500.020.980.830
25;0.48872180451127817;[ 0.23076923  0.73529412];[ 0.45454545  0.5       ];[ 0.30612245  0.5952381 ];[   0.48303167    0.47727273    0.45068027  199.5       ];-0.0034909708673539243;8.242.200.016.975.400
 ;Accuracy;Precison;Recall;F-Score;;;
Media Final:;0.50045112781954881;0.50392469139393226;0.50524040404040405;0.46837299883874545;;;
