 ; ;Classe 0;Classe 1;Classe 2;All Class;;
Execution Number;Accuracy ;Precision/Recall/F-Score;Precision/Recall/F-Score;Precision/Recall/F-Score;Precision/Recall/F-Score/Support;Silhouette Coefficient;Time (seconds)
1;0.46385542168674698;[ 0.46551724  0.46202532];[ 0.48795181  0.43975904];[ 0.47647059  0.45061728];[   0.46377128    0.46385542    0.46354394  166.        ];0.0045198580585980161;47.419.999.837.875.300
2;0.51506024096385539;[ 0.51552795  0.51461988];[ 0.5         0.53012048];[ 0.50764526  0.52225519];[   0.51507392    0.51506024    0.51495023  166.        ];-0.0039277884701148912;3.910.600.018.501.280
3;0.51506024096385539;[ 0.51461988  0.51552795];[ 0.53012048  0.5       ];[ 0.52225519  0.50764526];[   0.51507392    0.51506024    0.51495023  166.        ];-0.0039277884701148921;38.282.999.992.370.600
4;0.50903614457831325;[ 0.50920245  0.50887574];[ 0.5         0.51807229];[ 0.50455927  0.51343284];[   0.5090391     0.50903614    0.50899605  166.        ];-0.0051864655797827629;4.217.900.013.923.640
5;0.49698795180722893;[ 0.49710983  0.49685535];[ 0.51807229  0.47590361];[ 0.50737463  0.48615385];[   0.49698259    0.49698795    0.49676424  166.        ];-0.0058978567000283911;416.489.999.294.281
6;0.4759036144578313;[ 0.47647059  0.47530864];[ 0.48795181  0.46385542];[ 0.48214286  0.4695122 ];[   0.47588962    0.47590361    0.47582753  166.        ];-0.0010557100171820636;39.311.999.797.821.000
7;0.50602409638554213;[ 0.50595238  0.50609756];[ 0.51204819  0.5       ];[ 0.50898204  0.5030303 ];[   0.50602497    0.5060241     0.50600617  166.        ];-0.0056118207537914433;415.789.999.961.853
8;0.52409638554216864;[ 0.52666667  0.52197802];[ 0.47590361  0.57228916];[ 0.5         0.54597701];[   0.52432234    0.52409639    0.52298851  166.        ];-0.0010514651447330894;41.581.000.089.645.300
9;0.49397590361445781;[ 0.4939759  0.4939759];[ 0.4939759  0.4939759];[ 0.4939759  0.4939759];[   0.4939759    0.4939759    0.4939759  166.       ];-0.0056118386863052115;4.070.199.990.272.520
10;0.46084337349397592;[ 0.4601227   0.46153846];[ 0.45180723  0.46987952];[ 0.45592705  0.46567164];[   0.46083058    0.46084337    0.46079935  166.        ];0.0062094775505550683;3.824.600.005.149.840
11;0.53614457831325302;[ 0.53529412  0.53703704];[ 0.54819277  0.52409639];[ 0.54166667  0.5304878 ];[   0.53616558    0.53614458    0.53607724  166.        ];0.0045185163520372008;36.825.000.047.683.700
12;0.48493975903614456;[ 0.48387097  0.48587571];[ 0.45180723  0.51807229];[ 0.46728972  0.50145773];[   0.48487334    0.48493976    0.48437372  166.        ];-0.0039266768913347209;4.135.700.011.253.350
13;0.52409638554216864;[ 0.52469136  0.52352941];[ 0.51204819  0.53614458];[ 0.51829268  0.5297619 ];[   0.52411038    0.52409639    0.52402729  166.        ];-0.0010557100171820618;4.232.800.006.866.450
14;0.48192771084337349;[ 0.48026316  0.48333333];[ 0.43975904  0.52409639];[ 0.4591195   0.50289017];[   0.48179825    0.48192771    0.48100484  166.        ];-0.003097003496717354;3.992.700.004.577.630
15;0.50301204819277112;[ 0.50314465  0.50289017];[ 0.48192771  0.52409639];[ 0.49230769  0.51327434];[   0.50301741    0.50301205    0.50279101  166.        ];-0.0058978567000283911;46.019.999.980.926.500
16;0.48795180722891568;[ 0.48823529  0.48765432];[ 0.5         0.47590361];[ 0.49404762  0.48170732];[   0.48794481    0.48795181    0.48787747  166.        ];-0.0046243263509100994;3.877.900.004.386.900
17;0.51807228915662651;[ 0.51785714  0.51829268];[ 0.52409639  0.51204819];[ 0.52095808  0.51515152];[   0.51807491    0.51807229    0.5180548   166.        ];-0.0030996339858788157;4.567.700.004.577.630
18;0.51506024096385539;[ 0.51396648  0.51633987];[ 0.55421687  0.47590361];[ 0.53333333  0.49529781];[   0.51515317    0.51506024    0.51431557  166.        ];-0.003926133617097656;4.135.599.994.659.420
19;0.51506024096385539;[ 0.51396648  0.51633987];[ 0.55421687  0.47590361];[ 0.53333333  0.49529781];[   0.51515317    0.51506024    0.51431557  166.        ];-0.003926133617097656;44.569.000.005.722.000
20;0.48795180722891568;[ 0.48795181  0.48795181];[ 0.48795181  0.48795181];[ 0.48795181  0.48795181];[   0.48795181    0.48795181    0.48795181  166.        ];-0.0046244769038138881;3.784.999.990.463.250
21;0.49397590361445781;[ 0.49425287  0.49367089];[ 0.51807229  0.46987952];[ 0.50588235  0.48148148];[   0.49396188    0.4939759     0.49368192  166.        ];-0.0056115525719522847;4.052.500.009.536.740
22;0.50301204819277112;[ 0.50292398  0.50310559];[ 0.51807229  0.48795181];[ 0.51038576  0.49541284];[   0.50301478    0.50301205    0.5028993   166.        ];-0.0058979031277959539;41.263.999.938.964.800
23;0.53915662650602414;[ 0.53714286  0.54140127];[ 0.56626506  0.51204819];[ 0.55131965  0.52631579];[   0.53927207    0.53915663    0.53881772  166.        ];0.0062116598075079325;4.253.800.010.681.150
24;0.48493975903614456;[ 0.48484848  0.48502994];[ 0.48192771  0.48795181];[ 0.48338369  0.48648649];[   0.48493921    0.48493976    0.48493509  166.        ];-0.0039280715109407732;4.156.400.012.969.970
25;0.51506024096385539;[ 0.51445087  0.51572327];[ 0.53614458  0.4939759 ];[ 0.52507375  0.50461538];[   0.51508707    0.51506024    0.51484457  166.        ];-0.0039275074760728081;4.033.800.005.912.780
 ;Accuracy;Precison;Recall;F-Score;;;
Media Final:;0.50204819277108426;0.50206008222734577;0.50204819277108437;0.50179080144172272;;;
