 ; ;Classe 0;Classe 1;Classe 2;All Class;;
Execution Number;Accuracy ;Precision/Recall/F-Score;Precision/Recall/F-Score;Precision/Recall/F-Score;Precision/Recall/F-Score/Support;Silhouette Coefficient;Time (seconds)
1;0.33647175421209119;[ 0.07814761  0.67256637  0.26040062];[ 0.3253012   0.35103926  0.30560579];[ 0.126021    0.46130501  0.281198  ];[  3.37038200e-01   3.27315417e-01   2.89508005e-01   6.72666667e+02];-0.04147497252914692;24.026.040.000.915.500
2;0.31268582755203173;[ 0.07963247  0.63422292  0.24038462];[ 0.31325301  0.31100847  0.3164557 ];[ 0.12698413  0.41735537  0.27322404];[  3.18080000e-01   3.13572392e-01   2.72521181e-01   6.72666667e+02];-0.031429292422443661;2.312.148.999.929.420
3;0.31565906838453917;[ 0.07163324  0.640553    0.25411061];[ 0.30120482  0.32101617  0.3074141 ];[ 0.11574074  0.42769231  0.27823241];[  3.22098949e-01   3.09878363e-01   2.73888485e-01   6.72666667e+02];-0.023206218000649283;23.843.470.001.220.700
4;0.32705649157581762;[ 0.08080808  0.63884674  0.27477477];[ 0.3373494   0.32409546  0.33092224];[ 0.13038417  0.43003064  0.3002461 ];[  3.31476531e-01   3.30789033e-01   2.86886972e-01   6.72666667e+02];-0.016444771320448862;21.132.170.000.076.200
5;0.32903865213082262;[ 0.08006042  0.64766082  0.25      ];[ 0.31927711  0.34103156  0.30379747];[ 0.12801932  0.44679778  0.27428571];[  3.25907081e-01   3.21368713e-01   2.83034273e-01   6.72666667e+02];-0.034307976046604537;21.122.829.999.923.700
6;0.32061446977205155;[ 0.08128834  0.61627907  0.25073746];[ 0.31927711  0.32640493  0.3074141 ];[ 0.12958435  0.42677403  0.27619821];[  3.16101625e-01   3.17698713e-01   2.77518865e-01   6.72666667e+02];-0.034616276560832056;2.106.545.000.076.290
7;0.33052527254707631;[ 0.08873239  0.64434524  0.26886792];[ 0.37951807  0.33333333  0.30922242];[ 0.14383562  0.43937088  0.28763667];[  3.33981852e-01   3.40691276e-01   2.90281055e-01   6.72666667e+02];-0.01487446382523701;21.060.060.000.419.600
8;0.33746283448959363;[ 0.07153729  0.63836018  0.2920354 ];[ 0.28313253  0.3356428   0.35804702];[ 0.11421628  0.43995964  0.32168968];[  3.33977622e-01   3.25607450e-01   2.91955201e-01   6.72666667e+02];-0.025023569709206751;23.342.720.000.743.800
9;0.31714568880079286;[ 0.08965517  0.63391442  0.26435045];[ 0.39156627  0.30792918  0.3164557 ];[ 0.14590348  0.41450777  0.28806584];[  3.29306682e-01   3.38650379e-01   2.82825698e-01   6.72666667e+02];-0.019502617304961455;2.276.923.000.097.270
10;0.32755203171456887;[ 0.06923077  0.63664122  0.27910238];[ 0.27108434  0.32101617  0.35985533];[ 0.11029412  0.42681679  0.31437599];[  3.28324792e-01   3.17318613e-01   2.83828964e-01   6.72666667e+02];-0.015621758262507631;20.933.899.998.664.800
11;0.3191278493557978;[ 0.0719755   0.62481315  0.25718391];[ 0.28313253  0.32178599  0.32368897];[ 0.11477411  0.42479675  0.2866293 ];[  3.17990853e-01   3.09535830e-01   2.75400055e-01   6.72666667e+02];-0.026228627962354568;20.917.419.998.645.700
12;0.33250743310208125;[ 0.08815029  0.64411765  0.26625387];[ 0.36746988  0.33718245  0.31103074];[ 0.14219114  0.4426478   0.28690575];[  3.32840602e-01   3.38561023e-01   2.90581566e-01   6.72666667e+02];-0.02689403121676975;2.092.878.000.020.980
13;0.33250743310208125;[ 0.09144543  0.63181149  0.27231467];[ 0.37349398  0.33025404  0.32549729];[ 0.14691943  0.43377149  0.29654036];[  3.31857197e-01   3.43081768e-01   2.92410427e-01   6.72666667e+02];-0.018369291355543414;20.941.610.000.133.500
14;0.33102081268582756;[ 0.08484848  0.62593145  0.27947598];[ 0.3373494   0.32332564  0.34719711];[ 0.13559322  0.42639594  0.30967742];[  3.30085304e-01   3.35957380e-01   2.90555526e-01   6.72666667e+02];-0.035579138134862957;21.834.880.001.544.900
15;0.35084241823587708;[ 0.09748892  0.65229885  0.29147287];[ 0.39759036  0.34949962  0.33996383];[ 0.15658363  0.45513784  0.31385643];[  3.47086880e-01   3.62351270e-01   3.08525967e-01   6.72666667e+02];-0.017875819783926349;21.097.990.000.247.900
16;0.33845391476709613;[ 0.08592593  0.66463415  0.27510917];[ 0.34939759  0.3356428   0.34177215];[ 0.13793103  0.44603581  0.30483871];[  3.41889748e-01   3.42270848e-01   2.96268517e-01   6.72666667e+02];-0.021531578202998506;21.067.400.000.095.300
17;0.33151635282457881;[ 0.08868502  0.63213213  0.2722063 ];[ 0.34939759  0.32409546  0.34358047];[ 0.14146341  0.42849873  0.30375699];[  3.31007817e-01   3.39024506e-01   2.91239712e-01   6.72666667e+02];-0.015774597645985655;21.050.009.999.275.200
18;0.32358771060455899;[ 0.06782107  0.62721893  0.28043143];[ 0.28313253  0.32640493  0.32911392];[ 0.10942957  0.42936709  0.30282862];[  3.25157145e-01   3.12883794e-01   2.80541759e-01   6.72666667e+02];-0.027732888119105056;20.962.779.998.779.200
