 ; ;Classe 0;Classe 1;Classe 2;All Class;;
Execution Number;Accuracy ;Precision/Recall/F-Score;Precision/Recall/F-Score;Precision/Recall/F-Score;Precision/Recall/F-Score/Support;Silhouette Coefficient;Time (seconds)
1;0.54316546762589923;[ 0.54477612  0.54166667];[ 0.52517986  0.56115108];[ 0.53479853  0.55123675];[   0.54322139    0.54316547    0.54301764  139.        ];0.0076483145804179531;3.178.500.008.583.060
2;0.47482014388489208;[ 0.47368421  0.47586207];[ 0.45323741  0.49640288];[ 0.46323529  0.48591549];[   0.47477314    0.47482014    0.47457539  139.        ];-0.0016989343250432183;30.921.000.003.814.600
3;0.48920863309352519;[ 0.48905109  0.4893617 ];[ 0.48201439  0.49640288];[ 0.48550725  0.49285714];[   0.4892064     0.48920863    0.48918219  139.        ];-0.0060037630936806263;29.765.000.104.904.100
4;0.43884892086330934;[ 0.43609023  0.44137931];[ 0.41726619  0.46043165];[ 0.42647059  0.45070423];[   0.43873477    0.43884892    0.43858741  139.        ];0.021009611328177521;30.990.999.937.057.400
5;0.50359712230215825;[ 0.50359712  0.50359712];[ 0.50359712  0.50359712];[ 0.50359712  0.50359712];[   0.50359712    0.50359712    0.50359712  139.        ];-0.0070145733361923314;30.473.000.049.591.000
6;0.53956834532374098;[ 0.53846154  0.54074074];[ 0.55395683  0.52517986];[ 0.54609929  0.53284672];[   0.53960114    0.53956835    0.539473    139.        ];0.0054444679779439608;30.747.999.906.539.900
7;0.49280575539568344;[ 0.49324324  0.49230769];[ 0.52517986  0.46043165];[ 0.5087108   0.47583643];[   0.49277547    0.49280576    0.49227362  139.        ];-0.0066069285240871415;29.944.999.933.242.700
8;0.5071942446043165;[ 0.50684932  0.50757576];[ 0.5323741   0.48201439];[ 0.51929825  0.49446494];[   0.50721254    0.50719424    0.5068816   139.        ];-0.0066072163527401253;3.091.000.008.583.060
9;0.5;[ 0.5  0.5];[ 0.51798561  0.48201439];[ 0.50883392  0.49084249];[   0.5           0.5           0.49983821  139.        ];-0.0071942446043166217;29.721.999.883.651.700
10;0.5539568345323741;[ 0.55639098  0.55172414];[ 0.5323741   0.57553957];[ 0.54411765  0.56338028];[   0.55405756    0.55395683    0.55374896  139.        ];0.015208806555515932;30.746.999.979.019.100
11;0.53597122302158273;[ 0.54032258  0.53246753];[ 0.48201439  0.58992806];[ 0.5095057   0.55972696];[   0.53639506    0.53597122    0.53461633  139.        ];0.0034137236459762174;2.997.699.999.809.260
12;0.49640287769784175;[ 0.49640288  0.49640288];[ 0.49640288  0.49640288];[ 0.49640288  0.49640288];[   0.49640288    0.49640288    0.49640288  139.        ];-0.0070145733361923323;3.064.900.016.784.660
13;0.42805755395683454;[ 0.43055556  0.42537313];[ 0.44604317  0.41007194];[ 0.43816254  0.41758242];[   0.42796434    0.42805755    0.42787248  139.        ];0.030793568847761642;30.263.999.938.964.800
14;0.47122302158273383;[ 0.47101449  0.47142857];[ 0.4676259   0.47482014];[ 0.46931408  0.47311828];[   0.47122153    0.47122302    0.47121618  139.        ];-0.00017134897041488757;300.310.001.373.291
15;0.48920863309352519;[ 0.48951049  0.48888889];[ 0.50359712  0.47482014];[ 0.4964539   0.48175182];[   0.48919969    0.48920863    0.48910286  139.        ];-0.006003594293739061;3.083.799.982.070.920
16;0.5;[ 0.5  0.5];[ 0.54676259  0.45323741];[ 0.52233677  0.4754717 ];[   0.5           0.5           0.49890423  139.        ];-0.0071942446043165688;2.938.100.004.196.160
17;0.51079136690647486;[ 0.51162791  0.51006711];[ 0.47482014  0.54676259];[ 0.49253731  0.52777778];[   0.51084751    0.51079137    0.51015755  139.        ];-0.0060024260037370479;30.907.000.064.849.800
18;0.47122302158273383;[ 0.47333333  0.46875   ];[ 0.51079137  0.43165468];[ 0.49134948  0.4494382 ];[   0.47104167    0.47122302    0.47039384  139.        ];-0.00016695178305208791;2.963.100.004.196.160
19;0.45683453237410071;[ 0.45384615  0.45945946];[ 0.42446043  0.48920863];[ 0.43866171  0.4738676 ];[   0.45665281    0.45683453    0.45626465  139.        ];0.0076514243303695065;309.060.001.373.291
20;0.50359712230215825;[ 0.504       0.50326797];[ 0.45323741  0.55395683];[ 0.47727273  0.52739726];[   0.50363399    0.50359712    0.50233499  139.        ];-0.0070138072039609423;29.776.000.022.888.100
21;0.43165467625899279;[ 0.43165468  0.43165468];[ 0.43165468  0.43165468];[ 0.43165468  0.43165468];[   0.43165468    0.43165468    0.43165468  139.        ];0.02738847949526492;3.059.999.990.463.250
22;0.5611510791366906;[ 0.56115108  0.56115108];[ 0.56115108  0.56115108];[ 0.56115108  0.56115108];[   0.56115108    0.56115108    0.56115108  139.        ];0.021006452218942314;2.953.500.008.583.060
23;0.45323741007194246;[ 0.45454545  0.45185185];[ 0.4676259   0.43884892];[ 0.46099291  0.44525547];[   0.45319865    0.45323741    0.45312419  139.        ];0.010011466736101695;3.055.299.997.329.710
24;0.48920863309352519;[ 0.48905109  0.4893617 ];[ 0.48201439  0.49640288];[ 0.48550725  0.49285714];[   0.4892064     0.48920863    0.48918219  139.        ];-0.0060037630936806263;29.460.000.038.146.900
25;0.50359712230215825;[ 0.50340136  0.50381679];[ 0.5323741   0.47482014];[ 0.51748252  0.48888889];[   0.50360908    0.50359712    0.5031857   139.        ];-0.0070143225294132146;31.144.999.980.926.500
 ;Accuracy;Precison;Recall;F-Score;;;
Media Final:;0.49381294964028782;0.49381435514097466;0.49381294964028782;0.49346955962321121;;;
