 ; ;Classe 0;Classe 1;Classe 2;All Class;;
Execution Number;Accuracy ;Precision/Recall/F-Score;Precision/Recall/F-Score;Precision/Recall/F-Score;Precision/Recall/F-Score/Support;Silhouette Coefficient;Time (seconds)
1;0.35542168674698793;[ 0.37579618  0.38150289  0.30952381];[ 0.32417582  0.37288136  0.37410072];[ 0.3480826   0.37714286  0.33876221];[   0.35560763    0.35705263    0.35466256  166.        ];-0.026564981610220983;11.226.399.993.896.400
2;0.3353413654618474;[ 0.37267081  0.36538462  0.27624309];[ 0.32967033  0.3220339   0.35971223];[ 0.34985423  0.34234234  0.3125    ];[   0.33809951    0.33713882    0.33489886  166.        ];-0.039363961849426157;10.150.600.004.196.100
3;0.30321285140562249;[ 0.31034483  0.33727811  0.25806452];[ 0.2967033   0.3220339   0.28776978];[ 0.30337079  0.32947977  0.27210884];[   0.30189582    0.30216899    0.30165313  166.        ];-0.036366178535270459;9.981.500.005.722.040
4;0.3353413654618474;[ 0.43137255  0.32777778  0.25454545];[ 0.36263736  0.33333333  0.30215827];[ 0.39402985  0.33053221  0.27631579];[   0.33789859    0.33270966    0.33362595  166.        ];-0.042682281764382782;9.895.199.990.272.520
5;0.32931726907630521;[ 0.35057471  0.35849057  0.27878788];[ 0.33516484  0.3220339   0.33093525];[ 0.34269663  0.33928571  0.30263158];[   0.32928439    0.329378      0.32820464  166.        ];-0.023927627357390225;1.030.699.999.332.420
6;0.35542168674698793;[ 0.4375      0.38562092  0.25945946];[ 0.38461538  0.33333333  0.34532374];[ 0.40935673  0.35757576  0.2962963 ];[   0.36086012    0.35442415    0.35440959  166.        ];-0.045656025453930327;9.831.599.998.474.120
7;0.3353413654618474;[ 0.37333333  0.35625     0.28723404];[ 0.30769231  0.3220339   0.38848921];[ 0.3373494   0.33827893  0.33027523];[   0.33893913    0.33940514    0.33530119  166.        ];-0.021584442111924385;10.002.300.000.190.700
8;0.3634538152610442;[ 0.41566265  0.37762238  0.30687831];[ 0.37912088  0.30508475  0.41726619];[ 0.39655172  0.3375      0.35365854];[   0.36672111    0.36715727    0.36257009  166.        ];-0.046938304132084885;9.830.400.013.923.640
9;0.35943775100401604;[ 0.4137931   0.34482759  0.31333333];[ 0.3956044   0.33898305  0.3381295 ];[ 0.40449438  0.34188034  0.32525952];[   0.35731801    0.35757231    0.35721141  166.        ];-0.04285572609222163;10.045.800.018.310.500
10;0.31526104417670681;[ 0.32121212  0.36904762  0.25454545];[ 0.29120879  0.35028249  0.30215827];[ 0.3054755   0.35942029  0.27631579];[   0.31493506    0.31454985    0.31373719  166.        ];-0.037513364631910164;9.861.500.000.953.670
11;0.31927710843373491;[ 0.33333333  0.37853107  0.24242424];[ 0.28571429  0.37853107  0.28776978];[ 0.30769231  0.37853107  0.26315789];[   0.31809622    0.31733838    0.31646043  166.        ];-0.040192619960309435;10.022.899.985.313.400
12;0.32730923694779118;[ 0.35502959  0.40828402  0.2125    ];[ 0.32967033  0.38983051  0.24460432];[ 0.34188034  0.39884393  0.22742475];[   0.3252712     0.32136838    0.32271634  166.        ];-0.052635309567027506;10.038.699.984.550.400
13;0.34738955823293172;[ 0.34831461  0.43918919  0.26744186];[ 0.34065934  0.36723164  0.33093525];[ 0.34444444  0.4         0.29581994];[   0.35164855    0.34627541    0.34675479  166.        ];-0.043366624146916104;9.926.900.005.340.570
14;0.35943775100401604;[ 0.36898396  0.40131579  0.3081761 ];[ 0.37912088  0.34463277  0.35251799];[ 0.37398374  0.37082067  0.32885906];[   0.35949195    0.35875721    0.35788782  166.        ];-0.032143331165749085;10.160.199.999.809.200
15;0.35742971887550201;[ 0.39393939  0.3974359   0.28813559];[ 0.35714286  0.35028249  0.36690647];[ 0.37463977  0.37237237  0.32278481];[   0.35983696    0.35811061    0.35659898  166.        ];-0.025542118061932417;9.989.000.010.490.410
16;0.34136546184738958;[ 0.4         0.35        0.26993865];[ 0.38461538  0.31638418  0.31654676];[ 0.39215686  0.33234421  0.29139073];[   0.33997955    0.33918211    0.3386306   166.        ];-0.039882985640761794;9.978.500.008.583.060
17;0.39558232931726905;[ 0.40425532  0.38311688  0.3974359 ];[ 0.41758242  0.33333333  0.44604317];[ 0.41081081  0.35649547  0.42033898];[   0.39493603    0.39898631    0.39588175  166.        ];-0.05029478759961558;9.856.299.996.376.030
18;0.36144578313253012;[ 0.38961039  0.43708609  0.27979275];[ 0.32967033  0.37288136  0.38848921];[ 0.35714286  0.40243902  0.3253012 ];[   0.36882974    0.3636803     0.3616277   166.        ];-0.04087465592600116;10.014.499.998.092.600
19;0.32128514056224899;[ 0.35483871  0.37012987  0.23417722];[ 0.36263736  0.3220339   0.26618705];[ 0.35869565  0.34441088  0.24915825];[   0.31971526    0.31695277    0.31742159  166.        ];-0.03748572057568756;10.052.800.011.634.800
20;0.34538152610441769;[ 0.3372093   0.37125749  0.32704403];[ 0.31868132  0.35028249  0.37410072];[ 0.32768362  0.36046512  0.34899329];[   0.34517027    0.34768817    0.34571401  166.        ];-0.037630216679760867;10.103.700.017.929.000
21;0.34738955823293172;[ 0.39181287  0.38        0.27683616];[ 0.36813187  0.3220339   0.35251799];[ 0.3796034   0.34862385  0.31012658];[   0.34954967    0.34756125    0.34611794  166.        ];-0.025146413360004335;10.095.000.004.768.300
22;0.36947791164658633;[ 0.41610738  0.36363636  0.33526012];[ 0.34065934  0.36158192  0.41726619];[ 0.37462236  0.36260623  0.37179487];[   0.37166795    0.37316915    0.36967449  166.        ];-0.039390935231769467;10.268.799.996.376.000
23;0.30120481927710846;[ 0.34177215  0.31055901  0.25698324];[ 0.2967033   0.28248588  0.33093525];[ 0.31764706  0.29585799  0.28930818];[   0.3031048     0.30337481    0.30093774  166.        ];-0.025554418487246544;10.679.900.002.479.500
24;0.34136546184738958;[ 0.3814433   0.34969325  0.27659574];[ 0.40659341  0.3220339   0.28057554];[ 0.39361702  0.33529412  0.27857143];[   0.33591077    0.33640095    0.33582752  166.        ];-0.022624238324784919;10.966.599.988.937.300
25;0.3253012048192771;[ 0.3583815   0.35625     0.26060606];[ 0.34065934  0.3220339   0.30935252];[ 0.34929577  0.33827893  0.28289474];[   0.32507919    0.32401525    0.32348981  166.        ];-0.034339579492633526;11.128.600.001.335.100
 ;Accuracy;Precison;Recall;F-Score;;;
Media Final:;0.34192771084337353;0.34279389950069822;0.34177671533847609;0.34048064550838958;;;
