 , ,Classe 0,Classe 1,Classe 2,All Class
Execution Number,Accuracy ,Precision/Recall/F-Score,Precision/Recall/F-Score,Precision/Recall/F-Score,Precision/Recall/F-Score/Support,Silhouette Coefficient,Time (seconds)
1,0.52833333333333332,[ 0.90333333  0.15333333],[ 0.51619048  0.61333333],[ 0.6569697   0.24533333],[   0.52833333    0.5647619     0.45115152  300.        ],-0.0043788569469789471,0.5590000152587891
2,0.52833333333333332,[ 0.90333333  0.15333333],[ 0.51619048  0.61333333],[ 0.6569697   0.24533333],[   0.52833333    0.5647619     0.45115152  300.        ],-0.0043788569469789471,0.6180000305175781
3,0.52833333333333332,[ 0.90333333  0.15333333],[ 0.51619048  0.61333333],[ 0.6569697   0.24533333],[   0.52833333    0.5647619     0.45115152  300.        ],-0.0043788569469789471,0.49900007247924805
4,0.52833333333333332,[ 0.90333333  0.15333333],[ 0.51619048  0.61333333],[ 0.6569697   0.24533333],[   0.52833333    0.5647619     0.45115152  300.        ],-0.0043788569469789471,0.5980000495910645
5,0.52833333333333332,[ 0.90333333  0.15333333],[ 0.51619048  0.61333333],[ 0.6569697   0.24533333],[   0.52833333    0.5647619     0.45115152  300.        ],-0.0043788569469789471,0.5789999961853027
6,0.52833333333333332,[ 0.90333333  0.15333333],[ 0.51619048  0.61333333],[ 0.6569697   0.24533333],[   0.52833333    0.5647619     0.45115152  300.        ],-0.0043788569469789471,0.5349998474121094
7,0.52833333333333332,[ 0.90333333  0.15333333],[ 0.51619048  0.61333333],[ 0.6569697   0.24533333],[   0.52833333    0.5647619     0.45115152  300.        ],-0.0043788569469789471,0.5199999809265137
8,0.52833333333333332,[ 0.90333333  0.15333333],[ 0.51619048  0.61333333],[ 0.6569697   0.24533333],[   0.52833333    0.5647619     0.45115152  300.        ],-0.0043788569469789471,0.5269999504089355
9,0.52833333333333332,[ 0.90333333  0.15333333],[ 0.51619048  0.61333333],[ 0.6569697   0.24533333],[   0.52833333    0.5647619     0.45115152  300.        ],-0.0043788569469789471,0.5099999904632568
10,0.52833333333333332,[ 0.90333333  0.15333333],[ 0.51619048  0.61333333],[ 0.6569697   0.24533333],[   0.52833333    0.5647619     0.45115152  300.        ],-0.0043788569469789471,0.5109999179840088
11,0.52833333333333332,[ 0.90333333  0.15333333],[ 0.51619048  0.61333333],[ 0.6569697   0.24533333],[   0.52833333    0.5647619     0.45115152  300.        ],-0.0043788569469789471,0.5329999923706055
12,0.52833333333333332,[ 0.90333333  0.15333333],[ 0.51619048  0.61333333],[ 0.6569697   0.24533333],[   0.52833333    0.5647619     0.45115152  300.        ],-0.0043788569469789471,0.49900007247924805
13,0.52833333333333332,[ 0.90333333  0.15333333],[ 0.51619048  0.61333333],[ 0.6569697   0.24533333],[   0.52833333    0.5647619     0.45115152  300.        ],-0.0043788569469789471,0.5399999618530273
14,0.52833333333333332,[ 0.90333333  0.15333333],[ 0.51619048  0.61333333],[ 0.6569697   0.24533333],[   0.52833333    0.5647619     0.45115152  300.        ],-0.0043788569469789471,0.5190000534057617
15,0.52833333333333332,[ 0.90333333  0.15333333],[ 0.51619048  0.61333333],[ 0.6569697   0.24533333],[   0.52833333    0.5647619     0.45115152  300.        ],-0.0043788569469789471,0.49699997901916504
16,0.52833333333333332,[ 0.90333333  0.15333333],[ 0.51619048  0.61333333],[ 0.6569697   0.24533333],[   0.52833333    0.5647619     0.45115152  300.        ],-0.0043788569469789471,0.6200001239776611
17,0.52833333333333332,[ 0.90333333  0.15333333],[ 0.51619048  0.61333333],[ 0.6569697   0.24533333],[   0.52833333    0.5647619     0.45115152  300.        ],-0.0043788569469789471,0.503000020980835
18,0.52833333333333332,[ 0.90333333  0.15333333],[ 0.51619048  0.61333333],[ 0.6569697   0.24533333],[   0.52833333    0.5647619     0.45115152  300.        ],-0.0043788569469789471,0.5220000743865967
19,0.52833333333333332,[ 0.90333333  0.15333333],[ 0.51619048  0.61333333],[ 0.6569697   0.24533333],[   0.52833333    0.5647619     0.45115152  300.        ],-0.0043788569469789471,0.6770000457763672
20,0.52833333333333332,[ 0.90333333  0.15333333],[ 0.51619048  0.61333333],[ 0.6569697   0.24533333],[   0.52833333    0.5647619     0.45115152  300.        ],-0.0043788569469789471,0.5550000667572021
21,0.52833333333333332,[ 0.90333333  0.15333333],[ 0.51619048  0.61333333],[ 0.6569697   0.24533333],[   0.52833333    0.5647619     0.45115152  300.        ],-0.0043788569469789471,0.49000000953674316
22,0.52833333333333332,[ 0.90333333  0.15333333],[ 0.51619048  0.61333333],[ 0.6569697   0.24533333],[   0.52833333    0.5647619     0.45115152  300.        ],-0.0043788569469789471,0.554999828338623
23,0.52833333333333332,[ 0.90333333  0.15333333],[ 0.51619048  0.61333333],[ 0.6569697   0.24533333],[   0.52833333    0.5647619     0.45115152  300.        ],-0.0043788569469789471,0.5130000114440918
24,0.52833333333333332,[ 0.90333333  0.15333333],[ 0.51619048  0.61333333],[ 0.6569697   0.24533333],[   0.52833333    0.5647619     0.45115152  300.        ],-0.0043788569469789471,0.5280001163482666
25,0.52833333333333332,[ 0.90333333  0.15333333],[ 0.51619048  0.61333333],[ 0.6569697   0.24533333],[   0.52833333    0.5647619     0.45115152  300.        ],-0.0043788569469789471,0.4890000820159912
 ,Accuracy,Precison,Recall,F-Score
Media Final:,0.52833333333333332,0.52833333333333299,0.56476190476190513,0.45115151515151536
