 ; ;Classe 0;Classe 1;Classe 2;All Class;;
Execution Number;Accuracy ;Precision/Recall/F-Score;Precision/Recall/F-Score;Precision/Recall/F-Score;Precision/Recall/F-Score/Support;Silhouette Coefficient;Time (seconds)
1;0.33333333333333331;[ 0.85858586  0.16      ];[ 0.25222552  0.77419355];[ 0.38990826  0.26519337];[   0.50929293    0.51320953    0.32755081  199.5       ];-0.052083336384171897;0.30900001525878906
2;0.33333333333333331;[ 0.85858586  0.16      ];[ 0.25222552  0.77419355];[ 0.38990826  0.26519337];[   0.50929293    0.51320953    0.32755081  199.5       ];-0.052083336384171897;0.12999987602233887
3;0.33333333333333331;[ 0.85858586  0.16      ];[ 0.25222552  0.77419355];[ 0.38990826  0.26519337];[   0.50929293    0.51320953    0.32755081  199.5       ];-0.052083336384171897;0.13400006294250488
4;0.33333333333333331;[ 0.85858586  0.16      ];[ 0.25222552  0.77419355];[ 0.38990826  0.26519337];[   0.50929293    0.51320953    0.32755081  199.5       ];-0.052083336384171897;0.13299989700317383
5;0.33333333333333331;[ 0.85858586  0.16      ];[ 0.25222552  0.77419355];[ 0.38990826  0.26519337];[   0.50929293    0.51320953    0.32755081  199.5       ];-0.052083336384171897;0.1379997730255127
6;0.33333333333333331;[ 0.85858586  0.16      ];[ 0.25222552  0.77419355];[ 0.38990826  0.26519337];[   0.50929293    0.51320953    0.32755081  199.5       ];-0.052083336384171897;0.13400006294250488
7;0.33333333333333331;[ 0.85858586  0.16      ];[ 0.25222552  0.77419355];[ 0.38990826  0.26519337];[   0.50929293    0.51320953    0.32755081  199.5       ];-0.05208333638417191;0.1510000228881836
8;0.33333333333333331;[ 0.85858586  0.16      ];[ 0.25222552  0.77419355];[ 0.38990826  0.26519337];[   0.50929293    0.51320953    0.32755081  199.5       ];-0.052083336384171897;0.13399982452392578
9;0.33333333333333331;[ 0.85858586  0.16      ];[ 0.25222552  0.77419355];[ 0.38990826  0.26519337];[   0.50929293    0.51320953    0.32755081  199.5       ];-0.052083336384171897;0.13700008392333984
10;0.33333333333333331;[ 0.85858586  0.16      ];[ 0.25222552  0.77419355];[ 0.38990826  0.26519337];[   0.50929293    0.51320953    0.32755081  199.5       ];-0.05208333638417191;0.1360001564025879
11;0.33333333333333331;[ 0.85858586  0.16      ];[ 0.25222552  0.77419355];[ 0.38990826  0.26519337];[   0.50929293    0.51320953    0.32755081  199.5       ];-0.052083336384171897;0.1419999599456787
12;0.33333333333333331;[ 0.85858586  0.16      ];[ 0.25222552  0.77419355];[ 0.38990826  0.26519337];[   0.50929293    0.51320953    0.32755081  199.5       ];-0.05208333638417189;0.13499999046325684
13;0.33333333333333331;[ 0.85858586  0.16      ];[ 0.25222552  0.77419355];[ 0.38990826  0.26519337];[   0.50929293    0.51320953    0.32755081  199.5       ];-0.052083336384171897;0.1419999599456787
14;0.33333333333333331;[ 0.85858586  0.16      ];[ 0.25222552  0.77419355];[ 0.38990826  0.26519337];[   0.50929293    0.51320953    0.32755081  199.5       ];-0.052083336384171897;0.14299988746643066
15;0.33333333333333331;[ 0.85858586  0.16      ];[ 0.25222552  0.77419355];[ 0.38990826  0.26519337];[   0.50929293    0.51320953    0.32755081  199.5       ];-0.052083336384171897;0.13700008392333984
16;0.33333333333333331;[ 0.85858586  0.16      ];[ 0.25222552  0.77419355];[ 0.38990826  0.26519337];[   0.50929293    0.51320953    0.32755081  199.5       ];-0.052083336384171897;0.1360001564025879
17;0.33333333333333331;[ 0.85858586  0.16      ];[ 0.25222552  0.77419355];[ 0.38990826  0.26519337];[   0.50929293    0.51320953    0.32755081  199.5       ];-0.05208333638417189;0.14299988746643066
18;0.33333333333333331;[ 0.85858586  0.16      ];[ 0.25222552  0.77419355];[ 0.38990826  0.26519337];[   0.50929293    0.51320953    0.32755081  199.5       ];-0.052083336384171897;0.14999985694885254
19;0.33333333333333331;[ 0.85858586  0.16      ];[ 0.25222552  0.77419355];[ 0.38990826  0.26519337];[   0.50929293    0.51320953    0.32755081  199.5       ];-0.052083336384171897;0.15700006484985352
20;0.33333333333333331;[ 0.85858586  0.16      ];[ 0.25222552  0.77419355];[ 0.38990826  0.26519337];[   0.50929293    0.51320953    0.32755081  199.5       ];-0.052083336384171897;0.14400005340576172
21;0.33333333333333331;[ 0.85858586  0.16      ];[ 0.25222552  0.77419355];[ 0.38990826  0.26519337];[   0.50929293    0.51320953    0.32755081  199.5       ];-0.052083336384171897;0.15400004386901855
22;0.33333333333333331;[ 0.85858586  0.16      ];[ 0.25222552  0.77419355];[ 0.38990826  0.26519337];[   0.50929293    0.51320953    0.32755081  199.5       ];-0.05208333638417189;0.1510000228881836
23;0.33333333333333331;[ 0.85858586  0.16      ];[ 0.25222552  0.77419355];[ 0.38990826  0.26519337];[   0.50929293    0.51320953    0.32755081  199.5       ];-0.05208333638417191;0.14500021934509277
24;0.33333333333333331;[ 0.85858586  0.16      ];[ 0.25222552  0.77419355];[ 0.38990826  0.26519337];[   0.50929293    0.51320953    0.32755081  199.5       ];-0.05208333638417189;0.14599990844726562
25;0.33333333333333331;[ 0.85858586  0.16      ];[ 0.25222552  0.77419355];[ 0.38990826  0.26519337];[   0.50929293    0.51320953    0.32755081  199.5       ];-0.05208333638417189;0.13899993896484375
 ;Accuracy;Precison;Recall;F-Score;;;
Media Final:;0.33333333333333337;0.50929292929292924;0.51320953383746515;0.32755081352324011;;;
