 ; ;Classe 0;Classe 1;Classe 2;All Class;;
Execution Number;Accuracy ;Precision/Recall/F-Score;Precision/Recall/F-Score;Precision/Recall/F-Score;Precision/Recall/F-Score/Support;Silhouette Coefficient;Time (seconds)
1;0.4759036144578313;[ 0.94578313  0.0060241 ];[ 0.48757764  0.1       ];[ 0.64344262  0.01136364];[   0.47590361    0.29378882    0.32740313  166.        ];-0.13430122360359359;0.08599996566772461
2;0.4759036144578313;[ 0.94578313  0.0060241 ];[ 0.48757764  0.1       ];[ 0.64344262  0.01136364];[   0.47590361    0.29378882    0.32740313  166.        ];-0.13430122360359359;0.08600020408630371
3;0.4759036144578313;[ 0.94578313  0.0060241 ];[ 0.48757764  0.1       ];[ 0.64344262  0.01136364];[   0.47590361    0.29378882    0.32740313  166.        ];-0.13430122360359356;0.10299992561340332
4;0.4759036144578313;[ 0.94578313  0.0060241 ];[ 0.48757764  0.1       ];[ 0.64344262  0.01136364];[   0.47590361    0.29378882    0.32740313  166.        ];-0.13430122360359356;0.08099985122680664
5;0.4759036144578313;[ 0.94578313  0.0060241 ];[ 0.48757764  0.1       ];[ 0.64344262  0.01136364];[   0.47590361    0.29378882    0.32740313  166.        ];-0.13430122360359356;0.07800006866455078
6;0.4759036144578313;[ 0.94578313  0.0060241 ];[ 0.48757764  0.1       ];[ 0.64344262  0.01136364];[   0.47590361    0.29378882    0.32740313  166.        ];-0.13430122360359359;0.08100008964538574
7;0.4759036144578313;[ 0.94578313  0.0060241 ];[ 0.48757764  0.1       ];[ 0.64344262  0.01136364];[   0.47590361    0.29378882    0.32740313  166.        ];-0.13430122360359359;0.0820000171661377
8;0.4759036144578313;[ 0.94578313  0.0060241 ];[ 0.48757764  0.1       ];[ 0.64344262  0.01136364];[   0.47590361    0.29378882    0.32740313  166.        ];-0.13430122360359356;0.09100008010864258
9;0.4759036144578313;[ 0.94578313  0.0060241 ];[ 0.48757764  0.1       ];[ 0.64344262  0.01136364];[   0.47590361    0.29378882    0.32740313  166.        ];-0.13430122360359356;0.08599996566772461
10;0.4759036144578313;[ 0.94578313  0.0060241 ];[ 0.48757764  0.1       ];[ 0.64344262  0.01136364];[   0.47590361    0.29378882    0.32740313  166.        ];-0.13430122360359359;0.08899998664855957
11;0.4759036144578313;[ 0.94578313  0.0060241 ];[ 0.48757764  0.1       ];[ 0.64344262  0.01136364];[   0.47590361    0.29378882    0.32740313  166.        ];-0.13430122360359359;0.08500003814697266
12;0.4759036144578313;[ 0.94578313  0.0060241 ];[ 0.48757764  0.1       ];[ 0.64344262  0.01136364];[   0.47590361    0.29378882    0.32740313  166.        ];-0.13430122360359356;0.08500003814697266
13;0.4759036144578313;[ 0.94578313  0.0060241 ];[ 0.48757764  0.1       ];[ 0.64344262  0.01136364];[   0.47590361    0.29378882    0.32740313  166.        ];-0.13430122360359356;0.07699990272521973
14;0.4759036144578313;[ 0.94578313  0.0060241 ];[ 0.48757764  0.1       ];[ 0.64344262  0.01136364];[   0.47590361    0.29378882    0.32740313  166.        ];-0.13430122360359356;0.0820000171661377
15;0.4759036144578313;[ 0.94578313  0.0060241 ];[ 0.48757764  0.1       ];[ 0.64344262  0.01136364];[   0.47590361    0.29378882    0.32740313  166.        ];-0.13430122360359353;0.08000016212463379
16;0.4759036144578313;[ 0.94578313  0.0060241 ];[ 0.48757764  0.1       ];[ 0.64344262  0.01136364];[   0.47590361    0.29378882    0.32740313  166.        ];-0.13430122360359353;0.07800006866455078
17;0.4759036144578313;[ 0.94578313  0.0060241 ];[ 0.48757764  0.1       ];[ 0.64344262  0.01136364];[   0.47590361    0.29378882    0.32740313  166.        ];-0.13430122360359356;0.07899999618530273
18;0.4759036144578313;[ 0.94578313  0.0060241 ];[ 0.48757764  0.1       ];[ 0.64344262  0.01136364];[   0.47590361    0.29378882    0.32740313  166.        ];-0.13430122360359353;0.08100008964538574
19;0.4759036144578313;[ 0.94578313  0.0060241 ];[ 0.48757764  0.1       ];[ 0.64344262  0.01136364];[   0.47590361    0.29378882    0.32740313  166.        ];-0.13430122360359359;0.07899999618530273
20;0.4759036144578313;[ 0.94578313  0.0060241 ];[ 0.48757764  0.1       ];[ 0.64344262  0.01136364];[   0.47590361    0.29378882    0.32740313  166.        ];-0.13430122360359359;0.07800006866455078
21;0.4759036144578313;[ 0.94578313  0.0060241 ];[ 0.48757764  0.1       ];[ 0.64344262  0.01136364];[   0.47590361    0.29378882    0.32740313  166.        ];-0.13430122360359356;0.0820000171661377
22;0.4759036144578313;[ 0.94578313  0.0060241 ];[ 0.48757764  0.1       ];[ 0.64344262  0.01136364];[   0.47590361    0.29378882    0.32740313  166.        ];-0.13430122360359359;0.08700013160705566
23;0.4759036144578313;[ 0.94578313  0.0060241 ];[ 0.48757764  0.1       ];[ 0.64344262  0.01136364];[   0.47590361    0.29378882    0.32740313  166.        ];-0.13430122360359359;0.08899998664855957
24;0.4759036144578313;[ 0.94578313  0.0060241 ];[ 0.48757764  0.1       ];[ 0.64344262  0.01136364];[   0.47590361    0.29378882    0.32740313  166.        ];-0.13430122360359359;0.08100008964538574
25;0.4759036144578313;[ 0.94578313  0.0060241 ];[ 0.48757764  0.1       ];[ 0.64344262  0.01136364];[   0.47590361    0.29378882    0.32740313  166.        ];-0.13430122360359359;0.08999991416931152
 ;Accuracy;Precison;Recall;F-Score;;;
Media Final:;0.4759036144578313;0.47590361445783119;0.29378881987577637;0.32740312965722818;;;
