 , ,Classe 0,Classe 1,Classe 2,All Class
Execution Number,Accuracy ,Precision/Recall/F-Score,Precision/Recall/F-Score,Precision/Recall/F-Score,Precision/Recall/F-Score/Support,Silhouette Coefficient,Time (seconds)
1,0.3253012048192771,[ 0.93975904  0.0060241   0.03012048],[ 0.32911392  0.05555556  0.83333333],[ 0.4875      0.01086957  0.05813953],[   0.3253012     0.40600094    0.18550303  166.        ],-0.12677579289656019,0.30500006675720215
2,0.3253012048192771,[ 0.93975904  0.0060241   0.03012048],[ 0.32911392  0.05555556  0.83333333],[ 0.4875      0.01086957  0.05813953],[   0.3253012     0.40600094    0.18550303  166.        ],-0.12677579289656021,0.3339998722076416
3,0.3253012048192771,[ 0.93975904  0.0060241   0.03012048],[ 0.32911392  0.05555556  0.83333333],[ 0.4875      0.01086957  0.05813953],[   0.3253012     0.40600094    0.18550303  166.        ],-0.12677579289656021,0.3169999122619629
4,0.3253012048192771,[ 0.93975904  0.0060241   0.03012048],[ 0.32911392  0.05555556  0.83333333],[ 0.4875      0.01086957  0.05813953],[   0.3253012     0.40600094    0.18550303  166.        ],-0.12677579289656021,0.27300000190734863
5,0.3253012048192771,[ 0.93975904  0.0060241   0.03012048],[ 0.32911392  0.05555556  0.83333333],[ 0.4875      0.01086957  0.05813953],[   0.3253012     0.40600094    0.18550303  166.        ],-0.12677579289656021,0.2630000114440918
6,0.3253012048192771,[ 0.93975904  0.0060241   0.03012048],[ 0.32911392  0.05555556  0.83333333],[ 0.4875      0.01086957  0.05813953],[   0.3253012     0.40600094    0.18550303  166.        ],-0.12677579289656019,0.34399986267089844
7,0.3253012048192771,[ 0.93975904  0.0060241   0.03012048],[ 0.32911392  0.05555556  0.83333333],[ 0.4875      0.01086957  0.05813953],[   0.3253012     0.40600094    0.18550303  166.        ],-0.12677579289656021,0.25500011444091797
8,0.3253012048192771,[ 0.93975904  0.0060241   0.03012048],[ 0.32911392  0.05555556  0.83333333],[ 0.4875      0.01086957  0.05813953],[   0.3253012     0.40600094    0.18550303  166.        ],-0.12677579289656021,0.25499987602233887
9,0.3253012048192771,[ 0.93975904  0.0060241   0.03012048],[ 0.32911392  0.05555556  0.83333333],[ 0.4875      0.01086957  0.05813953],[   0.3253012     0.40600094    0.18550303  166.        ],-0.12677579289656021,0.25300002098083496
10,0.3253012048192771,[ 0.93975904  0.0060241   0.03012048],[ 0.32911392  0.05555556  0.83333333],[ 0.4875      0.01086957  0.05813953],[   0.3253012     0.40600094    0.18550303  166.        ],-0.12677579289656021,0.2589998245239258
