 ; ;Classe 0;Classe 1;Classe 2;All Class;;
Execution Number;Accuracy ;Precision/Recall/F-Score;Precision/Recall/F-Score;Precision/Recall/F-Score;Precision/Recall/F-Score/Support;Silhouette Coefficient;Time (seconds)
1;0.22935153583617748;[ 0.96987952  0.13471901];[ 0.12529183  0.97222222];[ 0.22191592  0.23664638];[  5.52299266e-01   5.48757026e-01   2.29281151e-01   7.32500000e+02];-0.49385936354478921;654.800.009.727.478
2;0.22935153583617748;[ 0.96987952  0.13471901];[ 0.12529183  0.97222222];[ 0.22191592  0.23664638];[  5.52299266e-01   5.48757026e-01   2.29281151e-01   7.32500000e+02];-0.49385936354478921;7.536.999.940.872.190
3;0.22935153583617748;[ 0.96987952  0.13471901];[ 0.12529183  0.97222222];[ 0.22191592  0.23664638];[  5.52299266e-01   5.48757026e-01   2.29281151e-01   7.32500000e+02];-0.49385936354478921;6.430.999.994.277.950
4;0.22935153583617748;[ 0.96987952  0.13471901];[ 0.12529183  0.97222222];[ 0.22191592  0.23664638];[  5.52299266e-01   5.48757026e-01   2.29281151e-01   7.32500000e+02];-0.49385936354478921;8.138.000.011.444.090
5;0.22935153583617748;[ 0.96987952  0.13471901];[ 0.12529183  0.97222222];[ 0.22191592  0.23664638];[  5.52299266e-01   5.48757026e-01   2.29281151e-01   7.32500000e+02];-0.49385936354478921;691.100.001.335.144
6;0.22935153583617748;[ 0.96987952  0.13471901];[ 0.12529183  0.97222222];[ 0.22191592  0.23664638];[  5.52299266e-01   5.48757026e-01   2.29281151e-01   7.32500000e+02];-0.49385936354478921;7.521.000.146.865.840
7;0.22935153583617748;[ 0.96987952  0.13471901];[ 0.12529183  0.97222222];[ 0.22191592  0.23664638];[  5.52299266e-01   5.48757026e-01   2.29281151e-01   7.32500000e+02];-0.49385936354478921;658.299.994.468.689
8;0.22935153583617748;[ 0.96987952  0.13471901];[ 0.12529183  0.97222222];[ 0.22191592  0.23664638];[  5.52299266e-01   5.48757026e-01   2.29281151e-01   7.32500000e+02];-0.49385936354478921;6.437.000.036.239.620
9;0.22935153583617748;[ 0.96987952  0.13471901];[ 0.12529183  0.97222222];[ 0.22191592  0.23664638];[  5.52299266e-01   5.48757026e-01   2.29281151e-01   7.32500000e+02];-0.49385936354478921;669.599.986.076.355
