 , ,Classe 0,Classe 1,Classe 2,All Class
Execution Number,Accuracy ,Precision/Recall/F-Score,Precision/Recall/F-Score,Precision/Recall/F-Score,Precision/Recall/F-Score/Support,Silhouette Coefficient,Time (seconds)
1,0.091674925668979182,[ 0.95180723  0.          0.04882459],[ 0.08250653  0.          0.58695652],[ 0.15185007  0.          0.09015025],[  3.33543941e-01   2.23154350e-01   8.06667742e-02   6.72666667e+02],0.15584154111286755,19.894999980926514
2,0.091674925668979182,[ 0.95180723  0.          0.04882459],[ 0.08250653  0.          0.58695652],[ 0.15185007  0.          0.09015025],[  3.33543941e-01   2.23154350e-01   8.06667742e-02   6.72666667e+02],0.15584154111286755,18.71499991416931
3,0.091674925668979182,[ 0.95180723  0.          0.04882459],[ 0.08250653  0.          0.58695652],[ 0.15185007  0.          0.09015025],[  3.33543941e-01   2.23154350e-01   8.06667742e-02   6.72666667e+02],0.15584154111286755,20.972000122070312
4,0.091674925668979182,[ 0.95180723  0.          0.04882459],[ 0.08250653  0.          0.58695652],[ 0.15185007  0.          0.09015025],[  3.33543941e-01   2.23154350e-01   8.06667742e-02   6.72666667e+02],0.15584154111286755,18.644999980926514
5,0.091674925668979182,[ 0.95180723  0.          0.04882459],[ 0.08250653  0.          0.58695652],[ 0.15185007  0.          0.09015025],[  3.33543941e-01   2.23154350e-01   8.06667742e-02   6.72666667e+02],0.15584154111286758,17.765000104904175
6,0.091674925668979182,[ 0.95180723  0.          0.04882459],[ 0.08250653  0.          0.58695652],[ 0.15185007  0.          0.09015025],[  3.33543941e-01   2.23154350e-01   8.06667742e-02   6.72666667e+02],0.15584154111286755,17.82200002670288
7,0.091674925668979182,[ 0.95180723  0.          0.04882459],[ 0.08250653  0.          0.58695652],[ 0.15185007  0.          0.09015025],[  3.33543941e-01   2.23154350e-01   8.06667742e-02   6.72666667e+02],0.15584154111286758,17.82100009918213
8,0.091674925668979182,[ 0.95180723  0.          0.04882459],[ 0.08250653  0.          0.58695652],[ 0.15185007  0.          0.09015025],[  3.33543941e-01   2.23154350e-01   8.06667742e-02   6.72666667e+02],0.15584154111286755,17.59999990463257
9,0.091674925668979182,[ 0.95180723  0.          0.04882459],[ 0.08250653  0.          0.58695652],[ 0.15185007  0.          0.09015025],[  3.33543941e-01   2.23154350e-01   8.06667742e-02   6.72666667e+02],0.15584154111286758,17.590999841690063
10,0.091674925668979182,[ 0.95180723  0.          0.04882459],[ 0.08250653  0.          0.58695652],[ 0.15185007  0.          0.09015025],[  3.33543941e-01   2.23154350e-01   8.06667742e-02   6.72666667e+02],0.15584154111286755,20.055999994277954
11,0.091674925668979182,[ 0.95180723  0.          0.04882459],[ 0.08250653  0.          0.58695652],[ 0.15185007  0.          0.09015025],[  3.33543941e-01   2.23154350e-01   8.06667742e-02   6.72666667e+02],0.15584154111286755,18.39400005340576
12,0.091674925668979182,[ 0.95180723  0.          0.04882459],[ 0.08250653  0.          0.58695652],[ 0.15185007  0.          0.09015025],[  3.33543941e-01   2.23154350e-01   8.06667742e-02   6.72666667e+02],0.15584154111286755,18.651000022888184
13,0.091674925668979182,[ 0.95180723  0.          0.04882459],[ 0.08250653  0.          0.58695652],[ 0.15185007  0.          0.09015025],[  3.33543941e-01   2.23154350e-01   8.06667742e-02   6.72666667e+02],0.15584154111286755,17.948999881744385
14,0.091674925668979182,[ 0.95180723  0.          0.04882459],[ 0.08250653  0.          0.58695652],[ 0.15185007  0.          0.09015025],[  3.33543941e-01   2.23154350e-01   8.06667742e-02   6.72666667e+02],0.15584154111286755,19.85800004005432
15,0.091674925668979182,[ 0.95180723  0.          0.04882459],[ 0.08250653  0.          0.58695652],[ 0.15185007  0.          0.09015025],[  3.33543941e-01   2.23154350e-01   8.06667742e-02   6.72666667e+02],0.15584154111286758,18.816999912261963
