 , ,Classe 0,Classe 1,Classe 2,All Class
Execution Number,Accuracy ,Precision/Recall/F-Score,Precision/Recall/F-Score,Precision/Recall/F-Score,Precision/Recall/F-Score/Support,Silhouette Coefficient,Time (seconds)
1,0.47122302158273383,[ 0.92086331  0.02158273],[ 0.48484848  0.21428571],[ 0.63523573  0.03921569],[   0.47122302    0.3495671     0.33722571  139.        ],-0.066217770138860876,0.05800008773803711
2,0.47122302158273383,[ 0.92086331  0.02158273],[ 0.48484848  0.21428571],[ 0.63523573  0.03921569],[   0.47122302    0.3495671     0.33722571  139.        ],-0.066217770138860862,0.054000139236450195
3,0.47122302158273383,[ 0.92086331  0.02158273],[ 0.48484848  0.21428571],[ 0.63523573  0.03921569],[   0.47122302    0.3495671     0.33722571  139.        ],-0.066217770138860862,0.05099987983703613
4,0.47122302158273383,[ 0.92086331  0.02158273],[ 0.48484848  0.21428571],[ 0.63523573  0.03921569],[   0.47122302    0.3495671     0.33722571  139.        ],-0.066217770138860862,0.051000118255615234
5,0.47122302158273383,[ 0.92086331  0.02158273],[ 0.48484848  0.21428571],[ 0.63523573  0.03921569],[   0.47122302    0.3495671     0.33722571  139.        ],-0.066217770138860862,0.05200004577636719
6,0.47122302158273383,[ 0.92086331  0.02158273],[ 0.48484848  0.21428571],[ 0.63523573  0.03921569],[   0.47122302    0.3495671     0.33722571  139.        ],-0.066217770138860862,0.05099987983703613
7,0.47122302158273383,[ 0.92086331  0.02158273],[ 0.48484848  0.21428571],[ 0.63523573  0.03921569],[   0.47122302    0.3495671     0.33722571  139.        ],-0.066217770138860862,0.051000118255615234
8,0.47122302158273383,[ 0.92086331  0.02158273],[ 0.48484848  0.21428571],[ 0.63523573  0.03921569],[   0.47122302    0.3495671     0.33722571  139.        ],-0.066217770138860876,0.04999995231628418
9,0.47122302158273383,[ 0.92086331  0.02158273],[ 0.48484848  0.21428571],[ 0.63523573  0.03921569],[   0.47122302    0.3495671     0.33722571  139.        ],-0.066217770138860876,0.04999995231628418
10,0.47122302158273383,[ 0.92086331  0.02158273],[ 0.48484848  0.21428571],[ 0.63523573  0.03921569],[   0.47122302    0.3495671     0.33722571  139.        ],-0.066217770138860876,0.053999900817871094
11,0.47122302158273383,[ 0.92086331  0.02158273],[ 0.48484848  0.21428571],[ 0.63523573  0.03921569],[   0.47122302    0.3495671     0.33722571  139.        ],-0.066217770138860876,0.05500006675720215
12,0.47122302158273383,[ 0.92086331  0.02158273],[ 0.48484848  0.21428571],[ 0.63523573  0.03921569],[   0.47122302    0.3495671     0.33722571  139.        ],-0.066217770138860862,0.051000118255615234
13,0.47122302158273383,[ 0.92086331  0.02158273],[ 0.48484848  0.21428571],[ 0.63523573  0.03921569],[   0.47122302    0.3495671     0.33722571  139.        ],-0.066217770138860862,0.04999995231628418
14,0.47122302158273383,[ 0.92086331  0.02158273],[ 0.48484848  0.21428571],[ 0.63523573  0.03921569],[   0.47122302    0.3495671     0.33722571  139.        ],-0.066217770138860876,0.0559999942779541
15,0.47122302158273383,[ 0.92086331  0.02158273],[ 0.48484848  0.21428571],[ 0.63523573  0.03921569],[   0.47122302    0.3495671     0.33722571  139.        ],-0.066217770138860862,0.054000139236450195
16,0.47122302158273383,[ 0.92086331  0.02158273],[ 0.48484848  0.21428571],[ 0.63523573  0.03921569],[   0.47122302    0.3495671     0.33722571  139.        ],-0.066217770138860876,0.051999807357788086
17,0.47122302158273383,[ 0.92086331  0.02158273],[ 0.48484848  0.21428571],[ 0.63523573  0.03921569],[   0.47122302    0.3495671     0.33722571  139.        ],-0.066217770138860876,0.05099987983703613
18,0.47122302158273383,[ 0.92086331  0.02158273],[ 0.48484848  0.21428571],[ 0.63523573  0.03921569],[   0.47122302    0.3495671     0.33722571  139.        ],-0.066217770138860862,0.05200004577636719
19,0.47122302158273383,[ 0.92086331  0.02158273],[ 0.48484848  0.21428571],[ 0.63523573  0.03921569],[   0.47122302    0.3495671     0.33722571  139.        ],-0.066217770138860862,0.05200004577636719
20,0.47122302158273383,[ 0.92086331  0.02158273],[ 0.48484848  0.21428571],[ 0.63523573  0.03921569],[   0.47122302    0.3495671     0.33722571  139.        ],-0.066217770138860876,0.051000118255615234
21,0.47122302158273383,[ 0.92086331  0.02158273],[ 0.48484848  0.21428571],[ 0.63523573  0.03921569],[   0.47122302    0.3495671     0.33722571  139.        ],-0.066217770138860876,0.05200004577636719
22,0.47122302158273383,[ 0.92086331  0.02158273],[ 0.48484848  0.21428571],[ 0.63523573  0.03921569],[   0.47122302    0.3495671     0.33722571  139.        ],-0.066217770138860862,0.05200004577636719
23,0.47122302158273383,[ 0.92086331  0.02158273],[ 0.48484848  0.21428571],[ 0.63523573  0.03921569],[   0.47122302    0.3495671     0.33722571  139.        ],-0.066217770138860876,0.05099987983703613
24,0.47122302158273383,[ 0.92086331  0.02158273],[ 0.48484848  0.21428571],[ 0.63523573  0.03921569],[   0.47122302    0.3495671     0.33722571  139.        ],-0.066217770138860876,0.05200004577636719
25,0.47122302158273383,[ 0.92086331  0.02158273],[ 0.48484848  0.21428571],[ 0.63523573  0.03921569],[   0.47122302    0.3495671     0.33722571  139.        ],-0.06621777013886089,0.04999995231628418
 ,Accuracy,Precison,Recall,F-Score
Media Final:,0.47122302158273383,0.47122302158273394,0.34956709956709964,0.33722570914221772
