 ; ;Classe 0;Classe 1;Classe 2;All Class;;
Execution Number;Accuracy ;Precision/Recall/F-Score;Precision/Recall/F-Score;Precision/Recall/F-Score;Precision/Recall/F-Score/Support;Silhouette Coefficient;Time (seconds)
1;0.5236768802228412;[ 0.12087912  0.93785311];[ 0.66666667  0.50920245];[ 0.20465116  0.66003976];[   0.52936611    0.58793456    0.43234546  179.5       ];-0.022746074072964289;0.10899996757507324
2;0.5236768802228412;[ 0.12087912  0.93785311];[ 0.66666667  0.50920245];[ 0.20465116  0.66003976];[   0.52936611    0.58793456    0.43234546  179.5       ];-0.022746074072964289;0.13700008392333984
3;0.5236768802228412;[ 0.12087912  0.93785311];[ 0.66666667  0.50920245];[ 0.20465116  0.66003976];[   0.52936611    0.58793456    0.43234546  179.5       ];-0.022746074072964292;0.10599994659423828
4;0.5236768802228412;[ 0.12087912  0.93785311];[ 0.66666667  0.50920245];[ 0.20465116  0.66003976];[   0.52936611    0.58793456    0.43234546  179.5       ];-0.022746074072964289;0.10199999809265137
5;0.5236768802228412;[ 0.12087912  0.93785311];[ 0.66666667  0.50920245];[ 0.20465116  0.66003976];[   0.52936611    0.58793456    0.43234546  179.5       ];-0.022746074072964289;0.10299992561340332
6;0.5236768802228412;[ 0.12087912  0.93785311];[ 0.66666667  0.50920245];[ 0.20465116  0.66003976];[   0.52936611    0.58793456    0.43234546  179.5       ];-0.022746074072964289;0.10700011253356934
7;0.5236768802228412;[ 0.12087912  0.93785311];[ 0.66666667  0.50920245];[ 0.20465116  0.66003976];[   0.52936611    0.58793456    0.43234546  179.5       ];-0.022746074072964292;0.10199999809265137
8;0.5236768802228412;[ 0.12087912  0.93785311];[ 0.66666667  0.50920245];[ 0.20465116  0.66003976];[   0.52936611    0.58793456    0.43234546  179.5       ];-0.022746074072964282;0.10899996757507324
9;0.5236768802228412;[ 0.12087912  0.93785311];[ 0.66666667  0.50920245];[ 0.20465116  0.66003976];[   0.52936611    0.58793456    0.43234546  179.5       ];-0.022746074072964282;0.11100006103515625
10;0.5236768802228412;[ 0.12087912  0.93785311];[ 0.66666667  0.50920245];[ 0.20465116  0.66003976];[   0.52936611    0.58793456    0.43234546  179.5       ];-0.022746074072964289;0.10399985313415527
11;0.5236768802228412;[ 0.12087912  0.93785311];[ 0.66666667  0.50920245];[ 0.20465116  0.66003976];[   0.52936611    0.58793456    0.43234546  179.5       ];-0.022746074072964282;0.11299991607666016
12;0.5236768802228412;[ 0.12087912  0.93785311];[ 0.66666667  0.50920245];[ 0.20465116  0.66003976];[   0.52936611    0.58793456    0.43234546  179.5       ];-0.022746074072964289;0.10199999809265137
13;0.5236768802228412;[ 0.12087912  0.93785311];[ 0.66666667  0.50920245];[ 0.20465116  0.66003976];[   0.52936611    0.58793456    0.43234546  179.5       ];-0.022746074072964292;0.10399985313415527
14;0.5236768802228412;[ 0.12087912  0.93785311];[ 0.66666667  0.50920245];[ 0.20465116  0.66003976];[   0.52936611    0.58793456    0.43234546  179.5       ];-0.022746074072964289;0.1770000457763672
15;0.5236768802228412;[ 0.12087912  0.93785311];[ 0.66666667  0.50920245];[ 0.20465116  0.66003976];[   0.52936611    0.58793456    0.43234546  179.5       ];-0.022746074072964289;0.14300012588500977
16;0.5236768802228412;[ 0.12087912  0.93785311];[ 0.66666667  0.50920245];[ 0.20465116  0.66003976];[   0.52936611    0.58793456    0.43234546  179.5       ];-0.022746074072964289;0.0989999771118164
17;0.5236768802228412;[ 0.12087912  0.93785311];[ 0.66666667  0.50920245];[ 0.20465116  0.66003976];[   0.52936611    0.58793456    0.43234546  179.5       ];-0.022746074072964282;0.125
18;0.5236768802228412;[ 0.12087912  0.93785311];[ 0.66666667  0.50920245];[ 0.20465116  0.66003976];[   0.52936611    0.58793456    0.43234546  179.5       ];-0.022746074072964292;0.1230001449584961
19;0.5236768802228412;[ 0.12087912  0.93785311];[ 0.66666667  0.50920245];[ 0.20465116  0.66003976];[   0.52936611    0.58793456    0.43234546  179.5       ];-0.022746074072964289;0.0970001220703125
20;0.5236768802228412;[ 0.12087912  0.93785311];[ 0.66666667  0.50920245];[ 0.20465116  0.66003976];[   0.52936611    0.58793456    0.43234546  179.5       ];-0.022746074072964289;0.0969998836517334
21;0.5236768802228412;[ 0.12087912  0.93785311];[ 0.66666667  0.50920245];[ 0.20465116  0.66003976];[   0.52936611    0.58793456    0.43234546  179.5       ];-0.022746074072964289;0.0970001220703125
22;0.5236768802228412;[ 0.12087912  0.93785311];[ 0.66666667  0.50920245];[ 0.20465116  0.66003976];[   0.52936611    0.58793456    0.43234546  179.5       ];-0.022746074072964289;0.10800004005432129
23;0.5236768802228412;[ 0.12087912  0.93785311];[ 0.66666667  0.50920245];[ 0.20465116  0.66003976];[   0.52936611    0.58793456    0.43234546  179.5       ];-0.022746074072964289;0.0989999771118164
24;0.5236768802228412;[ 0.12087912  0.93785311];[ 0.66666667  0.50920245];[ 0.20465116  0.66003976];[   0.52936611    0.58793456    0.43234546  179.5       ];-0.022746074072964289;0.10000014305114746
25;0.5236768802228412;[ 0.12087912  0.93785311];[ 0.66666667  0.50920245];[ 0.20465116  0.66003976];[   0.52936611    0.58793456    0.43234546  179.5       ];-0.022746074072964289;0.13199996948242188
 ;Accuracy;Precison;Recall;F-Score;;;
Media Final:;0.52367688022284109;0.52936611411187684;0.58793456032719849;0.43234546211105479;;;
