 , ,Classe 0,Classe 1,Classe 2,All Class
Execution Number,Accuracy ,Precision/Recall/F-Score,Precision/Recall/F-Score,Precision/Recall/F-Score,Precision/Recall/F-Score/Support,Silhouette Coefficient,Time (seconds)
1,0.5236768802228412,[ 0.12087912  0.93785311],[ 0.66666667  0.50920245],[ 0.20465116  0.66003976],[   0.52936611    0.58793456    0.43234546  179.5       ],-0.022746074072964289,0.48200011253356934
2,0.5236768802228412,[ 0.12087912  0.93785311],[ 0.66666667  0.50920245],[ 0.20465116  0.66003976],[   0.52936611    0.58793456    0.43234546  179.5       ],-0.022746074072964289,0.11899995803833008
3,0.5236768802228412,[ 0.12087912  0.93785311],[ 0.66666667  0.50920245],[ 0.20465116  0.66003976],[   0.52936611    0.58793456    0.43234546  179.5       ],-0.022746074072964289,0.12000012397766113
4,0.5236768802228412,[ 0.12087912  0.93785311],[ 0.66666667  0.50920245],[ 0.20465116  0.66003976],[   0.52936611    0.58793456    0.43234546  179.5       ],-0.022746074072964279,0.11800003051757812
5,0.5236768802228412,[ 0.12087912  0.93785311],[ 0.66666667  0.50920245],[ 0.20465116  0.66003976],[   0.52936611    0.58793456    0.43234546  179.5       ],-0.022746074072964292,0.09800004959106445
6,0.5236768802228412,[ 0.12087912  0.93785311],[ 0.66666667  0.50920245],[ 0.20465116  0.66003976],[   0.52936611    0.58793456    0.43234546  179.5       ],-0.022746074072964282,0.09900021553039551
7,0.5236768802228412,[ 0.12087912  0.93785311],[ 0.66666667  0.50920245],[ 0.20465116  0.66003976],[   0.52936611    0.58793456    0.43234546  179.5       ],-0.022746074072964289,0.09800004959106445
8,0.5236768802228412,[ 0.12087912  0.93785311],[ 0.66666667  0.50920245],[ 0.20465116  0.66003976],[   0.52936611    0.58793456    0.43234546  179.5       ],-0.022746074072964289,0.0989999771118164
9,0.5236768802228412,[ 0.12087912  0.93785311],[ 0.66666667  0.50920245],[ 0.20465116  0.66003976],[   0.52936611    0.58793456    0.43234546  179.5       ],-0.022746074072964289,0.11599993705749512
10,0.5236768802228412,[ 0.12087912  0.93785311],[ 0.66666667  0.50920245],[ 0.20465116  0.66003976],[   0.52936611    0.58793456    0.43234546  179.5       ],-0.022746074072964289,0.1100001335144043
11,0.5236768802228412,[ 0.12087912  0.93785311],[ 0.66666667  0.50920245],[ 0.20465116  0.66003976],[   0.52936611    0.58793456    0.43234546  179.5       ],-0.022746074072964289,0.12299990653991699
12,0.5236768802228412,[ 0.12087912  0.93785311],[ 0.66666667  0.50920245],[ 0.20465116  0.66003976],[   0.52936611    0.58793456    0.43234546  179.5       ],-0.022746074072964296,0.11299991607666016
13,0.5236768802228412,[ 0.12087912  0.93785311],[ 0.66666667  0.50920245],[ 0.20465116  0.66003976],[   0.52936611    0.58793456    0.43234546  179.5       ],-0.022746074072964282,0.125
14,0.5236768802228412,[ 0.12087912  0.93785311],[ 0.66666667  0.50920245],[ 0.20465116  0.66003976],[   0.52936611    0.58793456    0.43234546  179.5       ],-0.022746074072964289,0.1490001678466797
15,0.5236768802228412,[ 0.12087912  0.93785311],[ 0.66666667  0.50920245],[ 0.20465116  0.66003976],[   0.52936611    0.58793456    0.43234546  179.5       ],-0.022746074072964289,0.21399998664855957
16,0.5236768802228412,[ 0.12087912  0.93785311],[ 0.66666667  0.50920245],[ 0.20465116  0.66003976],[   0.52936611    0.58793456    0.43234546  179.5       ],-0.022746074072964282,0.17300009727478027
17,0.5236768802228412,[ 0.12087912  0.93785311],[ 0.66666667  0.50920245],[ 0.20465116  0.66003976],[   0.52936611    0.58793456    0.43234546  179.5       ],-0.022746074072964289,0.12599992752075195
18,0.5236768802228412,[ 0.12087912  0.93785311],[ 0.66666667  0.50920245],[ 0.20465116  0.66003976],[   0.52936611    0.58793456    0.43234546  179.5       ],-0.022746074072964282,0.10800004005432129
19,0.5236768802228412,[ 0.12087912  0.93785311],[ 0.66666667  0.50920245],[ 0.20465116  0.66003976],[   0.52936611    0.58793456    0.43234546  179.5       ],-0.022746074072964289,0.11399984359741211
20,0.5236768802228412,[ 0.12087912  0.93785311],[ 0.66666667  0.50920245],[ 0.20465116  0.66003976],[   0.52936611    0.58793456    0.43234546  179.5       ],-0.022746074072964289,0.10299992561340332
21,0.5236768802228412,[ 0.12087912  0.93785311],[ 0.66666667  0.50920245],[ 0.20465116  0.66003976],[   0.52936611    0.58793456    0.43234546  179.5       ],-0.022746074072964289,0.10599994659423828
22,0.5236768802228412,[ 0.12087912  0.93785311],[ 0.66666667  0.50920245],[ 0.20465116  0.66003976],[   0.52936611    0.58793456    0.43234546  179.5       ],-0.022746074072964289,0.10299992561340332
23,0.5236768802228412,[ 0.12087912  0.93785311],[ 0.66666667  0.50920245],[ 0.20465116  0.66003976],[   0.52936611    0.58793456    0.43234546  179.5       ],-0.022746074072964289,0.10500001907348633
24,0.5236768802228412,[ 0.12087912  0.93785311],[ 0.66666667  0.50920245],[ 0.20465116  0.66003976],[   0.52936611    0.58793456    0.43234546  179.5       ],-0.022746074072964289,0.10599994659423828
25,0.5236768802228412,[ 0.12087912  0.93785311],[ 0.66666667  0.50920245],[ 0.20465116  0.66003976],[   0.52936611    0.58793456    0.43234546  179.5       ],-0.022746074072964289,0.10400009155273438
 ,Accuracy,Precison,Recall,F-Score
Media Final:,0.52367688022284109,0.52936611411187684,0.58793456032719849,0.43234546211105479
