 , ,Classe 0,Classe 1,Classe 2,All Class
Execution Number,Accuracy ,Precision/Recall/F-Score,Precision/Recall/F-Score,Precision/Recall/F-Score,Precision/Recall/F-Score/Support,Silhouette Coefficient,Time (seconds)
1,0.52833333333333332,[ 0.53024911  0.52664577],[ 0.49666667  0.56      ],[ 0.51290878  0.54281099],[   0.52844744    0.52833333    0.52785988  300.        ],0.0030980718885911334,3.196000099182129
2,0.47833333333333333,[ 0.48115942  0.4745098 ],[ 0.55333333  0.40333333],[ 0.51472868  0.43603604],[   0.47783461    0.47833333    0.47538236  300.        ],0.00054219935839586728,2.8939998149871826
3,0.52833333333333332,[ 0.53024911  0.52664577],[ 0.49666667  0.56      ],[ 0.51290878  0.54281099],[   0.52844744    0.52833333    0.52785988  300.        ],0.0030980718885911334,2.944000005722046
4,0.47999999999999998,[ 0.48214286  0.47727273],[ 0.54  0.42],[ 0.50943396  0.44680851],[   0.47970779    0.48          0.47812124  300.        ],-2.3567832476426947e-06,3.1430001258850098
5,0.47166666666666668,[ 0.47335423  0.46975089],[ 0.50333333  0.44      ],[ 0.48788368  0.45438898],[   0.47155256    0.47166667    0.47113633  300.        ],0.0030980718885911334,3.3610000610351562
6,0.52500000000000002,[ 0.52808989  0.52252252],[ 0.47  0.58],[ 0.4973545   0.54976303],[   0.52530621    0.525         0.52355877  300.        ],0.001743877704387975,3.4489998817443848
7,0.47166666666666668,[ 0.47335423  0.46975089],[ 0.50333333  0.44      ],[ 0.48788368  0.45438898],[   0.47155256    0.47166667    0.47113633  300.        ],0.0030980718885911334,3.805000066757202
8,0.52166666666666661,[ 0.5254902   0.51884058],[ 0.44666667  0.59666667],[ 0.48288288  0.55503876],[   0.52216539    0.52166667    0.51896082  300.        ],0.00054219935839586728,3.9769999980926514
9,0.47999999999999998,[ 0.48181818  0.47777778],[ 0.53  0.43],[ 0.5047619   0.45263158],[   0.47979798    0.48          0.47869674  300.        ],-3.1514693309360927e-06,4.424000024795532
10,0.47833333333333333,[ 0.48115942  0.4745098 ],[ 0.55333333  0.40333333],[ 0.51472868  0.43603604],[   0.47783461    0.47833333    0.47538236  300.        ],0.00054219935839586728,4.24399995803833
11,0.52833333333333332,[ 0.53024911  0.52664577],[ 0.49666667  0.56      ],[ 0.51290878  0.54281099],[   0.52844744    0.52833333    0.52785988  300.        ],0.0030980718885911334,4.858999967575073
12,0.52166666666666661,[ 0.5254902   0.51884058],[ 0.44666667  0.59666667],[ 0.48288288  0.55503876],[   0.52216539    0.52166667    0.51896082  300.        ],0.00054219935839586728,4.835000038146973
13,0.47999999999999998,[ 0.48181818  0.47777778],[ 0.53  0.43],[ 0.5047619   0.45263158],[   0.47979798    0.48          0.47869674  300.        ],-3.1514693309360927e-06,5.108999967575073
14,0.47833333333333333,[ 0.48115942  0.4745098 ],[ 0.55333333  0.40333333],[ 0.51472868  0.43603604],[   0.47783461    0.47833333    0.47538236  300.        ],0.00054219935839586728,6.101000070571899
15,0.52833333333333332,[ 0.53024911  0.52664577],[ 0.49666667  0.56      ],[ 0.51290878  0.54281099],[   0.52844744    0.52833333    0.52785988  300.        ],0.0030980718885911334,5.421999931335449
16,0.47166666666666668,[ 0.47335423  0.46975089],[ 0.50333333  0.44      ],[ 0.48788368  0.45438898],[   0.47155256    0.47166667    0.47113633  300.        ],0.0030980718885911334,5.944999933242798
17,0.52833333333333332,[ 0.53024911  0.52664577],[ 0.49666667  0.56      ],[ 0.51290878  0.54281099],[   0.52844744    0.52833333    0.52785988  300.        ],0.0030980718885911334,8.075999975204468
18,0.47166666666666668,[ 0.47335423  0.46975089],[ 0.50333333  0.44      ],[ 0.48788368  0.45438898],[   0.47155256    0.47166667    0.47113633  300.        ],0.0030980718885911334,6.734000205993652
19,0.52333333333333332,[ 0.52517986  0.52173913],[ 0.48666667  0.56      ],[ 0.50519031  0.54019293],[   0.52345949    0.52333333    0.52269162  300.        ],0.0011213983850128298,8.819999933242798
20,0.47666666666666668,[ 0.47826087  0.47482014],[ 0.51333333  0.44      ],[ 0.49517685  0.4567474 ],[   0.47654051    0.47666667    0.47596213  300.        ],0.0011213983850128298,7.973999977111816
21,0.52166666666666661,[ 0.5254902   0.51884058],[ 0.44666667  0.59666667],[ 0.48288288  0.55503876],[   0.52216539    0.52166667    0.51896082  300.        ],0.00054219935839586728,8.274999856948853
22,0.52833333333333332,[ 0.53024911  0.52664577],[ 0.49666667  0.56      ],[ 0.51290878  0.54281099],[   0.52844744    0.52833333    0.52785988  300.        ],0.0030980718885911334,8.779000043869019
23,0.52833333333333332,[ 0.53024911  0.52664577],[ 0.49666667  0.56      ],[ 0.51290878  0.54281099],[   0.52844744    0.52833333    0.52785988  300.        ],0.0030980718885911334,9.751000165939331
24,0.52166666666666661,[ 0.5254902   0.51884058],[ 0.44666667  0.59666667],[ 0.48288288  0.55503876],[   0.52216539    0.52166667    0.51896082  300.        ],0.00054219935839586728,8.513999938964844
25,0.47166666666666668,[ 0.47335423  0.46975089],[ 0.50333333  0.44      ],[ 0.48788368  0.45438898],[   0.47155256    0.47166667    0.47113633  300.        ],0.0030980718885911334,9.615000009536743
 ,Accuracy,Precison,Recall,F-Score
Media Final:,0.50173333333333336,0.50174680892499557,0.50173333333333336,0.5004167374059818
