 ; ;Classe 0;Classe 1;Classe 2;All Class;;
Execution Number;Accuracy ;Precision/Recall/F-Score;Precision/Recall/F-Score;Precision/Recall/F-Score;Precision/Recall/F-Score/Support;Silhouette Coefficient;Time (seconds)
1;0.46115288220551376;[ 0.22488038  0.72105263];[ 0.47        0.45819398];[ 0.30420712  0.5603272 ];[   0.47296651    0.46409699    0.43226716  199.5       ];0.0089847282667334123;19.040.000.438.690.100
2;0.5714285714285714;[ 0.28220859  0.77118644];[ 0.46        0.60869565];[ 0.34980989  0.68037383];[   0.52669751    0.53434783    0.51509186  199.5       ];0.02520598658775209;17.709.999.084.472.600
3;0.53884711779448624;[ 0.27894737  0.77511962];[ 0.53        0.54180602];[ 0.36551724  0.63779528];[   0.52703349    0.53590301    0.50165626  199.5       ];0.0089847282667334123;19.690.001.010.894.700
4;0.42857142857142855;[ 0.22649573  0.71515152];[ 0.53        0.39464883];[ 0.31736527  0.50862069];[   0.47082362    0.46232441    0.41299298  199.5       ];0.027048983289146639;20.829.999.446.868.800
5;0.46115288220551376;[ 0.22488038  0.72105263];[ 0.47        0.45819398];[ 0.30420712  0.5603272 ];[   0.47296651    0.46409699    0.43226716  199.5       ];0.0089847282667334123;2.248.000.144.958.490
6;0.5714285714285714;[ 0.28220859  0.77118644];[ 0.46        0.60869565];[ 0.34980989  0.68037383];[   0.52669751    0.53434783    0.51509186  199.5       ];0.02520598658775209;24.779.999.256.134.000
7;0.53884711779448624;[ 0.27894737  0.77511962];[ 0.53        0.54180602];[ 0.36551724  0.63779528];[   0.52703349    0.53590301    0.50165626  199.5       ];0.0089847282667334123;2.506.999.969.482.420
8;0.5714285714285714;[ 0.28220859  0.77118644];[ 0.46        0.60869565];[ 0.34980989  0.68037383];[   0.52669751    0.53434783    0.51509186  199.5       ];0.02520598658775209;28.470.001.220.703.100
9;0.53884711779448624;[ 0.27894737  0.77511962];[ 0.53        0.54180602];[ 0.36551724  0.63779528];[   0.52703349    0.53590301    0.50165626  199.5       ];0.0089847282667334123;2.883.999.824.523.920
10;0.53884711779448624;[ 0.27894737  0.77511962];[ 0.53        0.54180602];[ 0.36551724  0.63779528];[   0.52703349    0.53590301    0.50165626  199.5       ];0.0089847282667334123;3.118.000.030.517.570
11;0.54135338345864659;[ 0.27807487  0.77358491];[ 0.52        0.54849498];[ 0.36236934  0.64187867];[   0.52582989    0.53424749    0.502124    199.5       ];0.0099292654058468263;31.740.000.247.955.300
12;0.5714285714285714;[ 0.28220859  0.77118644];[ 0.46        0.60869565];[ 0.34980989  0.68037383];[   0.52669751    0.53434783    0.51509186  199.5       ];0.02520598658775209;4.028.000.116.348.260
13;0.53884711779448624;[ 0.27894737  0.77511962];[ 0.53        0.54180602];[ 0.36551724  0.63779528];[   0.52703349    0.53590301    0.50165626  199.5       ];0.0089847282667334123;3.885.999.917.984.000
14;0.5714285714285714;[ 0.28220859  0.77118644];[ 0.46        0.60869565];[ 0.34980989  0.68037383];[   0.52669751    0.53434783    0.51509186  199.5       ];0.02520598658775209;37.269.999.980.926.500
15;0.5714285714285714;[ 0.28220859  0.77118644];[ 0.46        0.60869565];[ 0.34980989  0.68037383];[   0.52669751    0.53434783    0.51509186  199.5       ];0.02520598658775209;39.489.998.817.443.800
16;0.53884711779448624;[ 0.27894737  0.77511962];[ 0.53        0.54180602];[ 0.36551724  0.63779528];[   0.52703349    0.53590301    0.50165626  199.5       ];0.0089847282667334123;4.203.000.068.664.550
17;0.46115288220551376;[ 0.22488038  0.72105263];[ 0.47        0.45819398];[ 0.30420712  0.5603272 ];[   0.47296651    0.46409699    0.43226716  199.5       ];0.0089847282667334123;4.440.999.984.741.210
18;0.42857142857142855;[ 0.22881356  0.71779141];[ 0.54        0.39130435];[ 0.32142857  0.50649351];[   0.47330249    0.46565217    0.41396104  199.5       ];0.02520598658775209;441.700.005.531.311
19;0.45864661654135336;[ 0.22641509  0.72192513];[ 0.48        0.45150502];[ 0.30769231  0.55555556];[   0.47417011    0.46575251    0.43162393  199.5       ];0.0099292654058468263;4.874.000.072.479.240
20;0.5714285714285714;[ 0.28220859  0.77118644];[ 0.46        0.60869565];[ 0.34980989  0.68037383];[   0.52669751    0.53434783    0.51509186  199.5       ];0.02520598658775209;5.562.999.963.760.370
21;0.5714285714285714;[ 0.28220859  0.77118644];[ 0.46        0.60869565];[ 0.34980989  0.68037383];[   0.52669751    0.53434783    0.51509186  199.5       ];0.02520598658775209;4.322.000.026.702.880
22;0.5714285714285714;[ 0.28220859  0.77118644];[ 0.46        0.60869565];[ 0.34980989  0.68037383];[   0.52669751    0.53434783    0.51509186  199.5       ];0.02520598658775209;4.394.999.980.926.510
23;0.42857142857142855;[ 0.22881356  0.71779141];[ 0.54        0.39130435];[ 0.32142857  0.50649351];[   0.47330249    0.46565217    0.41396104  199.5       ];0.02520598658775209;4.536.999.940.872.190
24;0.53884711779448624;[ 0.27894737  0.77511962];[ 0.53        0.54180602];[ 0.36551724  0.63779528];[   0.52703349    0.53590301    0.50165626  199.5       ];0.0089847282667334123;4.924.000.024.795.530
25;0.46115288220551376;[ 0.22488038  0.72105263];[ 0.47        0.45819398];[ 0.30420712  0.5603272 ];[   0.47296651    0.46409699    0.43226716  199.5       ];0.0089847282667334123;4.924.999.952.316.280
 ;Accuracy;Precison;Recall;F-Score;;;
Media Final:;0.52180451127819549;0.50955226812060384;0.51241872909698993;0.48204608672076199;;;
