 , ,Classe 0,Classe 1,Classe 2,All Class
Execution Number,Accuracy ,Precision/Recall/F-Score,Precision/Recall/F-Score,Precision/Recall/F-Score,Precision/Recall/F-Score/Support,Silhouette Coefficient,Time (seconds)
1,0.36546184738955823,[ 0.22289157  0.10843373  0.76506024],[ 0.3627451   0.33962264  0.37026239],[ 0.2761194   0.16438356  0.49901768],[   0.36546185    0.35754338    0.31317355  166.        ],-0.038384737250185777,0.8910000324249268
2,0.36546184738955823,[ 0.22289157  0.10843373  0.76506024],[ 0.3627451   0.33962264  0.37026239],[ 0.2761194   0.16438356  0.49901768],[   0.36546185    0.35754338    0.31317355  166.        ],-0.038384737250185777,0.35500001907348633
3,0.36546184738955823,[ 0.22289157  0.10843373  0.76506024],[ 0.3627451   0.33962264  0.37026239],[ 0.2761194   0.16438356  0.49901768],[   0.36546185    0.35754338    0.31317355  166.        ],-0.038384737250185777,0.4089999198913574
4,0.36546184738955823,[ 0.22289157  0.10843373  0.76506024],[ 0.3627451   0.33962264  0.37026239],[ 0.2761194   0.16438356  0.49901768],[   0.36546185    0.35754338    0.31317355  166.        ],-0.038384737250185777,0.36999988555908203
5,0.36546184738955823,[ 0.22289157  0.10843373  0.76506024],[ 0.3627451   0.33962264  0.37026239],[ 0.2761194   0.16438356  0.49901768],[   0.36546185    0.35754338    0.31317355  166.        ],-0.038384737250185777,0.3989999294281006
6,0.36546184738955823,[ 0.22289157  0.10843373  0.76506024],[ 0.3627451   0.33962264  0.37026239],[ 0.2761194   0.16438356  0.49901768],[   0.36546185    0.35754338    0.31317355  166.        ],-0.038384737250185777,0.3769998550415039
7,0.36546184738955823,[ 0.22289157  0.10843373  0.76506024],[ 0.3627451   0.33962264  0.37026239],[ 0.2761194   0.16438356  0.49901768],[   0.36546185    0.35754338    0.31317355  166.        ],-0.038384737250185777,0.41100001335144043
8,0.36546184738955823,[ 0.22289157  0.10843373  0.76506024],[ 0.3627451   0.33962264  0.37026239],[ 0.2761194   0.16438356  0.49901768],[   0.36546185    0.35754338    0.31317355  166.        ],-0.038384737250185777,0.33299994468688965
9,0.36546184738955823,[ 0.22289157  0.10843373  0.76506024],[ 0.3627451   0.33962264  0.37026239],[ 0.2761194   0.16438356  0.49901768],[   0.36546185    0.35754338    0.31317355  166.        ],-0.038384737250185777,0.38300013542175293
10,0.36546184738955823,[ 0.22289157  0.10843373  0.76506024],[ 0.3627451   0.33962264  0.37026239],[ 0.2761194   0.16438356  0.49901768],[   0.36546185    0.35754338    0.31317355  166.        ],-0.038384737250185777,0.3810000419616699
11,0.36546184738955823,[ 0.22289157  0.10843373  0.76506024],[ 0.3627451   0.33962264  0.37026239],[ 0.2761194   0.16438356  0.49901768],[   0.36546185    0.35754338    0.31317355  166.        ],-0.038384737250185777,0.39299988746643066
12,0.36546184738955823,[ 0.22289157  0.10843373  0.76506024],[ 0.3627451   0.33962264  0.37026239],[ 0.2761194   0.16438356  0.49901768],[   0.36546185    0.35754338    0.31317355  166.        ],-0.038384737250185777,0.3489999771118164
13,0.36546184738955823,[ 0.22289157  0.10843373  0.76506024],[ 0.3627451   0.33962264  0.37026239],[ 0.2761194   0.16438356  0.49901768],[   0.36546185    0.35754338    0.31317355  166.        ],-0.038384737250185777,0.375
14,0.36546184738955823,[ 0.22289157  0.10843373  0.76506024],[ 0.3627451   0.33962264  0.37026239],[ 0.2761194   0.16438356  0.49901768],[   0.36546185    0.35754338    0.31317355  166.        ],-0.038384737250185777,0.36500000953674316
15,0.36546184738955823,[ 0.22289157  0.10843373  0.76506024],[ 0.3627451   0.33962264  0.37026239],[ 0.2761194   0.16438356  0.49901768],[   0.36546185    0.35754338    0.31317355  166.        ],-0.038384737250185777,0.37999987602233887
16,0.36546184738955823,[ 0.22289157  0.10843373  0.76506024],[ 0.3627451   0.33962264  0.37026239],[ 0.2761194   0.16438356  0.49901768],[   0.36546185    0.35754338    0.31317355  166.        ],-0.038384737250185777,0.33699989318847656
