 ; ;Classe 0;Classe 1;Classe 2;All Class;;
Execution Number;Accuracy ;Precision/Recall/F-Score;Precision/Recall/F-Score;Precision/Recall/F-Score;Precision/Recall/F-Score/Support;Silhouette Coefficient;Time (seconds)
1;0.43975903614457829;[ 0.81325301  0.06626506];[ 0.46551724  0.26190476];[ 0.59210526  0.10576923];[   0.43975904    0.363711      0.34893725  166.        ];-0.002895702594745907;0.11500000953674316
2;0.43975903614457829;[ 0.81325301  0.06626506];[ 0.46551724  0.26190476];[ 0.59210526  0.10576923];[   0.43975904    0.363711      0.34893725  166.        ];-0.002895702594745907;0.10899996757507324
3;0.43975903614457829;[ 0.81325301  0.06626506];[ 0.46551724  0.26190476];[ 0.59210526  0.10576923];[   0.43975904    0.363711      0.34893725  166.        ];-0.002895702594745907;0.1380000114440918
4;0.43975903614457829;[ 0.81325301  0.06626506];[ 0.46551724  0.26190476];[ 0.59210526  0.10576923];[   0.43975904    0.363711      0.34893725  166.        ];-0.002895702594745907;0.21399998664855957
5;0.43975903614457829;[ 0.81325301  0.06626506];[ 0.46551724  0.26190476];[ 0.59210526  0.10576923];[   0.43975904    0.363711      0.34893725  166.        ];-0.002895702594745907;0.15799999237060547
6;0.43975903614457829;[ 0.81325301  0.06626506];[ 0.46551724  0.26190476];[ 0.59210526  0.10576923];[   0.43975904    0.363711      0.34893725  166.        ];-0.002895702594745907;0.11499977111816406
7;0.43975903614457829;[ 0.81325301  0.06626506];[ 0.46551724  0.26190476];[ 0.59210526  0.10576923];[   0.43975904    0.363711      0.34893725  166.        ];-0.002895702594745907;0.11700010299682617
8;0.43975903614457829;[ 0.81325301  0.06626506];[ 0.46551724  0.26190476];[ 0.59210526  0.10576923];[   0.43975904    0.363711      0.34893725  166.        ];-0.002895702594745907;0.11300015449523926
9;0.43975903614457829;[ 0.81325301  0.06626506];[ 0.46551724  0.26190476];[ 0.59210526  0.10576923];[   0.43975904    0.363711      0.34893725  166.        ];-0.002895702594745907;0.10899996757507324
10;0.43975903614457829;[ 0.81325301  0.06626506];[ 0.46551724  0.26190476];[ 0.59210526  0.10576923];[   0.43975904    0.363711      0.34893725  166.        ];-0.002895702594745907;0.1099998950958252
11;0.43975903614457829;[ 0.81325301  0.06626506];[ 0.46551724  0.26190476];[ 0.59210526  0.10576923];[   0.43975904    0.363711      0.34893725  166.        ];-0.002895702594745907;0.11500000953674316
12;0.43975903614457829;[ 0.81325301  0.06626506];[ 0.46551724  0.26190476];[ 0.59210526  0.10576923];[   0.43975904    0.363711      0.34893725  166.        ];-0.002895702594745907;0.1100001335144043
13;0.43975903614457829;[ 0.81325301  0.06626506];[ 0.46551724  0.26190476];[ 0.59210526  0.10576923];[   0.43975904    0.363711      0.34893725  166.        ];-0.002895702594745907;0.11599993705749512
14;0.43975903614457829;[ 0.81325301  0.06626506];[ 0.46551724  0.26190476];[ 0.59210526  0.10576923];[   0.43975904    0.363711      0.34893725  166.        ];-0.002895702594745907;0.11100006103515625
15;0.43975903614457829;[ 0.81325301  0.06626506];[ 0.46551724  0.26190476];[ 0.59210526  0.10576923];[   0.43975904    0.363711      0.34893725  166.        ];-0.002895702594745907;0.11599993705749512
16;0.43975903614457829;[ 0.81325301  0.06626506];[ 0.46551724  0.26190476];[ 0.59210526  0.10576923];[   0.43975904    0.363711      0.34893725  166.        ];-0.002895702594745907;0.12800002098083496
17;0.43975903614457829;[ 0.81325301  0.06626506];[ 0.46551724  0.26190476];[ 0.59210526  0.10576923];[   0.43975904    0.363711      0.34893725  166.        ];-0.002895702594745907;0.1119999885559082
18;0.43975903614457829;[ 0.81325301  0.06626506];[ 0.46551724  0.26190476];[ 0.59210526  0.10576923];[   0.43975904    0.363711      0.34893725  166.        ];-0.002895702594745907;0.14400005340576172
19;0.43975903614457829;[ 0.81325301  0.06626506];[ 0.46551724  0.26190476];[ 0.59210526  0.10576923];[   0.43975904    0.363711      0.34893725  166.        ];-0.002895702594745907;0.15700006484985352
20;0.43975903614457829;[ 0.81325301  0.06626506];[ 0.46551724  0.26190476];[ 0.59210526  0.10576923];[   0.43975904    0.363711      0.34893725  166.        ];-0.002895702594745907;0.13000011444091797
21;0.43975903614457829;[ 0.81325301  0.06626506];[ 0.46551724  0.26190476];[ 0.59210526  0.10576923];[   0.43975904    0.363711      0.34893725  166.        ];-0.002895702594745907;0.12100005149841309
22;0.43975903614457829;[ 0.81325301  0.06626506];[ 0.46551724  0.26190476];[ 0.59210526  0.10576923];[   0.43975904    0.363711      0.34893725  166.        ];-0.002895702594745907;0.11700010299682617
23;0.43975903614457829;[ 0.81325301  0.06626506];[ 0.46551724  0.26190476];[ 0.59210526  0.10576923];[   0.43975904    0.363711      0.34893725  166.        ];-0.002895702594745907;0.12800002098083496
24;0.43975903614457829;[ 0.81325301  0.06626506];[ 0.46551724  0.26190476];[ 0.59210526  0.10576923];[   0.43975904    0.363711      0.34893725  166.        ];-0.002895702594745907;0.11800003051757812
25;0.43975903614457829;[ 0.81325301  0.06626506];[ 0.46551724  0.26190476];[ 0.59210526  0.10576923];[   0.43975904    0.363711      0.34893725  166.        ];-0.002895702594745907;0.11799979209899902
 ;Accuracy;Precison;Recall;F-Score;;;
Media Final:;0.43975903614457829;0.43975903614457823;0.36371100164203612;0.34893724696356271;;;
