 ; ;Classe 0;Classe 1;Classe 2;All Class;;
Execution Number;Accuracy ;Precision/Recall/F-Score;Precision/Recall/F-Score;Precision/Recall/F-Score;Precision/Recall/F-Score/Support;Silhouette Coefficient;Time (seconds)
1;0.095143706640237857;[ 0.75301205  0.          0.12115732];[ 0.08196721  0.          0.15366972];[ 0.14784151  0.          0.13549039];[  2.91389791e-01   7.85456460e-02   9.44439694e-02   6.72666667e+02];-0.32430673536794241;2.430.299.997.329.710
2;0.095143706640237857;[ 0.75301205  0.          0.12115732];[ 0.08196721  0.          0.15366972];[ 0.14784151  0.          0.13549039];[  2.91389791e-01   7.85456460e-02   9.44439694e-02   6.72666667e+02];-0.32430673536794241;24.253.999.948.501.500
3;0.095143706640237857;[ 0.75301205  0.          0.12115732];[ 0.08196721  0.          0.15366972];[ 0.14784151  0.          0.13549039];[  2.91389791e-01   7.85456460e-02   9.44439694e-02   6.72666667e+02];-0.32430673536794241;24.426.999.807.357.700
4;0.095143706640237857;[ 0.75301205  0.          0.12115732];[ 0.08196721  0.          0.15366972];[ 0.14784151  0.          0.13549039];[  2.91389791e-01   7.85456460e-02   9.44439694e-02   6.72666667e+02];-0.32430673536794241;20.914.000.034.332.200
5;0.095143706640237857;[ 0.75301205  0.          0.12115732];[ 0.08196721  0.          0.15366972];[ 0.14784151  0.          0.13549039];[  2.91389791e-01   7.85456460e-02   9.44439694e-02   6.72666667e+02];-0.32430673536794241;2.034.599.995.613.090
6;0.095143706640237857;[ 0.75301205  0.          0.12115732];[ 0.08196721  0.          0.15366972];[ 0.14784151  0.          0.13549039];[  2.91389791e-01   7.85456460e-02   9.44439694e-02   6.72666667e+02];-0.32430673536794241;20.825.000.047.683.700
7;0.095143706640237857;[ 0.75301205  0.          0.12115732];[ 0.08196721  0.          0.15366972];[ 0.14784151  0.          0.13549039];[  2.91389791e-01   7.85456460e-02   9.44439694e-02   6.72666667e+02];-0.32430673536794241;20.355.000.019.073.400
8;0.095143706640237857;[ 0.75301205  0.          0.12115732];[ 0.08196721  0.          0.15366972];[ 0.14784151  0.          0.13549039];[  2.91389791e-01   7.85456460e-02   9.44439694e-02   6.72666667e+02];-0.32430673536794241;2.052.999.997.138.970
9;0.095143706640237857;[ 0.75301205  0.          0.12115732];[ 0.08196721  0.          0.15366972];[ 0.14784151  0.          0.13549039];[  2.91389791e-01   7.85456460e-02   9.44439694e-02   6.72666667e+02];-0.32430673536794241;20.391.000.032.424.900
10;0.095143706640237857;[ 0.75301205  0.          0.12115732];[ 0.08196721  0.          0.15366972];[ 0.14784151  0.          0.13549039];[  2.91389791e-01   7.85456460e-02   9.44439694e-02   6.72666667e+02];-0.32430673536794241;2.052.300.000.190.730
11;0.095143706640237857;[ 0.75301205  0.          0.12115732];[ 0.08196721  0.          0.15366972];[ 0.14784151  0.          0.13549039];[  2.91389791e-01   7.85456460e-02   9.44439694e-02   6.72666667e+02];-0.32430673536794241;20.463.000.059.127.800
12;0.095143706640237857;[ 0.75301205  0.          0.12115732];[ 0.08196721  0.          0.15366972];[ 0.14784151  0.          0.13549039];[  2.91389791e-01   7.85456460e-02   9.44439694e-02   6.72666667e+02];-0.32430673536794241;20.381.999.969.482.400
13;0.095143706640237857;[ 0.75301205  0.          0.12115732];[ 0.08196721  0.          0.15366972];[ 0.14784151  0.          0.13549039];[  2.91389791e-01   7.85456460e-02   9.44439694e-02   6.72666667e+02];-0.32430673536794241;20.611.999.988.555.900
14;0.095143706640237857;[ 0.75301205  0.          0.12115732];[ 0.08196721  0.          0.15366972];[ 0.14784151  0.          0.13549039];[  2.91389791e-01   7.85456460e-02   9.44439694e-02   6.72666667e+02];-0.32430673536794241;20.374.000.072.479.200
15;0.095143706640237857;[ 0.75301205  0.          0.12115732];[ 0.08196721  0.          0.15366972];[ 0.14784151  0.          0.13549039];[  2.91389791e-01   7.85456460e-02   9.44439694e-02   6.72666667e+02];-0.32430673536794241;2.066.099.977.493.280
16;0.095143706640237857;[ 0.75301205  0.          0.12115732];[ 0.08196721  0.          0.15366972];[ 0.14784151  0.          0.13549039];[  2.91389791e-01   7.85456460e-02   9.44439694e-02   6.72666667e+02];-0.32430673536794241;20.585.999.965.667.700
17;0.095143706640237857;[ 0.75301205  0.          0.12115732];[ 0.08196721  0.          0.15366972];[ 0.14784151  0.          0.13549039];[  2.91389791e-01   7.85456460e-02   9.44439694e-02   6.72666667e+02];-0.32430673536794241;20.986.000.061.035.100
18;0.095143706640237857;[ 0.75301205  0.          0.12115732];[ 0.08196721  0.          0.15366972];[ 0.14784151  0.          0.13549039];[  2.91389791e-01   7.85456460e-02   9.44439694e-02   6.72666667e+02];-0.32430673536794241;2.036.899.995.803.830
