 ; ;Classe 0;Classe 1;Classe 2;All Class;;
Execution Number;Accuracy ;Precision/Recall/F-Score;Precision/Recall/F-Score;Precision/Recall/F-Score;Precision/Recall/F-Score/Support;Silhouette Coefficient;Time (seconds)
1;0.3023890784982935;[ 0.98192771  0.21555042];[ 0.13790186  0.98939929];[ 0.24183976  0.3539823 ];[  5.98739067e-01   5.63650577e-01   2.97911032e-01   7.32500000e+02];-0.45179367043984764;8.223.000.049.591.060
2;0.3023890784982935;[ 0.98192771  0.21555042];[ 0.13790186  0.98939929];[ 0.24183976  0.3539823 ];[  5.98739067e-01   5.63650577e-01   2.97911032e-01   7.32500000e+02];-0.45179367043984764;836.299.991.607.666
3;0.3023890784982935;[ 0.98192771  0.21555042];[ 0.13790186  0.98939929];[ 0.24183976  0.3539823 ];[  5.98739067e-01   5.63650577e-01   2.97911032e-01   7.32500000e+02];-0.45179367043984764;8.605.000.019.073.480
4;0.3023890784982935;[ 0.98192771  0.21555042];[ 0.13790186  0.98939929];[ 0.24183976  0.3539823 ];[  5.98739067e-01   5.63650577e-01   2.97911032e-01   7.32500000e+02];-0.45179367043984764;8.865.000.009.536.740
5;0.3023890784982935;[ 0.98192771  0.21555042];[ 0.13790186  0.98939929];[ 0.24183976  0.3539823 ];[  5.98739067e-01   5.63650577e-01   2.97911032e-01   7.32500000e+02];-0.45179367043984764;9.561.000.108.718.870
6;0.3023890784982935;[ 0.98192771  0.21555042];[ 0.13790186  0.98939929];[ 0.24183976  0.3539823 ];[  5.98739067e-01   5.63650577e-01   2.97911032e-01   7.32500000e+02];-0.45179367043984764;8.259.000.062.942.500
7;0.3023890784982935;[ 0.98192771  0.21555042];[ 0.13790186  0.98939929];[ 0.24183976  0.3539823 ];[  5.98739067e-01   5.63650577e-01   2.97911032e-01   7.32500000e+02];-0.45179367043984764;8.055.999.994.277.950
8;0.3023890784982935;[ 0.98192771  0.21555042];[ 0.13790186  0.98939929];[ 0.24183976  0.3539823 ];[  5.98739067e-01   5.63650577e-01   2.97911032e-01   7.32500000e+02];-0.45179367043984764;8.598.000.049.591.060
9;0.3023890784982935;[ 0.98192771  0.21555042];[ 0.13790186  0.98939929];[ 0.24183976  0.3539823 ];[  5.98739067e-01   5.63650577e-01   2.97911032e-01   7.32500000e+02];-0.45179367043984764;9.260.000.228.881.830
10;0.3023890784982935;[ 0.98192771  0.21555042];[ 0.13790186  0.98939929];[ 0.24183976  0.3539823 ];[  5.98739067e-01   5.63650577e-01   2.97911032e-01   7.32500000e+02];-0.45179367043984764;9.551.000.118.255.610
11;0.3023890784982935;[ 0.98192771  0.21555042];[ 0.13790186  0.98939929];[ 0.24183976  0.3539823 ];[  5.98739067e-01   5.63650577e-01   2.97911032e-01   7.32500000e+02];-0.45179367043984764;8.830.999.851.226.800
12;0.3023890784982935;[ 0.98192771  0.21555042];[ 0.13790186  0.98939929];[ 0.24183976  0.3539823 ];[  5.98739067e-01   5.63650577e-01   2.97911032e-01   7.32500000e+02];-0.45179367043984764;9.386.000.156.402.580
13;0.3023890784982935;[ 0.98192771  0.21555042];[ 0.13790186  0.98939929];[ 0.24183976  0.3539823 ];[  5.98739067e-01   5.63650577e-01   2.97911032e-01   7.32500000e+02];-0.45179367043984764;8.532.999.992.370.600
14;0.3023890784982935;[ 0.98192771  0.21555042];[ 0.13790186  0.98939929];[ 0.24183976  0.3539823 ];[  5.98739067e-01   5.63650577e-01   2.97911032e-01   7.32500000e+02];-0.45179367043984764;8.247.999.906.539.910
15;0.3023890784982935;[ 0.98192771  0.21555042];[ 0.13790186  0.98939929];[ 0.24183976  0.3539823 ];[  5.98739067e-01   5.63650577e-01   2.97911032e-01   7.32500000e+02];-0.45179367043984764;833.400.011.062.622
16;0.3023890784982935;[ 0.98192771  0.21555042];[ 0.13790186  0.98939929];[ 0.24183976  0.3539823 ];[  5.98739067e-01   5.63650577e-01   2.97911032e-01   7.32500000e+02];-0.45179367043984764;8.121.000.051.498.410
17;0.3023890784982935;[ 0.98192771  0.21555042];[ 0.13790186  0.98939929];[ 0.24183976  0.3539823 ];[  5.98739067e-01   5.63650577e-01   2.97911032e-01   7.32500000e+02];-0.45179367043984764;8.663.000.106.811.520
18;0.3023890784982935;[ 0.98192771  0.21555042];[ 0.13790186  0.98939929];[ 0.24183976  0.3539823 ];[  5.98739067e-01   5.63650577e-01   2.97911032e-01   7.32500000e+02];-0.45179367043984764;8.569.000.005.722.040
19;0.3023890784982935;[ 0.98192771  0.21555042];[ 0.13790186  0.98939929];[ 0.24183976  0.3539823 ];[  5.98739067e-01   5.63650577e-01   2.97911032e-01   7.32500000e+02];-0.45179367043984764;817.900.013.923.645
20;0.3023890784982935;[ 0.98192771  0.21555042];[ 0.13790186  0.98939929];[ 0.24183976  0.3539823 ];[  5.98739067e-01   5.63650577e-01   2.97911032e-01   7.32500000e+02];-0.45179367043984764;8.549.000.024.795.530
21;0.3023890784982935;[ 0.98192771  0.21555042];[ 0.13790186  0.98939929];[ 0.24183976  0.3539823 ];[  5.98739067e-01   5.63650577e-01   2.97911032e-01   7.32500000e+02];-0.45179367043984764;9.849.999.904.632.560
22;0.3023890784982935;[ 0.98192771  0.21555042];[ 0.13790186  0.98939929];[ 0.24183976  0.3539823 ];[  5.98739067e-01   5.63650577e-01   2.97911032e-01   7.32500000e+02];-0.45179367043984764;8.061.999.797.821.040
23;0.3023890784982935;[ 0.98192771  0.21555042];[ 0.13790186  0.98939929];[ 0.24183976  0.3539823 ];[  5.98739067e-01   5.63650577e-01   2.97911032e-01   7.32500000e+02];-0.45179367043984764;8.348.000.049.591.060
24;0.3023890784982935;[ 0.98192771  0.21555042];[ 0.13790186  0.98939929];[ 0.24183976  0.3539823 ];[  5.98739067e-01   5.63650577e-01   2.97911032e-01   7.32500000e+02];-0.45179367043984764;8.151.000.022.888.180
25;0.3023890784982935;[ 0.98192771  0.21555042];[ 0.13790186  0.98939929];[ 0.24183976  0.3539823 ];[  5.98739067e-01   5.63650577e-01   2.97911032e-01   7.32500000e+02];-0.45179367043984764;8.105.000.019.073.480
 ;Accuracy;Precison;Recall;F-Score;;;
Media Final:;0.30238907849829355;0.59873906712299541;0.56365057726916679;0.29791103174811595;;;
