 ; ;Precison;Recall;F-Score;;;
Execution Number;Accuracy ;Classe0/1/2;Classe0/1/2;Classe0/1/2;Classe0/1/2;Silhouette Coefficient;Time (seconds)
1;0.28313253012048195;[ 0.35294118  0.30861244  0.0952381 ];[ 0.03614458  0.77710843  0.03614458];[ 0.06557377  0.44178082  0.05240175];[   0.2522639     0.28313253    0.18658545  166.        ];-0.20695530228638995;12.388.999.938.964.800
2;0.29518072289156627;[ 0.33870968  0.29133858  0.27272727];[ 0.12650602  0.6686747   0.09036145];[ 0.18421053  0.40585009  0.13574661];[   0.30092518    0.29518072    0.24193574  166.        ];-0.12048571342736537;4.585.000.038.146.970
3;0.2971887550200803;[ 0.32545932  0.33928571  0.08196721];[ 0.74698795  0.11445783  0.03012048];[ 0.45338208  0.17117117  0.04405286];[   0.24890408    0.29718876    0.22286871  166.        ];-0.11722917142216593;5.641.999.959.945.670
4;0.27710843373493976;[ 0.38596491  0.29133858  0.08333333];[ 0.13253012  0.6686747   0.03012048];[ 0.19730942  0.40585009  0.04424779];[   0.25354561    0.27710843    0.21580243  166.        ];-0.11873753402628505;6.363.000.154.495.230
5;0.38554216867469882;[ 0.33870968  0.6         0.37121212];[ 0.12650602  0.14457831  0.88554217];[ 0.18421053  0.23300971  0.52313167];[   0.4366406     0.38554217    0.31345064  166.        ];-0.23662057971493869;7.385.999.917.984.000
6;0.27510040160642568;[ 0.07317073  0.29824561  0.25862069];[ 0.01807229  0.71686747  0.09036145];[ 0.02898551  0.42123894  0.13392857];[   0.21001235    0.2751004     0.19471767  166.        ];-0.20994232468597895;8.171.000.003.814.690
7;0.30120481927710846;[ 0.32545932  0.36206897  0.08474576];[ 0.74698795  0.12650602  0.03012048];[ 0.45338208  0.1875      0.04444444];[   0.25742468    0.30120482    0.22844218  166.        ];-0.12004102643504029;929.200.005.531.311
8;0.37349397590361444;[ 0.33870968  0.34545455  0.3832021 ];[ 0.12650602  0.11445783  0.87951807];[ 0.18421053  0.1719457   0.53382084];[   0.35578877    0.37349398    0.29665902  166.        ];-0.12048571342736537;10.111.999.988.555.900
9;0.34738955823293172;[ 0.32545932  0.57627119  0.25862069];[ 0.74698795  0.20481928  0.09036145];[ 0.45338208  0.30222222  0.13392857];[   0.38678373    0.34738956    0.29651096  166.        ];-0.12004102643504029;12.368.000.030.517.500
10;0.31927710843373491;[ 0.16666667  0.30434783  0.32196162];[ 0.0060241   0.04216867  0.90963855];[ 0.01162791  0.07407407  0.47559055];[   0.26432537    0.31927711    0.18709751  166.        ];-0.14926837560175227;12.832.000.017.166.100
