 ; ;Classe 0;Classe 1;Classe 2;All Class;;
Execution Number;Accuracy ;Precision/Recall/F-Score;Precision/Recall/F-Score;Precision/Recall/F-Score;Precision/Recall/F-Score/Support;Silhouette Coefficient;Time (seconds)
1;0.54518072289156627;[ 0.52727273  0.63157895];[ 0.87349398  0.21686747];[ 0.65759637  0.32286996];[   0.57942584    0.54518072    0.49023316  166.        ];0.0042684160990357038;432.699.990.272.522
2;0.49698795180722893;[ 0.4982699   0.48837209];[ 0.86746988  0.12650602];[ 0.63296703  0.20095694];[   0.49332099    0.49698795    0.41696199  166.        ];-0.005938058744238685;29.570.000.171.661.300
3;0.54518072289156627;[ 0.52727273  0.63157895];[ 0.87349398  0.21686747];[ 0.65759637  0.32286996];[   0.57942584    0.54518072    0.49023316  166.        ];0.0042684160990357038;3.565.000.057.220.450
4;0.43373493975903615;[ 0.46357616  0.13333333];[ 0.84337349  0.02409639];[ 0.5982906   0.04081633];[   0.29845475    0.43373494    0.31955346  166.        ];-0.038780041016482039;43.399.999.141.693.100
5;0.54518072289156627;[ 0.52727273  0.63157895];[ 0.87349398  0.21686747];[ 0.65759637  0.32286996];[   0.57942584    0.54518072    0.49023316  166.        ];0.0042684160990357038;4.891.999.959.945.670
6;0.54518072289156627;[ 0.52727273  0.63157895];[ 0.87349398  0.21686747];[ 0.65759637  0.32286996];[   0.57942584    0.54518072    0.49023316  166.        ];0.0042684160990357038;5.398.000.001.907.340
7;0.45481927710843373;[ 0.36842105  0.47272727];[ 0.12650602  0.78313253];[ 0.18834081  0.58956916];[   0.42057416    0.45481928    0.38895498  166.        ];0.0042684160990357038;6.064.000.129.699.700
8;0.5662650602409639;[ 0.86666667  0.53642384];[ 0.15662651  0.97590361];[ 0.26530612  0.69230769];[   0.70154525    0.56626506    0.47880691  166.        ];-0.038780041016482039;6.371.000.051.498.410
9;0.5662650602409639;[ 0.86666667  0.53642384];[ 0.15662651  0.97590361];[ 0.26530612  0.69230769];[   0.70154525    0.56626506    0.47880691  166.        ];-0.038780041016482039;7.185.999.870.300.290
10;0.52409638554216864;[ 0.63333333  0.51324503];[ 0.11445783  0.93373494];[ 0.19387755  0.66239316];[   0.57328918    0.52409639    0.42813536  166.        ];-0.014222246325768037;7.480.999.946.594.230
11;0.54518072289156627;[ 0.52727273  0.63157895];[ 0.87349398  0.21686747];[ 0.65759637  0.32286996];[   0.57942584    0.54518072    0.49023316  166.        ];0.0042684160990357038;824.399.995.803.833
12;0.45481927710843373;[ 0.36842105  0.47272727];[ 0.12650602  0.78313253];[ 0.18834081  0.58956916];[   0.42057416    0.45481928    0.38895498  166.        ];0.0042684160990357038;832.800.006.866.455
13;0.54518072289156627;[ 0.52727273  0.63157895];[ 0.87349398  0.21686747];[ 0.65759637  0.32286996];[   0.57942584    0.54518072    0.49023316  166.        ];0.0042684160990357038;960.700.011.253.357
14;0.54518072289156627;[ 0.52727273  0.63157895];[ 0.87349398  0.21686747];[ 0.65759637  0.32286996];[   0.57942584    0.54518072    0.49023316  166.        ];0.0042684160990357038;9.559.999.942.779.540
15;0.58132530120481929;[ 0.7755102   0.54770318];[ 0.22891566  0.93373494];[ 0.35348837  0.69042316];[   0.66160669    0.5813253     0.52195577  166.        ];0.017900603557833104;9.789.000.034.332.270
16;0.54518072289156627;[ 0.52727273  0.63157895];[ 0.87349398  0.21686747];[ 0.65759637  0.32286996];[   0.57942584    0.54518072    0.49023316  166.        ];0.0042684160990357038;10.747.999.906.539.900
17;0.45481927710843373;[ 0.36842105  0.47272727];[ 0.12650602  0.78313253];[ 0.18834081  0.58956916];[   0.42057416    0.45481928    0.38895498  166.        ];0.0042684160990357038;1.102.999.997.138.970
18;0.5662650602409639;[ 0.86666667  0.53642384];[ 0.15662651  0.97590361];[ 0.26530612  0.69230769];[   0.70154525    0.56626506    0.47880691  166.        ];-0.038780041016482039;11.719.000.101.089.400
19;0.50301204819277112;[ 0.51162791  0.5017301 ];[ 0.13253012  0.87349398];[ 0.21052632  0.63736264];[   0.50667901    0.50301205    0.42394448  166.        ];-0.005938058744238685;1.282.699.990.272.520
20;0.50301204819277112;[ 0.51162791  0.5017301 ];[ 0.13253012  0.87349398];[ 0.21052632  0.63736264];[   0.50667901    0.50301205    0.42394448  166.        ];-0.005938058744238685;1.270.900.011.062.620
21;0.54518072289156627;[ 0.52727273  0.63157895];[ 0.87349398  0.21686747];[ 0.65759637  0.32286996];[   0.57942584    0.54518072    0.49023316  166.        ];0.0042684160990357038;1.320.300.006.866.450
22;0.50301204819277112;[ 0.51162791  0.5017301 ];[ 0.13253012  0.87349398];[ 0.21052632  0.63736264];[   0.50667901    0.50301205    0.42394448  166.        ];-0.005938058744238685;1.388.699.984.550.470
23;0.45481927710843373;[ 0.36842105  0.47272727];[ 0.12650602  0.78313253];[ 0.18834081  0.58956916];[   0.42057416    0.45481928    0.38895498  166.        ];0.0042684160990357038;15.193.000.078.201.200
24;0.41867469879518071;[ 0.11428571  0.45454545];[ 0.02409639  0.81325301];[ 0.039801    0.58315335];[   0.28441558    0.4186747     0.31147717  166.        ];-0.017832422834308966;15.125
25;0.45481927710843373;[ 0.36842105  0.47272727];[ 0.12650602  0.78313253];[ 0.18834081  0.58956916];[   0.42057416    0.45481928    0.38895498  166.        ];0.0042684160990357038;15.628.000.020.980.800
 ;Accuracy;Precison;Recall;F-Score;;;
Media Final:;0.51373493975903617;0.53013853310307613;0.51373493975903617;0.4425284514875048;;;
