 ; ;Classe 0;Classe 1;Classe 2;All Class;;
Execution Number;Accuracy ;Precision/Recall/F-Score;Precision/Recall/F-Score;Precision/Recall/F-Score;Precision/Recall/F-Score/Support;Silhouette Coefficient;Time (seconds)
1;0.4279863481228669;[ 0.14926931  0.95463511];[ 0.86144578  0.3725943 ];[ 0.2544484   0.53599114];[  5.51952210e-01   6.17020043e-01   3.95219770e-01   7.32500000e+02];-0.14885090367932971;1.820.199.990.272.520
2;0.31877133105802047;[ 0.14013841  0.98705502];[ 0.97590361  0.234796  ];[ 0.24508321  0.37935323];[  5.63596712e-01   6.05349806e-01   3.12218221e-01   7.32500000e+02];-0.41317361710106859;18.891.000.032.424.900
3;0.26552901023890785;[ 0.12083333  0.92075472];[ 0.87349398  0.1878368 ];[ 0.21229868  0.31202046];[  5.20794025e-01   5.30665387e-01   2.62159571e-01   7.32500000e+02];-0.18764547769196915;20.967.999.935.150.100
4;0.81433447098976108;[ 0.13194444  0.88872067];[ 0.11445783  0.90377213];[ 0.12258065  0.89618321];[  5.10332555e-01   5.09114982e-01   5.09381926e-01   7.32500000e+02];0.10894003303637291;24.837.000.131.607.000
5;0.68122866894197953;[ 0.01294498  0.85986159];[ 0.02409639  0.765204  ];[ 0.01684211  0.80977597];[  4.36403288e-01   3.94650194e-01   4.13309036e-01   7.32500000e+02];-0.41317361710106859;27.205.999.851.226.800
6;0.26552901023890785;[ 0.12083333  0.92075472];[ 0.87349398  0.1878368 ];[ 0.21229868  0.31202046];[  5.20794025e-01   5.30665387e-01   2.62159571e-01   7.32500000e+02];-0.18764547769196915;301.560.001.373.291
7;0.31877133105802047;[ 0.14013841  0.98705502];[ 0.97590361  0.234796  ];[ 0.24508321  0.37935323];[  5.63596712e-01   6.05349806e-01   3.12218221e-01   7.32500000e+02];-0.41317361710106859;3.363.699.984.550.470
8;0.26552901023890785;[ 0.12083333  0.92075472];[ 0.87349398  0.1878368 ];[ 0.21229868  0.31202046];[  5.20794025e-01   5.30665387e-01   2.62159571e-01   7.32500000e+02];-0.18764547769196915;3.801.900.005.340.570
9;0.68122866894197953;[ 0.01294498  0.85986159];[ 0.02409639  0.765204  ];[ 0.01684211  0.80977597];[  4.36403288e-01   3.94650194e-01   4.13309036e-01   7.32500000e+02];-0.41317361710106859;43.705.000.162.124.600
10;0.26552901023890785;[ 0.12083333  0.92075472];[ 0.87349398  0.1878368 ];[ 0.21229868  0.31202046];[  5.20794025e-01   5.30665387e-01   2.62159571e-01   7.32500000e+02];-0.18764547769196915;43.507.999.897.003.100
11;0.31877133105802047;[ 0.14013841  0.98705502];[ 0.97590361  0.234796  ];[ 0.24508321  0.37935323];[  5.63596712e-01   6.05349806e-01   3.12218221e-01   7.32500000e+02];-0.41317361710106859;4.647.099.995.613.090
12;0.68122866894197953;[ 0.01294498  0.85986159];[ 0.02409639  0.765204  ];[ 0.01684211  0.80977597];[  4.36403288e-01   3.94650194e-01   4.13309036e-01   7.32500000e+02];-0.41317361710106859;5.176.099.991.798.400
13;0.31877133105802047;[ 0.14013841  0.98705502];[ 0.97590361  0.234796  ];[ 0.24508321  0.37935323];[  5.63596712e-01   6.05349806e-01   3.12218221e-01   7.32500000e+02];-0.41317361710106859;5.403.800.010.681.150
14;0.31877133105802047;[ 0.14013841  0.98705502];[ 0.97590361  0.234796  ];[ 0.24508321  0.37935323];[  5.63596712e-01   6.05349806e-01   3.12218221e-01   7.32500000e+02];-0.41317361710106859;55.312.000.036.239.600
15;0.68122866894197953;[ 0.01294498  0.85986159];[ 0.02409639  0.765204  ];[ 0.01684211  0.80977597];[  4.36403288e-01   3.94650194e-01   4.13309036e-01   7.32500000e+02];-0.41317361710106859;5.973.399.996.757.500
16;0.26552901023890785;[ 0.12083333  0.92075472];[ 0.87349398  0.1878368 ];[ 0.21229868  0.31202046];[  5.20794025e-01   5.30665387e-01   2.62159571e-01   7.32500000e+02];-0.18764547769196915;5.949.300.003.051.750
17;0.26552901023890785;[ 0.12083333  0.92075472];[ 0.87349398  0.1878368 ];[ 0.21229868  0.31202046];[  5.20794025e-01   5.30665387e-01   2.62159571e-01   7.32500000e+02];-0.18764547769196915;647.590.000.629.425
18;0.68122866894197953;[ 0.01294498  0.85986159];[ 0.02409639  0.765204  ];[ 0.01684211  0.80977597];[  4.36403288e-01   3.94650194e-01   4.13309036e-01   7.32500000e+02];-0.41317361710106859;6.892.599.987.983.700
19;0.73447098976109215;[ 0.07924528  0.87916667];[ 0.12650602  0.8121632 ];[ 0.0974478   0.84433774];[  4.79205975e-01   4.69334613e-01   4.70892765e-01   7.32500000e+02];-0.18764547769196915;6.941.700.005.531.310
20;0.31877133105802047;[ 0.14013841  0.98705502];[ 0.97590361  0.234796  ];[ 0.24508321  0.37935323];[  5.63596712e-01   6.05349806e-01   3.12218221e-01   7.32500000e+02];-0.41317361710106859;7.489.800.000.190.730
21;0.73447098976109215;[ 0.07924528  0.87916667];[ 0.12650602  0.8121632 ];[ 0.0974478   0.84433774];[  4.79205975e-01   4.69334613e-01   4.70892765e-01   7.32500000e+02];-0.18764547769196915;7.507.200.002.670.280
