 ; ;Classe 0;Classe 1;Classe 2;All Class;;
Execution Number;Accuracy ;Precision/Recall/F-Score;Precision/Recall/F-Score;Precision/Recall/F-Score;Precision/Recall/F-Score/Support;Silhouette Coefficient;Time (seconds)
1;0.44598612487611494;[ 0.00847458  0.58508475  0.17989418];[ 0.01807229  0.6643572   0.06148282];[ 0.01153846  0.6222062   0.0916442 ];[  2.57817834e-01   2.47970769e-01   2.41796289e-01   6.72666667e+02];-0.22503184355215242;43.269.999.980.926.500
2;0.42170465807730428;[ 0.01139601  0.56962911  0.13865546];[ 0.02409639  0.62663587  0.0596745 ];[ 0.01547389  0.59677419  0.08343869];[  2.39893528e-01   2.36802254e-01   2.31895589e-01   6.72666667e+02];-0.2347936338359525;3.405.399.990.081.780
3;0.42170465807730428;[ 0.01139601  0.56962911  0.13865546];[ 0.02409639  0.62663587  0.0596745 ];[ 0.01547389  0.59677419  0.08343869];[  2.39893528e-01   2.36802254e-01   2.31895589e-01   6.72666667e+02];-0.2347936338359525;4.423.100.018.501.280
4;0.43657086223984143;[ 0.08403361  0.56962911  0.13390313];[ 0.12048193  0.62663587  0.08499096];[ 0.0990099   0.59677419  0.1039823 ];[  2.62521953e-01   2.77369587e-01   2.66588798e-01   6.72666667e+02];-0.2347936338359525;4.562.299.990.653.990
5;0.43657086223984143;[ 0.08403361  0.56962911  0.13390313];[ 0.12048193  0.62663587  0.08499096];[ 0.0990099   0.59677419  0.1039823 ];[  2.62521953e-01   2.77369587e-01   2.66588798e-01   6.72666667e+02];-0.2347936338359525;4.874.499.988.555.900
6;0.42666005946481667;[ 0.02325581  0.56236482  0.13605442];[ 0.0060241   0.60046189  0.14466546];[ 0.00956938  0.58078928  0.14022787];[  2.40558351e-01   2.50383817e-01   2.43528842e-01   6.72666667e+02];-0.19066596640087377;544.520.001.411.438
7;0.26015857284440042;[ 0.10106051  0.85434174  1.        ];[ 0.97590361  0.234796    0.10488246];[ 0.18315432  0.36835749  0.1898527 ];[  6.51800749e-01   4.38527357e-01   2.47121504e-01   6.72666667e+02];-0.43103468221460706;5.646.000.003.814.690
8;0.26015857284440042;[ 0.10106051  0.85434174  1.        ];[ 0.97590361  0.234796    0.10488246];[ 0.18315432  0.36835749  0.1898527 ];[  6.51800749e-01   4.38527357e-01   2.47121504e-01   6.72666667e+02];-0.43103468221460706;614.229.998.588.562
9;0.22150644202180378;[ 0.08745476  0.80794702  1.        ];[ 0.87349398  0.1878368   0.10488246];[ 0.15899123  0.30480949  0.1898527 ];[  6.31800595e-01   3.88737744e-01   2.17884474e-01   6.72666667e+02];-0.41368038069920182;6.830.700.016.021.720
