 ; ;Classe 0;Classe 1;Classe 2;All Class;;
Execution Number;Accuracy ;Precision/Recall/F-Score;Precision/Recall/F-Score;Precision/Recall/F-Score;Precision/Recall/F-Score/Support;Silhouette Coefficient;Time (seconds)
1;0.52710843373493976;[ 0.87349398  0.18072289];[ 0.51601423  0.58823529];[ 0.64876957  0.2764977 ];[   0.52710843    0.55212476    0.46263364  166.        ];-0.0032200893048554336;0.12000012397766113
2;0.52710843373493976;[ 0.87349398  0.18072289];[ 0.51601423  0.58823529];[ 0.64876957  0.2764977 ];[   0.52710843    0.55212476    0.46263364  166.        ];-0.0032200893048554336;0.11599993705749512
3;0.52710843373493976;[ 0.87349398  0.18072289];[ 0.51601423  0.58823529];[ 0.64876957  0.2764977 ];[   0.52710843    0.55212476    0.46263364  166.        ];-0.0032200893048554336;0.11700010299682617
4;0.52710843373493976;[ 0.87349398  0.18072289];[ 0.51601423  0.58823529];[ 0.64876957  0.2764977 ];[   0.52710843    0.55212476    0.46263364  166.        ];-0.0032200893048554336;0.11700010299682617
5;0.52710843373493976;[ 0.87349398  0.18072289];[ 0.51601423  0.58823529];[ 0.64876957  0.2764977 ];[   0.52710843    0.55212476    0.46263364  166.        ];-0.0032200893048554336;0.1119999885559082
6;0.52710843373493976;[ 0.87349398  0.18072289];[ 0.51601423  0.58823529];[ 0.64876957  0.2764977 ];[   0.52710843    0.55212476    0.46263364  166.        ];-0.0032200893048554336;0.11299991607666016
7;0.52710843373493976;[ 0.87349398  0.18072289];[ 0.51601423  0.58823529];[ 0.64876957  0.2764977 ];[   0.52710843    0.55212476    0.46263364  166.        ];-0.0032200893048554336;0.10799980163574219
8;0.52710843373493976;[ 0.87349398  0.18072289];[ 0.51601423  0.58823529];[ 0.64876957  0.2764977 ];[   0.52710843    0.55212476    0.46263364  166.        ];-0.0032200893048554336;0.11500000953674316
9;0.52710843373493976;[ 0.87349398  0.18072289];[ 0.51601423  0.58823529];[ 0.64876957  0.2764977 ];[   0.52710843    0.55212476    0.46263364  166.        ];-0.0032200893048554336;0.11099982261657715
10;0.52710843373493976;[ 0.87349398  0.18072289];[ 0.51601423  0.58823529];[ 0.64876957  0.2764977 ];[   0.52710843    0.55212476    0.46263364  166.        ];-0.0032200893048554336;0.12799978256225586
11;0.52710843373493976;[ 0.87349398  0.18072289];[ 0.51601423  0.58823529];[ 0.64876957  0.2764977 ];[   0.52710843    0.55212476    0.46263364  166.        ];-0.0032200893048554336;0.12800002098083496
12;0.52710843373493976;[ 0.87349398  0.18072289];[ 0.51601423  0.58823529];[ 0.64876957  0.2764977 ];[   0.52710843    0.55212476    0.46263364  166.        ];-0.0032200893048554336;0.13100004196166992
13;0.52710843373493976;[ 0.87349398  0.18072289];[ 0.51601423  0.58823529];[ 0.64876957  0.2764977 ];[   0.52710843    0.55212476    0.46263364  166.        ];-0.0032200893048554336;0.13199996948242188
14;0.52710843373493976;[ 0.87349398  0.18072289];[ 0.51601423  0.58823529];[ 0.64876957  0.2764977 ];[   0.52710843    0.55212476    0.46263364  166.        ];-0.0032200893048554336;0.12899994850158691
15;0.52710843373493976;[ 0.87349398  0.18072289];[ 0.51601423  0.58823529];[ 0.64876957  0.2764977 ];[   0.52710843    0.55212476    0.46263364  166.        ];-0.0032200893048554336;0.11299991607666016
16;0.52710843373493976;[ 0.87349398  0.18072289];[ 0.51601423  0.58823529];[ 0.64876957  0.2764977 ];[   0.52710843    0.55212476    0.46263364  166.        ];-0.0032200893048554336;0.13199996948242188
17;0.52710843373493976;[ 0.87349398  0.18072289];[ 0.51601423  0.58823529];[ 0.64876957  0.2764977 ];[   0.52710843    0.55212476    0.46263364  166.        ];-0.0032200893048554336;0.14499998092651367
18;0.52710843373493976;[ 0.87349398  0.18072289];[ 0.51601423  0.58823529];[ 0.64876957  0.2764977 ];[   0.52710843    0.55212476    0.46263364  166.        ];-0.0032200893048554336;0.13299989700317383
19;0.52710843373493976;[ 0.87349398  0.18072289];[ 0.51601423  0.58823529];[ 0.64876957  0.2764977 ];[   0.52710843    0.55212476    0.46263364  166.        ];-0.0032200893048554336;0.11699986457824707
20;0.52710843373493976;[ 0.87349398  0.18072289];[ 0.51601423  0.58823529];[ 0.64876957  0.2764977 ];[   0.52710843    0.55212476    0.46263364  166.        ];-0.0032200893048554336;0.1119999885559082
21;0.52710843373493976;[ 0.87349398  0.18072289];[ 0.51601423  0.58823529];[ 0.64876957  0.2764977 ];[   0.52710843    0.55212476    0.46263364  166.        ];-0.0032200893048554336;0.11400008201599121
22;0.52710843373493976;[ 0.87349398  0.18072289];[ 0.51601423  0.58823529];[ 0.64876957  0.2764977 ];[   0.52710843    0.55212476    0.46263364  166.        ];-0.0032200893048554336;0.12800002098083496
23;0.52710843373493976;[ 0.87349398  0.18072289];[ 0.51601423  0.58823529];[ 0.64876957  0.2764977 ];[   0.52710843    0.55212476    0.46263364  166.        ];-0.0032200893048554336;0.1100001335144043
24;0.52710843373493976;[ 0.87349398  0.18072289];[ 0.51601423  0.58823529];[ 0.64876957  0.2764977 ];[   0.52710843    0.55212476    0.46263364  166.        ];-0.0032200893048554336;0.13000011444091797
25;0.52710843373493976;[ 0.87349398  0.18072289];[ 0.51601423  0.58823529];[ 0.64876957  0.2764977 ];[   0.52710843    0.55212476    0.46263364  166.        ];-0.0032200893048554336;0.14499998092651367
 ;Accuracy;Precison;Recall;F-Score;;;
Media Final:;0.52710843373493976;0.52710843373493976;0.55212476449654568;0.4626336353983031;;;
