 ; ;Classe 0;Classe 1;Classe 2;All Class;;
Execution Number;Accuracy ;Precision/Recall/F-Score;Precision/Recall/F-Score;Precision/Recall/F-Score;Precision/Recall/F-Score/Support;Silhouette Coefficient;Time (seconds)
1;0.32931726907630521;[ 0.3         0.31784841  0.55172414];[ 0.10843373  0.78313253  0.09638554];[ 0.15929204  0.45217391  0.16410256];[   0.38985752    0.32931727    0.25852284  166.        ];-0.1653309640989748;12.332.000.017.166.100
2;0.32931726907630521;[ 0.28571429  0.31784841  0.54545455];[ 0.09638554  0.78313253  0.10843373];[ 0.14414414  0.45217391  0.18090452];[   0.38300575    0.32931727    0.25907419  166.        ];-0.17790298328159632;4.960.000.038.146.970
3;0.31526104417670681;[ 0.78125     0.31188119  0.09677419];[ 0.15060241  0.75903614  0.03614458];[ 0.25252525  0.44210526  0.05263158];[   0.39663513    0.31526104    0.24908736  166.        ];-0.17005177844167707;5.450.000.047.683.710
4;0.40160642570281124;[ 0.35148515  0.58064516  0.6875    ];[ 0.85542169  0.21686747  0.13253012];[ 0.49824561  0.31578947  0.22222222];[   0.53987677    0.40160643    0.3454191   166.        ];-0.27632100854655517;6.546.999.931.335.440
5;0.35140562248995982;[ 0.0952381   0.34841629  0.54285714];[ 0.01204819  0.92771084  0.11445783];[ 0.02139037  0.50657895  0.18905473];[   0.32883718    0.35140562    0.23900802  166.        ];-0.15265153579647567;7.196.000.099.182.120
6;0.32931726907630521;[ 0.45714286  0.11764706  0.33566434];[ 0.09638554  0.02409639  0.86746988];[ 0.15920398  0.04        0.48403361];[   0.30348475    0.32931727    0.22774586  166.        ];-0.084558103796230535;855.299.997.329.712
7;0.32931726907630521;[ 0.45714286  0.09090909  0.32522124];[ 0.09638554  0.0060241   0.88554217];[ 0.15920398  0.01129944  0.47572816];[   0.29109106    0.32931727    0.21541052  166.        ];-0.1887438257481385;8.925.999.879.837.030
8;0.31927710843373491;[ 0.29776675  0.58064516  0.09090909];[ 0.72289157  0.21686747  0.01807229];[ 0.42179262  0.31578947  0.03015075];[   0.323107      0.31927711    0.25591095  166.        ];-0.16875182068547698;10.205.000.162.124.600
9;0.33132530120481929;[ 0.34708738  0.66666667  0.09677419];[ 0.86144578  0.09638554  0.03614458];[ 0.49480969  0.16842105  0.05263158];[   0.37017608    0.3313253     0.23862077  166.        ];-0.21917887515512754;11.164.000.034.332.200
10;0.3634538152610442;[ 0.32258065  0.125       0.38861386];[ 0.12048193  0.02409639  0.94578313];[ 0.1754386   0.04040404  0.55087719];[   0.2787315     0.36345382    0.25557328  166.        ];-0.17005177844167707;55.448.999.881.744.300
11;0.32730923694779118;[ 0.28813559  0.31784841  0.53333333];[ 0.10240964  0.78313253  0.09638554];[ 0.15111111  0.45217391  0.16326531];[   0.37977245    0.32730924    0.25551678  166.        ];-0.1548732381562013;14.006.999.969.482.400
12;0.32730923694779118;[ 0.28813559  0.31784841  0.53333333];[ 0.10240964  0.78313253  0.09638554];[ 0.15111111  0.45217391  0.16326531];[   0.37977245    0.32730924    0.25551678  166.        ];-0.1548732381562013;13.670.000.076.293.900
13;0.2971887550200803;[ 0.2900232   0.125       0.54285714];[ 0.75301205  0.02409639  0.11445783];[ 0.41876047  0.04040404  0.18905473];[   0.31929345    0.29718876    0.21607308  166.        ];-0.089769340562830605;15.490.999.937.057.400
