 ; ;Classe 0;Classe 1;Classe 2;All Class;;
Execution Number;Accuracy ;Precision/Recall/F-Score;Precision/Recall/F-Score;Precision/Recall/F-Score;Precision/Recall/F-Score/Support;Silhouette Coefficient;Time (seconds)
1;0.45180722891566266;[ 0.35714286  0.47101449];[ 0.12048193  0.78313253];[ 0.18018018  0.58823529];[   0.41407867    0.45180723    0.38420774  166.        ];0.0052240110019769999;25.970.001.220.703.100
2;0.54518072289156627;[ 0.52727273  0.63157895];[ 0.87349398  0.21686747];[ 0.65759637  0.32286996];[   0.57942584    0.54518072    0.49023316  166.        ];0.0042684160990357038;29.559.998.512.268.000
3;0.56325301204819278;[ 0.86206897  0.53465347];[ 0.15060241  0.97590361];[ 0.25641026  0.69083156];[   0.69836122    0.56325301    0.47362091  166.        ];-0.042401196706989608;34.200.000.762.939.400
4;0.54518072289156627;[ 0.52727273  0.63157895];[ 0.87349398  0.21686747];[ 0.65759637  0.32286996];[   0.57942584    0.54518072    0.49023316  166.        ];0.0042684160990357038;4.253.000.020.980.830
5;0.54819277108433739;[ 0.52898551  0.64285714];[ 0.87951807  0.21686747];[ 0.66063348  0.32432432];[   0.58592133    0.54819277    0.4924789   166.        ];0.0052240110019769999;448.199.987.411.499
6;0.5662650602409639;[ 0.86666667  0.53642384];[ 0.15662651  0.97590361];[ 0.26530612  0.69230769];[   0.70154525    0.56626506    0.47880691  166.        ];-0.038780041016482039;5.213.000.059.127.800
7;0.54518072289156627;[ 0.52727273  0.63157895];[ 0.87349398  0.21686747];[ 0.65759637  0.32286996];[   0.57942584    0.54518072    0.49023316  166.        ];0.0042684160990357038;5.875
8;0.5662650602409639;[ 0.86666667  0.53642384];[ 0.15662651  0.97590361];[ 0.26530612  0.69230769];[   0.70154525    0.56626506    0.47880691  166.        ];-0.038780041016482039;6.019.000.053.405.760
9;0.54518072289156627;[ 0.52727273  0.63157895];[ 0.87349398  0.21686747];[ 0.65759637  0.32286996];[   0.57942584    0.54518072    0.49023316  166.        ];0.0042684160990357038;6.675.999.879.837.030
10;0.45481927710843373;[ 0.36842105  0.47272727];[ 0.12650602  0.78313253];[ 0.18834081  0.58956916];[   0.42057416    0.45481928    0.38895498  166.        ];0.0042684160990357038;7.208.000.183.105.460
11;0.54819277108433739;[ 0.52898551  0.64285714];[ 0.87951807  0.21686747];[ 0.66063348  0.32432432];[   0.58592133    0.54819277    0.4924789   166.        ];0.0052240110019769999;8.038.999.795.913.690
12;0.54518072289156627;[ 0.52727273  0.63157895];[ 0.87349398  0.21686747];[ 0.65759637  0.32286996];[   0.57942584    0.54518072    0.49023316  166.        ];0.0042684160990357038;838.100.004.196.167
13;0.5662650602409639;[ 0.86666667  0.53642384];[ 0.15662651  0.97590361];[ 0.26530612  0.69230769];[   0.70154525    0.56626506    0.47880691  166.        ];-0.038780041016482039;9.216.000.080.108.640
14;0.54518072289156627;[ 0.52727273  0.63157895];[ 0.87349398  0.21686747];[ 0.65759637  0.32286996];[   0.57942584    0.54518072    0.49023316  166.        ];0.0042684160990357038;9.366.999.864.578.240
15;0.45481927710843373;[ 0.36842105  0.47272727];[ 0.12650602  0.78313253];[ 0.18834081  0.58956916];[   0.42057416    0.45481928    0.38895498  166.        ];0.0042684160990357038;9.944.000.005.722.040
16;0.43373493975903615;[ 0.46357616  0.13333333];[ 0.84337349  0.02409639];[ 0.5982906   0.04081633];[   0.29845475    0.43373494    0.31955346  166.        ];-0.038780041016482039;11.027.000.188.827.500
17;0.45180722891566266;[ 0.35714286  0.47101449];[ 0.12048193  0.78313253];[ 0.18018018  0.58823529];[   0.41407867    0.45180723    0.38420774  166.        ];0.0052240110019769999;11.023.000.001.907.300
18;0.43674698795180722;[ 0.46534653  0.13793103];[ 0.84939759  0.02409639];[ 0.60127932  0.04102564];[   0.30163878    0.43674699    0.32115248  166.        ];-0.042401196706989608;11.605.999.946.594.200
19;0.54518072289156627;[ 0.52727273  0.63157895];[ 0.87349398  0.21686747];[ 0.65759637  0.32286996];[   0.57942584    0.54518072    0.49023316  166.        ];0.0042684160990357038;12.736.999.988.555.900
20;0.54819277108433739;[ 0.52898551  0.64285714];[ 0.87951807  0.21686747];[ 0.66063348  0.32432432];[   0.58592133    0.54819277    0.4924789   166.        ];0.0052240110019769999;12.621.999.979.019.100
21;0.45481927710843373;[ 0.36842105  0.47272727];[ 0.12650602  0.78313253];[ 0.18834081  0.58956916];[   0.42057416    0.45481928    0.38895498  166.        ];0.0042684160990357038;1.329.200.005.531.310
22;0.56325301204819278;[ 0.86206897  0.53465347];[ 0.15060241  0.97590361];[ 0.25641026  0.69083156];[   0.69836122    0.56325301    0.47362091  166.        ];-0.042401196706989608;13.769.000.053.405.700
23;0.54518072289156627;[ 0.52727273  0.63157895];[ 0.87349398  0.21686747];[ 0.65759637  0.32286996];[   0.57942584    0.54518072    0.49023316  166.        ];0.0042684160990357038;15.563.999.891.281.100
24;0.54518072289156627;[ 0.52727273  0.63157895];[ 0.87349398  0.21686747];[ 0.65759637  0.32286996];[   0.57942584    0.54518072    0.49023316  166.        ];0.0042684160990357038;1.479.099.988.937.370
25;0.54819277108433739;[ 0.52898551  0.64285714];[ 0.87951807  0.21686747];[ 0.66063348  0.32432432];[   0.58592133    0.54819277    0.4924789   166.        ];0.0052240110019769999;15.509.000.062.942.500
 ;Accuracy;Precison;Recall;F-Score;;;
Media Final:;0.52253012048192771;0.54999397588740484;0.52253012048192771;0.4536665196810945;;;
