 ; ;Classe 0;Classe 1;Classe 2;All Class;;
Execution Number;Accuracy ;Precision/Recall/F-Score;Precision/Recall/F-Score;Precision/Recall/F-Score;Precision/Recall/F-Score/Support;Silhouette Coefficient;Time (seconds)
1;0.45837462834489595;[ 0.01156069  0.58953722  0.2320442 ];[ 0.02409639  0.67667436  0.07594937];[ 0.015625    0.63010753  0.11444142];[  2.77714039e-01   2.58906706e-01   2.53391315e-01   6.72666667e+02];-0.22952917035236323;27.997.999.906.539.900
2;0.27552031714568881;[ 0.06885246  0.58536585  0.29858982];[ 0.12650602  0.0369515   0.88065099];[ 0.08917197  0.06951484  0.4459707 ];[  3.17602712e-01   3.48036173e-01   2.01552505e-01   6.72666667e+02];-0.23929647510282989;30.884.999.990.463.200
3;0.22101090188305253;[ 0.10358255  0.80622837  0.17977528];[ 0.80120482  0.17936875  0.14466546];[ 0.18344828  0.29345088  0.16032064];[  3.63195403e-01   3.75079675e-01   2.12406600e-01   6.72666667e+02];-0.19974913581456147;3.535.199.999.809.260
4;0.23439048562933598;[ 0.09943978  0.85386819  0.13692946];[ 0.85542169  0.22940724  0.0596745 ];[ 0.17816813  0.36165049  0.08312343];[  3.63412477e-01   3.81501142e-01   2.07647347e-01   6.72666667e+02];-0.2354661383360046;3.784.000.015.258.780
5;0.39098116947472744;[ 0.07323232  0.55564202  0.13649852];[ 0.1746988   0.54965358  0.08318264];[ 0.10320285  0.55263158  0.10337079];[  2.55124288e-01   2.69178338e-01   2.53068404e-01   6.72666667e+02];-0.22874756633992807;4.311.999.988.555.900
6;0.43409316154608524;[ 0.07094595  0.56902593  0.14576271];[ 0.12650602  0.62509623  0.07775769];[ 0.09090909  0.59574468  0.10141509];[  2.61911529e-01   2.76453312e-01   2.62689622e-01   6.72666667e+02];-0.24598789993933468;49.818.000.078.201.200
7;0.23439048562933598;[ 0.09943978  0.85386819  0.13692946];[ 0.85542169  0.22940724  0.0596745 ];[ 0.17816813  0.36165049  0.08312343];[  3.63412477e-01   3.81501142e-01   2.07647347e-01   6.72666667e+02];-0.2354661383360046;5.335.699.987.411.490
8;0.36669970267591673;[ 0.05063291  0.80921053  0.31233933];[ 0.04819277  0.18937644  0.87884268];[ 0.04938272  0.30692452  0.46088193];[  3.90727590e-01   3.72137297e-01   2.72396389e-01   6.72666667e+02];-0.22026971944532681;5.868.900.012.969.970
9;0.095639246778989093;[ 0.08553387  0.          0.20183486];[ 0.89759036  0.          0.079566  ];[ 0.15618449  0.          0.11413748];[  9.57895772e-02   3.25718788e-01   9.01073234e-02   6.72666667e+02];-0.31151265024837299;6.342.799.997.329.710
