 ; ;Classe 0;Classe 1;Classe 2;All Class;;
Execution Number;Accuracy ;Precision/Recall/F-Score;Precision/Recall/F-Score;Precision/Recall/F-Score;Precision/Recall/F-Score/Support;Silhouette Coefficient;Time (seconds)
1;0.73242320819112627;[ 0.07835821  0.87886383];[ 0.12650602  0.80985373];[ 0.09677419  0.84294872];[  4.78611018e-01   4.68179879e-01   4.69861456e-01   7.32500000e+02];-0.19104372897887742;19.651.999.950.408.900
2;0.26757679180887373;[ 0.12113617  0.92164179];[ 0.87349398  0.19014627];[ 0.21276596  0.31525207];[  5.21388982e-01   5.31820121e-01   2.64009016e-01   7.32500000e+02];-0.19104372897887742;1.882.100.009.918.210
3;0.57133105802047779;[ 0.04527559  0.85057471];[ 0.13855422  0.62663587];[ 0.06824926  0.72163121];[  4.47925152e-01   3.82595045e-01   3.94940232e-01   7.32500000e+02];-0.14808472399112346;22.757.999.897.003.100
4;0.66689419795221838;[ 0.06951872  0.87167736];[ 0.15662651  0.73210162];[ 0.0962963  0.7958159];[  4.70598038e-01   4.44364061e-01   4.46056098e-01   7.32500000e+02];-0.18449400648050276;24.080.000.162.124.600
5;0.26757679180887373;[ 0.12113617  0.92164179];[ 0.87349398  0.19014627];[ 0.21276596  0.31525207];[  5.21388982e-01   5.31820121e-01   2.64009016e-01   7.32500000e+02];-0.19104372897887742;277.979.998.588.562
6;0.20819112627986347;[ 0.11532508  0.9017341 ];[ 0.89759036  0.12009238];[ 0.20438957  0.21195652];[  5.08529591e-01   5.08841370e-01   2.08173048e-01   7.32500000e+02];-0.099139000245601433;28.312.000.036.239.600
7;0.73242320819112627;[ 0.07835821  0.87886383];[ 0.12650602  0.80985373];[ 0.09677419  0.84294872];[  4.78611018e-01   4.68179879e-01   4.69861456e-01   7.32500000e+02];-0.19104372897887742;320.460.000.038.147
8;0.33242320819112631;[ 0.12820513  0.93029491];[ 0.84337349  0.26712856];[ 0.22257552  0.41507177];[  5.29250017e-01   5.55251027e-01   3.18823644e-01   7.32500000e+02];-0.18434108802955071;35.050.999.879.837.000
9;0.68191126279863479;[ 0.01298701  0.85998271];[ 0.02409639  0.76597383];[ 0.01687764  0.81026059];[  4.36484863e-01   3.95035106e-01   4.13569112e-01   7.32500000e+02];-0.41425111675588255;38.092.000.007.629.300
10;0.68259385665529015;[ 0.01302932  0.86010363];[ 0.02409639  0.76674365];[ 0.01691332  0.81074481];[  4.36566471e-01   3.95420017e-01   4.13829065e-01   7.32500000e+02];-0.41532641547831395;4.275.200.009.346.000
11;0.3174061433447099;[ 0.13989637  0.98697068];[ 0.97590361  0.23325635];[ 0.24471299  0.37733499];[  5.63433529e-01   6.04579983e-01   3.11023992e-01   7.32500000e+02];-0.41532641547831395;4.790.400.004.386.900
12;0.57133105802047779;[ 0.04527559  0.85057471];[ 0.13855422  0.62663587];[ 0.06824926  0.72163121];[  4.47925152e-01   3.82595045e-01   3.94940232e-01   7.32500000e+02];-0.14808472399112346;5.135.899.996.757.500
13;0.3174061433447099;[ 0.13989637  0.98697068];[ 0.97590361  0.23325635];[ 0.24471299  0.37733499];[  5.63433529e-01   6.04579983e-01   3.11023992e-01   7.32500000e+02];-0.41532641547831395;52.068.000.078.201.200
14;0.26757679180887373;[ 0.12113617  0.92164179];[ 0.87349398  0.19014627];[ 0.21276596  0.31525207];[  5.21388982e-01   5.31820121e-01   2.64009016e-01   7.32500000e+02];-0.19104372897887742;5.742.199.993.133.540
