 ; ;Classe 0;Classe 1;Classe 2;All Class;;
Execution Number;Accuracy ;Precision/Recall/F-Score;Precision/Recall/F-Score;Precision/Recall/F-Score;Precision/Recall/F-Score/Support;Silhouette Coefficient;Time (seconds)
1;0.31927710843373491;[ 0.45054945  0.3220339   0.14388489];[ 0.30827068  0.43181818  0.2       ];[ 0.36607143  0.36893204  0.16736402];[   0.30548941    0.31336295    0.30078916  166.        ];-0.058741573360912715;0.3840000629425049
2;0.31927710843373491;[ 0.45054945  0.3220339   0.14388489];[ 0.30827068  0.43181818  0.2       ];[ 0.36607143  0.36893204  0.16736402];[   0.30548941    0.31336295    0.30078916  166.        ];-0.058741573360912715;0.37199997901916504
3;0.31927710843373491;[ 0.45054945  0.3220339   0.14388489];[ 0.30827068  0.43181818  0.2       ];[ 0.36607143  0.36893204  0.16736402];[   0.30548941    0.31336295    0.30078916  166.        ];-0.058741573360912715;0.375
4;0.31927710843373491;[ 0.45054945  0.3220339   0.14388489];[ 0.30827068  0.43181818  0.2       ];[ 0.36607143  0.36893204  0.16736402];[   0.30548941    0.31336295    0.30078916  166.        ];-0.058741573360912715;0.3730001449584961
5;0.31927710843373491;[ 0.45054945  0.3220339   0.14388489];[ 0.30827068  0.43181818  0.2       ];[ 0.36607143  0.36893204  0.16736402];[   0.30548941    0.31336295    0.30078916  166.        ];-0.058741573360912715;0.3640000820159912
6;0.31927710843373491;[ 0.45054945  0.3220339   0.14388489];[ 0.30827068  0.43181818  0.2       ];[ 0.36607143  0.36893204  0.16736402];[   0.30548941    0.31336295    0.30078916  166.        ];-0.058741573360912715;0.36999988555908203
7;0.31927710843373491;[ 0.45054945  0.3220339   0.14388489];[ 0.30827068  0.43181818  0.2       ];[ 0.36607143  0.36893204  0.16736402];[   0.30548941    0.31336295    0.30078916  166.        ];-0.058741573360912715;0.3659999370574951
8;0.31927710843373491;[ 0.45054945  0.3220339   0.14388489];[ 0.30827068  0.43181818  0.2       ];[ 0.36607143  0.36893204  0.16736402];[   0.30548941    0.31336295    0.30078916  166.        ];-0.058741573360912715;0.375
9;0.31927710843373491;[ 0.45054945  0.3220339   0.14388489];[ 0.30827068  0.43181818  0.2       ];[ 0.36607143  0.36893204  0.16736402];[   0.30548941    0.31336295    0.30078916  166.        ];-0.058741573360912715;0.38000011444091797
10;0.31927710843373491;[ 0.45054945  0.3220339   0.14388489];[ 0.30827068  0.43181818  0.2       ];[ 0.36607143  0.36893204  0.16736402];[   0.30548941    0.31336295    0.30078916  166.        ];-0.058741573360912715;0.3880000114440918
