 ; ;Classe 0;Classe 1;Classe 2;All Class;;
Execution Number;Accuracy ;Precision/Recall/F-Score;Precision/Recall/F-Score;Precision/Recall/F-Score;Precision/Recall/F-Score/Support;Silhouette Coefficient;Time (seconds)
1;0.29496402877697842;[ 0.28634361  0.43617021  0.17708333];[ 0.4676259   0.29496403  0.12230216];[ 0.35519126  0.35193133  0.14468085];[   0.29986572    0.29496403    0.28393448  139.        ];-0.03747679321695898;2.506.999.969.482.420
2;0.23980815347721823;[ 0.34285714  0.11214953  0.16      ];[ 0.51798561  0.08633094  0.11510791];[ 0.41260745  0.09756098  0.13389121];[   0.20500223    0.23980815    0.21468655  139.        ];-0.061608928226248152;22.190.001.010.894.700
3;0.44124700239808151;[ 0.38541667  0.43617021  0.46696035];[ 0.26618705  0.29496403  0.76258993];[ 0.31489362  0.35193133  0.57923497];[   0.42951574    0.441247      0.41535331  139.        ];-0.03747679321695898;18.799.998.760.223.300
4;0.47242206235011991;[ 0.42        0.4047619   0.65420561];[ 0.30215827  0.61151079  0.50359712];[ 0.35146444  0.48710602  0.56910569];[   0.49298917    0.47242206    0.46922538  139.        ];-0.061608928226248152;2.445.000.171.661.370
5;0.44124700239808151;[ 0.38541667  0.43617021  0.46696035];[ 0.26618705  0.29496403  0.76258993];[ 0.31489362  0.35193133  0.57923497];[   0.42951574    0.441247      0.41535331  139.        ];-0.03747679321695898;2.620.999.813.079.830
6;0.47242206235011991;[ 0.42        0.4047619   0.65420561];[ 0.30215827  0.61151079  0.50359712];[ 0.35146444  0.48710602  0.56910569];[   0.49298917    0.47242206    0.46922538  139.        ];-0.061608928226248152;27.740.001.678.466.700
7;0.26618705035971224;[ 0.39361702  0.25        0.17894737];[ 0.26618705  0.41007194  0.12230216];[ 0.31759657  0.3106267   0.14529915];[   0.27418813    0.26618705    0.2578408   139.        ];-0.037182696573163053;293.999.981.880.188
8;0.30215827338129497;[ 0.23364486  0.4047619   0.16      ];[ 0.17985612  0.61151079  0.11510791];[ 0.20325203  0.48710602  0.13389121];[   0.26613559    0.30215827    0.27474975  139.        ];-0.061608928226248152;32.830.002.307.891.800
9;0.44124700239808151;[ 0.34285714  0.42        0.65420561];[ 0.51798561  0.30215827  0.50359712];[ 0.41260745  0.35146444  0.56910569];[   0.47235425    0.441247      0.44439253  139.        ];-0.061608928226248152;3.686.999.797.821.040
10;0.30215827338129497;[ 0.23364486  0.4047619   0.16      ];[ 0.17985612  0.61151079  0.11510791];[ 0.20325203  0.48710602  0.13389121];[   0.26613559    0.30215827    0.27474975  139.        ];-0.061608928226248152;39.100.000.858.306.800
11;0.28776978417266186;[ 0.23364486  0.42        0.25238095];[ 0.17985612  0.30215827  0.38129496];[ 0.20325203  0.35146444  0.30372493];[   0.3020086     0.28776978    0.28614713  139.        ];-0.061608928226248152;39.560.000.896.453.800
12;0.23741007194244604;[ 0.04761905  0.27272727  0.17171717];[ 0.00719424  0.58273381  0.12230216];[ 0.0125      0.37155963  0.14285714];[   0.16402116    0.23741007    0.17563893  139.        ];-0.24551684661820417;447.599.983.215.332
13;0.26139088729016785;[ 0.38541667  0.24669604  0.17021277];[ 0.26618705  0.4028777   0.11510791];[ 0.31489362  0.30601093  0.13733906];[   0.26744182    0.26139089    0.25274787  139.        ];-0.03747679321695898;4.570.000.171.661.370
14;0.47482014388489208;[ 0.44871795  0.41150442  0.61946903];[ 0.25179856  0.66906475  0.50359712];[ 0.32258065  0.50958904  0.55555556];[   0.49323047    0.47482014    0.46257508  139.        ];-0.082105087452826422;4.687.999.963.760.370
15;0.23741007194244604;[ 0.04761905  0.27272727  0.17171717];[ 0.00719424  0.58273381  0.12230216];[ 0.0125      0.37155963  0.14285714];[   0.16402116    0.23741007    0.17563893  139.        ];-0.24551684661820417;4.664.999.961.853.020
16;0.28537170263788969;[ 0.43478261  0.31849315  0.15686275];[ 0.07194245  0.66906475  0.11510791];[ 0.12345679  0.43155452  0.13278008];[   0.3033795    0.2853717    0.2292638  139.       ];-0.060796094547843293;5.226.000.070.571.890
17;0.26618705035971224;[ 0.39361702  0.25        0.17894737];[ 0.26618705  0.41007194  0.12230216];[ 0.31759657  0.3106267   0.14529915];[   0.27418813    0.26618705    0.2578408   139.        ];-0.037182696573163053;5.197.000.026.702.880
18;0.23980815347721823;[ 0.34285714  0.11214953  0.16      ];[ 0.51798561  0.08633094  0.11510791];[ 0.41260745  0.09756098  0.13389121];[   0.20500223    0.23980815    0.21468655  139.        ];-0.061608928226248152;6.071.999.788.284.300
19;0.29496402877697842;[ 0.28634361  0.4375      0.17021277];[ 0.4676259   0.30215827  0.11510791];[ 0.35519126  0.35744681  0.13733906];[   0.29801879    0.29496403    0.28332571  139.        ];-0.03747679321695898;5.478.000.164.031.980
20;0.25659472422062352;[ 0.42        0.11214953  0.25238095];[ 0.30215827  0.08633094  0.38129496];[ 0.35146444  0.09756098  0.30372493];[   0.26151016    0.25659472    0.25091678  139.        ];-0.061608928226248152;485.699.987.411.499
21;0.23980815347721823;[ 0.34285714  0.11214953  0.16      ];[ 0.51798561  0.08633094  0.11510791];[ 0.41260745  0.09756098  0.13389121];[   0.20500223    0.23980815    0.21468655  139.        ];-0.061608928226248152;5.180.000.066.757.200
22;0.28776978417266186;[ 0.23364486  0.42        0.25238095];[ 0.17985612  0.30215827  0.38129496];[ 0.20325203  0.35146444  0.30372493];[   0.3020086     0.28776978    0.28614713  139.        ];-0.061608928226248152;5.193.000.078.201.290
23;0.26139088729016785;[ 0.38541667  0.24669604  0.17021277];[ 0.26618705  0.4028777   0.11510791];[ 0.31489362  0.30601093  0.13733906];[   0.26744182    0.26139089    0.25274787  139.        ];-0.03747679321695898;50.249.998.569.488.500
24;0.23980815347721823;[ 0.34285714  0.11214953  0.16      ];[ 0.51798561  0.08633094  0.11510791];[ 0.41260745  0.09756098  0.13389121];[   0.20500223    0.23980815    0.21468655  139.        ];-0.061608928226248152;5.684.000.015.258.780
25;0.25659472422062352;[ 0.42        0.11214953  0.25238095];[ 0.30215827  0.08633094  0.38129496];[ 0.35146444  0.09756098  0.30372493];[   0.26151016    0.25659472    0.25091678  139.        ];-0.061608928226248152;5.894.000.053.405.760
 ;Accuracy;Precison;Recall;F-Score;;;
Media Final:;0.31203836930455631;0.30409913606690098;0.31203836930455642;0.29309910718509141;;;
