 ; ;Classe 0;Classe 1;Classe 2;All Class;;
Execution Number;Accuracy ;Precision/Recall/F-Score;Precision/Recall/F-Score;Precision/Recall/F-Score;Precision/Recall/F-Score/Support;Silhouette Coefficient;Time (seconds)
1;0.48746518105849584;[ 0.49583333  0.47058824];[ 0.65384615  0.31638418];[ 0.56398104  0.37837838];[   0.48321078    0.48511517    0.47117971  179.5       ];-0.0041311246050366899;16.990.001.201.629.600
2;0.47075208913649025;[ 0.46491228  0.47346939];[ 0.29120879  0.65536723];[ 0.35810811  0.54976303];[   0.46919083    0.47328801    0.45393557  179.5       ];0.0015081976148747702;22.319.998.741.149.900
3;0.48746518105849584;[ 0.49583333  0.47058824];[ 0.65384615  0.31638418];[ 0.56398104  0.37837838];[   0.48321078    0.48511517    0.47117971  179.5       ];-0.0041311246050366899;16.800.000.667.572.000
4;0.48746518105849584;[ 0.49583333  0.47058824];[ 0.65384615  0.31638418];[ 0.56398104  0.37837838];[   0.48321078    0.48511517    0.47117971  179.5       ];-0.0041311246050366899;18.010.001.182.556.100
5;0.48746518105849584;[ 0.49583333  0.47058824];[ 0.65384615  0.31638418];[ 0.56398104  0.37837838];[   0.48321078    0.48511517    0.47117971  179.5       ];-0.0041311246050366899;19.739.999.771.118.100
6;0.48746518105849584;[ 0.49583333  0.47058824];[ 0.65384615  0.31638418];[ 0.56398104  0.37837838];[   0.48321078    0.48511517    0.47117971  179.5       ];-0.0041311246050366899;19.249.999.523.162.800
7;0.48746518105849584;[ 0.49583333  0.47058824];[ 0.65384615  0.31638418];[ 0.56398104  0.37837838];[   0.48321078    0.48511517    0.47117971  179.5       ];-0.0041311246050366899;25.859.999.656.677.200
8;0.48746518105849584;[ 0.49583333  0.47058824];[ 0.65384615  0.31638418];[ 0.56398104  0.37837838];[   0.48321078    0.48511517    0.47117971  179.5       ];-0.0041311246050366899;23.440.001.010.894.700
9;0.48746518105849584;[ 0.49583333  0.47058824];[ 0.65384615  0.31638418];[ 0.56398104  0.37837838];[   0.48321078    0.48511517    0.47117971  179.5       ];-0.0041311246050366899;2.692.999.839.782.710
10;0.52924791086350975;[ 0.52653061  0.53508772];[ 0.70879121  0.34463277];[ 0.60421546  0.41924399];[   0.53080917    0.52671199    0.51172972  179.5       ];0.0015081976148747702;26.449.999.809.265.100
11;0.52924791086350975;[ 0.52653061  0.53508772];[ 0.70879121  0.34463277];[ 0.60421546  0.41924399];[   0.53080917    0.52671199    0.51172972  179.5       ];0.0015081976148747702;28.540.000.915.527.300
12;0.48746518105849584;[ 0.49583333  0.47058824];[ 0.65384615  0.31638418];[ 0.56398104  0.37837838];[   0.48321078    0.48511517    0.47117971  179.5       ];-0.0041311246050366899;39.579.999.446.868.800
13;0.52924791086350975;[ 0.52653061  0.53508772];[ 0.70879121  0.34463277];[ 0.60421546  0.41924399];[   0.53080917    0.52671199    0.51172972  179.5       ];0.0015081976148747702;3.118.000.030.517.570
14;0.51253481894150421;[ 0.52941176  0.50416667];[ 0.34615385  0.68361582];[ 0.41860465  0.58033573];[   0.51678922    0.51488483    0.49947019  179.5       ];-0.0041311246050366899;32.939.999.103.546.100
15;0.51253481894150421;[ 0.52941176  0.50416667];[ 0.34615385  0.68361582];[ 0.41860465  0.58033573];[   0.51678922    0.51488483    0.49947019  179.5       ];-0.0041311246050366899;35.180.001.258.850.000
16;0.47075208913649025;[ 0.46491228  0.47346939];[ 0.29120879  0.65536723];[ 0.35810811  0.54976303];[   0.46919083    0.47328801    0.45393557  179.5       ];0.0015081976148747702;35.969.998.836.517.300
17;0.51253481894150421;[ 0.52941176  0.50416667];[ 0.34615385  0.68361582];[ 0.41860465  0.58033573];[   0.51678922    0.51488483    0.49947019  179.5       ];-0.0041311246050366899;3.701.000.213.623.040
18;0.48746518105849584;[ 0.49583333  0.47058824];[ 0.65384615  0.31638418];[ 0.56398104  0.37837838];[   0.48321078    0.48511517    0.47117971  179.5       ];-0.0041311246050366899;4.718.999.862.670.890
19;0.48746518105849584;[ 0.49583333  0.47058824];[ 0.65384615  0.31638418];[ 0.56398104  0.37837838];[   0.48321078    0.48511517    0.47117971  179.5       ];-0.0041311246050366899;4.272.000.074.386.590
20;0.51253481894150421;[ 0.52941176  0.50416667];[ 0.34615385  0.68361582];[ 0.41860465  0.58033573];[   0.51678922    0.51488483    0.49947019  179.5       ];-0.0041311246050366899;4.049.999.952.316.280
21;0.47075208913649025;[ 0.46491228  0.47346939];[ 0.29120879  0.65536723];[ 0.35810811  0.54976303];[   0.46919083    0.47328801    0.45393557  179.5       ];0.0015081976148747702;3.867.000.102.996.820
22;0.47075208913649025;[ 0.46491228  0.47346939];[ 0.29120879  0.65536723];[ 0.35810811  0.54976303];[   0.46919083    0.47328801    0.45393557  179.5       ];0.0015081976148747702;4.735.999.822.616.570
23;0.51253481894150421;[ 0.52941176  0.50416667];[ 0.34615385  0.68361582];[ 0.41860465  0.58033573];[   0.51678922    0.51488483    0.49947019  179.5       ];-0.0041311246050366899;4.482.000.112.533.560
24;0.48746518105849584;[ 0.49583333  0.47058824];[ 0.65384615  0.31638418];[ 0.56398104  0.37837838];[   0.48321078    0.48511517    0.47117971  179.5       ];-0.0041311246050366899;4.389.999.866.485.590
25;0.51253481894150421;[ 0.52941176  0.50416667];[ 0.34615385  0.68361582];[ 0.41860465  0.58033573];[   0.51678922    0.51488483    0.49947019  179.5       ];-0.0041311246050366899;44.750.001.430.511.400
 ;Accuracy;Precison;Recall;F-Score;;;
Media Final:;0.49582172701949856;0.49473822160443126;0.49535916061339796;0.48007636483549987;;;
