 ; ;Classe 0;Classe 1;Classe 2;All Class;;
Execution Number;Accuracy ;Precision/Recall/F-Score;Precision/Recall/F-Score;Precision/Recall/F-Score;Precision/Recall/F-Score/Support;Silhouette Coefficient;Time (seconds)
1;0.49640287769784175;[ 0.49740933  0.49411765];[ 0.69064748  0.30215827];[ 0.57831325  0.375     ];[   0.49576349    0.49640288    0.47665663  139.        ];-0.0070043256132118334;2.118.000.030.517.570
2;0.49640287769784175;[ 0.49740933  0.49411765];[ 0.69064748  0.30215827];[ 0.57831325  0.375     ];[   0.49576349    0.49640288    0.47665663  139.        ];-0.0070043256132118334;3.444.999.933.242.790
3;0.50359712230215825;[ 0.50588235  0.50259067];[ 0.30935252  0.69784173];[ 0.38392857  0.58433735];[   0.50423651    0.50359712    0.48413296  139.        ];-0.0070043256132118334;44.090.001.583.099.300
4;0.50359712230215825;[ 0.50588235  0.50259067];[ 0.30935252  0.69784173];[ 0.38392857  0.58433735];[   0.50423651    0.50359712    0.48413296  139.        ];-0.0070043256132118334;344.599.986.076.355
5;0.50359712230215825;[ 0.50588235  0.50259067];[ 0.30935252  0.69784173];[ 0.38392857  0.58433735];[   0.50423651    0.50359712    0.48413296  139.        ];-0.0070043256132118334;3.877.000.093.460.080
6;0.49640287769784175;[ 0.49740933  0.49411765];[ 0.69064748  0.30215827];[ 0.57831325  0.375     ];[   0.49576349    0.49640288    0.47665663  139.        ];-0.0070043256132118334;4.775.000.095.367.430
7;0.49640287769784175;[ 0.49740933  0.49411765];[ 0.69064748  0.30215827];[ 0.57831325  0.375     ];[   0.49576349    0.49640288    0.47665663  139.        ];-0.0070043256132118334;5.476.999.998.092.650
8;0.50359712230215825;[ 0.50588235  0.50259067];[ 0.30935252  0.69784173];[ 0.38392857  0.58433735];[   0.50423651    0.50359712    0.48413296  139.        ];-0.0070043256132118334;5.711.999.893.188.470
9;0.49640287769784175;[ 0.49740933  0.49411765];[ 0.69064748  0.30215827];[ 0.57831325  0.375     ];[   0.49576349    0.49640288    0.47665663  139.        ];-0.0070043256132118334;7.381.999.969.482.420
10;0.50359712230215825;[ 0.50588235  0.50259067];[ 0.30935252  0.69784173];[ 0.38392857  0.58433735];[   0.50423651    0.50359712    0.48413296  139.        ];-0.0070043256132118334;7.914.999.961.853.020
11;0.50359712230215825;[ 0.50588235  0.50259067];[ 0.30935252  0.69784173];[ 0.38392857  0.58433735];[   0.50423651    0.50359712    0.48413296  139.        ];-0.0070043256132118334;6.858.000.040.054.320
12;0.49640287769784175;[ 0.49740933  0.49411765];[ 0.69064748  0.30215827];[ 0.57831325  0.375     ];[   0.49576349    0.49640288    0.47665663  139.        ];-0.0070043256132118334;6.324.000.120.162.960
13;0.49640287769784175;[ 0.49740933  0.49411765];[ 0.69064748  0.30215827];[ 0.57831325  0.375     ];[   0.49576349    0.49640288    0.47665663  139.        ];-0.0070043256132118334;73.420.000.076.293.900
14;0.48561151079136688;[ 0.47727273  0.48947368];[ 0.30215827  0.66906475];[ 0.37004405  0.56534954];[   0.48337321    0.48561151    0.4676968   139.        ];-0.0051867179313950058;7.477.999.925.613.400
15;0.49640287769784175;[ 0.49740933  0.49411765];[ 0.69064748  0.30215827];[ 0.57831325  0.375     ];[   0.49576349    0.49640288    0.47665663  139.        ];-0.0070043256132118334;8.431.999.921.798.700
16;0.50359712230215825;[ 0.50588235  0.50259067];[ 0.30935252  0.69784173];[ 0.38392857  0.58433735];[   0.50423651    0.50359712    0.48413296  139.        ];-0.0070043256132118334;8.475.000.143.051.140
17;0.49640287769784175;[ 0.49333333  0.49753695];[ 0.26618705  0.72661871];[ 0.34579439  0.59064327];[   0.49543514    0.49640288    0.46821883  139.        ];-0.0070015615258711339;8.771.999.835.968.010
18;0.50359712230215825;[ 0.50588235  0.50259067];[ 0.30935252  0.69784173];[ 0.38392857  0.58433735];[   0.50423651    0.50359712    0.48413296  139.        ];-0.0070043256132118334;11.570.000.171.661.300
19;0.50359712230215825;[ 0.50588235  0.50259067];[ 0.30935252  0.69784173];[ 0.38392857  0.58433735];[   0.50423651    0.50359712    0.48413296  139.        ];-0.0070043256132118334;1.252.999.997.138.970
20;0.50359712230215825;[ 0.50588235  0.50259067];[ 0.30935252  0.69784173];[ 0.38392857  0.58433735];[   0.50423651    0.50359712    0.48413296  139.        ];-0.0070043256132118334;18.375.999.927.520.700
21;0.49640287769784175;[ 0.49740933  0.49411765];[ 0.69064748  0.30215827];[ 0.57831325  0.375     ];[   0.49576349    0.49640288    0.47665663  139.        ];-0.0070043256132118334;15.664.999.961.853.000
22;0.49640287769784175;[ 0.49740933  0.49411765];[ 0.69064748  0.30215827];[ 0.57831325  0.375     ];[   0.49576349    0.49640288    0.47665663  139.        ];-0.0070043256132118334;14.636.000.156.402.500
23;0.50359712230215825;[ 0.50588235  0.50259067];[ 0.30935252  0.69784173];[ 0.38392857  0.58433735];[   0.50423651    0.50359712    0.48413296  139.        ];-0.0070043256132118334;1.795.299.983.024.590
24;0.50359712230215825;[ 0.50588235  0.50259067];[ 0.30935252  0.69784173];[ 0.38392857  0.58433735];[   0.50423651    0.50359712    0.48413296  139.        ];-0.0070043256132118334;15.483.000.040.054.300
25;0.49640287769784175;[ 0.49740933  0.49411765];[ 0.69064748  0.30215827];[ 0.57831325  0.375     ];[   0.49576349    0.49640288    0.47665663  139.        ];-0.0070043256132118334;14.799.999.952.316.200
 ;Accuracy;Precison;Recall;F-Score;;;
Media Final:;0.49942446043165467;0.49932179434291402;0.49942446043165467;0.47954936194720055;;;
