 ; ;Classe 0;Classe 1;Classe 2;All Class;;
Execution Number;Accuracy ;Precision/Recall/F-Score;Precision/Recall/F-Score;Precision/Recall/F-Score;Precision/Recall/F-Score/Support;Silhouette Coefficient;Time (seconds)
1;0.25702811244979917;[ 0.37068966  0.26848249  0.128     ];[ 0.23626374  0.38983051  0.11510791];[ 0.2885906   0.31797235  0.12121212];[   0.25572405    0.24706739    0.24259169  166.        ];-0.068901427254434988;21.710.000.038.146.900
2;0.48995983935742971;[ 0.51612903  0.45533141  0.58333333];[ 0.08791209  0.89265537  0.50359712];[ 0.15023474  0.60305344  0.54054054];[   0.51826459    0.49472153    0.43127624  166.        ];0.084288765812439326;19.679.999.351.501.400
3;0.3112449799196787;[ 0.26126126  0.43083004  0.12686567];[ 0.15934066  0.61581921  0.12230216];[ 0.19795222  0.50697674  0.12454212];[   0.27298566    0.29915401    0.27649036  166.        ];-0.055971863556954417;21.679.999.828.338.600
4;0.2429718875502008;[ 0.35968379  0.11711712  0.12686567];[ 0.5         0.07344633  0.12230216];[ 0.4183908   0.09027778  0.12454212];[   0.20122219    0.23191616    0.21107024  166.        ];-0.055971863556954417;2.367.000.102.996.820
5;0.27510040160642568;[ 0.26126126  0.41044776  0.20948617];[ 0.15934066  0.31073446  0.38129496];[ 0.19795222  0.35369775  0.27040816];[   0.29373173    0.28379003    0.27401938  166.        ];-0.055971863556954417;26.019.999.980.926.500
6;0.26104417670682734;[ 0.375       0.27272727  0.128     ];[ 0.24725275  0.38983051  0.11510791];[ 0.29801325  0.32093023  0.12121212];[   0.25857576    0.25073039    0.24671853  166.        ];-0.067037242268540978;28.329.999.446.868.800
7;0.25301204819277107;[ 0.37068966  0.2627451   0.12598425];[ 0.23626374  0.37853107  0.11510791];[ 0.2885906   0.31018519  0.12030075];[   0.25313967    0.24330091    0.23969218  166.        ];-0.068206348448574247;31.700.000.762.939.400
8;0.48192771084337349;[ 0.46268657  0.43083004  0.62162162];[ 0.34065934  0.61581921  0.49640288];[ 0.39240506  0.50697674  0.552     ];[   0.50504608    0.48429381    0.48379394  166.        ];-0.055971863556954417;3.986.999.988.555.900
9;0.25702811244979917;[ 0.45925926  0.11711712  0.21031746];[ 0.34065934  0.07344633  0.38129496];[ 0.39116719  0.09027778  0.27109974];[   0.26223128    0.26513354    0.25084824  166.        ];-0.056877200636996021;3.566.999.912.261.960
10;0.27710843373493976;[ 0.26126126  0.41481481  0.21031746];[ 0.15934066  0.31638418  0.38129496];[ 0.19795222  0.35897436  0.27109974];[   0.29546451    0.28567327    0.27600877  166.        ];-0.056877200636996021;3.578.000.068.664.550
11;0.31325301204819278;[ 0.3254902   0.43307087  0.15517241];[ 0.45604396  0.31073446  0.1294964 ];[ 0.3798627   0.36184211  0.14117647];[   0.30457783    0.29875827    0.29429376  166.        ];-0.068206348448574247;38.450.000.286.102.200
12;0.43172690763052207;[ 0.44715447  0.46666667  0.40784314];[ 0.3021978   0.31638418  0.74820144];[ 0.36065574  0.37710438  0.52791878];[   0.44055476    0.45559447    0.42189297  166.        ];-0.067485174789489774;3.953.000.068.664.550
13;0.38955823293172692;[ 0.36129032  0.40740741  0.39903846];[ 0.30769231  0.31073446  0.5971223 ];[ 0.33234421  0.3525641   0.47838617];[   0.3892454     0.40518302    0.38776483  166.        ];-0.066126826265915359;444.599.986.076.355
