 ; ;Classe 0;Classe 1;Classe 2;All Class;;
Execution Number;Accuracy ;Precision/Recall/F-Score;Precision/Recall/F-Score;Precision/Recall/F-Score;Precision/Recall/F-Score/Support;Silhouette Coefficient;Time (seconds)
1;0.36947791164658633;[ 0.7032967   0.26553672  0.0647482 ];[ 0.34133333  0.47474747  0.375     ];[ 0.45960503  0.34057971  0.11042945];[   0.34452721    0.39702694    0.30353806  166.        ];-0.081570150012250334;0.4050002098083496
2;0.36947791164658633;[ 0.7032967   0.26553672  0.0647482 ];[ 0.34133333  0.47474747  0.375     ];[ 0.45960503  0.34057971  0.11042945];[   0.34452721    0.39702694    0.30353806  166.        ];-0.081570150012250334;0.38299989700317383
3;0.36947791164658633;[ 0.7032967   0.26553672  0.0647482 ];[ 0.34133333  0.47474747  0.375     ];[ 0.45960503  0.34057971  0.11042945];[   0.34452721    0.39702694    0.30353806  166.        ];-0.081570150012250334;0.38700008392333984
4;0.36947791164658633;[ 0.7032967   0.26553672  0.0647482 ];[ 0.34133333  0.47474747  0.375     ];[ 0.45960503  0.34057971  0.11042945];[   0.34452721    0.39702694    0.30353806  166.        ];-0.081570150012250334;0.42100000381469727
5;0.36947791164658633;[ 0.7032967   0.26553672  0.0647482 ];[ 0.34133333  0.47474747  0.375     ];[ 0.45960503  0.34057971  0.11042945];[   0.34452721    0.39702694    0.30353806  166.        ];-0.081570150012250334;0.6770000457763672
6;0.36947791164658633;[ 0.7032967   0.26553672  0.0647482 ];[ 0.34133333  0.47474747  0.375     ];[ 0.45960503  0.34057971  0.11042945];[   0.34452721    0.39702694    0.30353806  166.        ];-0.081570150012250334;0.5440001487731934
7;0.36947791164658633;[ 0.7032967   0.26553672  0.0647482 ];[ 0.34133333  0.47474747  0.375     ];[ 0.45960503  0.34057971  0.11042945];[   0.34452721    0.39702694    0.30353806  166.        ];-0.081570150012250334;0.3859999179840088
8;0.36947791164658633;[ 0.7032967   0.26553672  0.0647482 ];[ 0.34133333  0.47474747  0.375     ];[ 0.45960503  0.34057971  0.11042945];[   0.34452721    0.39702694    0.30353806  166.        ];-0.081570150012250334;0.46200013160705566
9;0.36947791164658633;[ 0.7032967   0.26553672  0.0647482 ];[ 0.34133333  0.47474747  0.375     ];[ 0.45960503  0.34057971  0.11042945];[   0.34452721    0.39702694    0.30353806  166.        ];-0.081570150012250334;0.36999988555908203
10;0.36947791164658633;[ 0.7032967   0.26553672  0.0647482 ];[ 0.34133333  0.47474747  0.375     ];[ 0.45960503  0.34057971  0.11042945];[   0.34452721    0.39702694    0.30353806  166.        ];-0.081570150012250334;0.4099998474121094
11;0.36947791164658633;[ 0.7032967   0.26553672  0.0647482 ];[ 0.34133333  0.47474747  0.375     ];[ 0.45960503  0.34057971  0.11042945];[   0.34452721    0.39702694    0.30353806  166.        ];-0.081570150012250334;0.4269998073577881
12;0.36947791164658633;[ 0.7032967   0.26553672  0.0647482 ];[ 0.34133333  0.47474747  0.375     ];[ 0.45960503  0.34057971  0.11042945];[   0.34452721    0.39702694    0.30353806  166.        ];-0.081570150012250334;0.3810000419616699
13;0.36947791164658633;[ 0.7032967   0.26553672  0.0647482 ];[ 0.34133333  0.47474747  0.375     ];[ 0.45960503  0.34057971  0.11042945];[   0.34452721    0.39702694    0.30353806  166.        ];-0.081570150012250334;0.37399983406066895
14;0.36947791164658633;[ 0.7032967   0.26553672  0.0647482 ];[ 0.34133333  0.47474747  0.375     ];[ 0.45960503  0.34057971  0.11042945];[   0.34452721    0.39702694    0.30353806  166.        ];-0.081570150012250334;0.4119999408721924
15;0.36947791164658633;[ 0.7032967   0.26553672  0.0647482 ];[ 0.34133333  0.47474747  0.375     ];[ 0.45960503  0.34057971  0.11042945];[   0.34452721    0.39702694    0.30353806  166.        ];-0.081570150012250334;0.38300013542175293
16;0.36947791164658633;[ 0.7032967   0.26553672  0.0647482 ];[ 0.34133333  0.47474747  0.375     ];[ 0.45960503  0.34057971  0.11042945];[   0.34452721    0.39702694    0.30353806  166.        ];-0.081570150012250334;0.4010000228881836
17;0.36947791164658633;[ 0.7032967   0.26553672  0.0647482 ];[ 0.34133333  0.47474747  0.375     ];[ 0.45960503  0.34057971  0.11042945];[   0.34452721    0.39702694    0.30353806  166.        ];-0.081570150012250334;0.38299989700317383
18;0.36947791164658633;[ 0.7032967   0.26553672  0.0647482 ];[ 0.34133333  0.47474747  0.375     ];[ 0.45960503  0.34057971  0.11042945];[   0.34452721    0.39702694    0.30353806  166.        ];-0.081570150012250334;0.37800002098083496
19;0.36947791164658633;[ 0.7032967   0.26553672  0.0647482 ];[ 0.34133333  0.47474747  0.375     ];[ 0.45960503  0.34057971  0.11042945];[   0.34452721    0.39702694    0.30353806  166.        ];-0.081570150012250334;0.36700010299682617
20;0.36947791164658633;[ 0.7032967   0.26553672  0.0647482 ];[ 0.34133333  0.47474747  0.375     ];[ 0.45960503  0.34057971  0.11042945];[   0.34452721    0.39702694    0.30353806  166.        ];-0.081570150012250334;0.36700010299682617
21;0.36947791164658633;[ 0.7032967   0.26553672  0.0647482 ];[ 0.34133333  0.47474747  0.375     ];[ 0.45960503  0.34057971  0.11042945];[   0.34452721    0.39702694    0.30353806  166.        ];-0.081570150012250334;0.39100003242492676
22;0.36947791164658633;[ 0.7032967   0.26553672  0.0647482 ];[ 0.34133333  0.47474747  0.375     ];[ 0.45960503  0.34057971  0.11042945];[   0.34452721    0.39702694    0.30353806  166.        ];-0.081570150012250334;0.37000012397766113
23;0.36947791164658633;[ 0.7032967   0.26553672  0.0647482 ];[ 0.34133333  0.47474747  0.375     ];[ 0.45960503  0.34057971  0.11042945];[   0.34452721    0.39702694    0.30353806  166.        ];-0.081570150012250334;0.3839998245239258
24;0.36947791164658633;[ 0.7032967   0.26553672  0.0647482 ];[ 0.34133333  0.47474747  0.375     ];[ 0.45960503  0.34057971  0.11042945];[   0.34452721    0.39702694    0.30353806  166.        ];-0.081570150012250334;0.370999813079834
25;0.36947791164658633;[ 0.7032967   0.26553672  0.0647482 ];[ 0.34133333  0.47474747  0.375     ];[ 0.45960503  0.34057971  0.11042945];[   0.34452721    0.39702694    0.30353806  166.        ];-0.081570150012250334;0.3789999485015869
 ;Accuracy;Precison;Recall;F-Score;;;
Media Final:;0.36947791164658633;0.34452720929979813;0.39702693602693612;0.30353806164255664;;;
