 ; ;Classe 0;Classe 1;Classe 2;All Class;;
Execution Number;Accuracy ;Precision/Recall/F-Score;Precision/Recall/F-Score;Precision/Recall/F-Score;Precision/Recall/F-Score/Support;Silhouette Coefficient;Time (seconds)
1;0.50417827298050144;[ 0.78021978  0.22033898];[ 0.50714286  0.49367089];[ 0.61471861  0.3046875 ];[   0.50027938    0.50040687    0.45970306  179.5       ];-0.0055438391243856112;0.31599998474121094
2;0.50417827298050144;[ 0.78021978  0.22033898];[ 0.50714286  0.49367089];[ 0.61471861  0.3046875 ];[   0.50027938    0.50040687    0.45970306  179.5       ];-0.0055438391243856112;0.14099979400634766
3;0.50417827298050144;[ 0.78021978  0.22033898];[ 0.50714286  0.49367089];[ 0.61471861  0.3046875 ];[   0.50027938    0.50040687    0.45970306  179.5       ];-0.0055438391243856112;0.17400002479553223
4;0.50417827298050144;[ 0.78021978  0.22033898];[ 0.50714286  0.49367089];[ 0.61471861  0.3046875 ];[   0.50027938    0.50040687    0.45970306  179.5       ];-0.0055438391243856112;0.13699984550476074
5;0.50417827298050144;[ 0.78021978  0.22033898];[ 0.50714286  0.49367089];[ 0.61471861  0.3046875 ];[   0.50027938    0.50040687    0.45970306  179.5       ];-0.0055438391243856112;0.1360001564025879
6;0.50417827298050144;[ 0.78021978  0.22033898];[ 0.50714286  0.49367089];[ 0.61471861  0.3046875 ];[   0.50027938    0.50040687    0.45970306  179.5       ];-0.0055438391243856112;0.1360001564025879
7;0.50417827298050144;[ 0.78021978  0.22033898];[ 0.50714286  0.49367089];[ 0.61471861  0.3046875 ];[   0.50027938    0.50040687    0.45970306  179.5       ];-0.0055438391243856112;0.13700008392333984
8;0.50417827298050144;[ 0.78021978  0.22033898];[ 0.50714286  0.49367089];[ 0.61471861  0.3046875 ];[   0.50027938    0.50040687    0.45970306  179.5       ];-0.0055438391243856112;0.1360001564025879
9;0.50417827298050144;[ 0.78021978  0.22033898];[ 0.50714286  0.49367089];[ 0.61471861  0.3046875 ];[   0.50027938    0.50040687    0.45970306  179.5       ];-0.0055438391243856112;0.13299989700317383
10;0.50417827298050144;[ 0.78021978  0.22033898];[ 0.50714286  0.49367089];[ 0.61471861  0.3046875 ];[   0.50027938    0.50040687    0.45970306  179.5       ];-0.0055438391243856112;0.14899992942810059
11;0.50417827298050144;[ 0.78021978  0.22033898];[ 0.50714286  0.49367089];[ 0.61471861  0.3046875 ];[   0.50027938    0.50040687    0.45970306  179.5       ];-0.0055438391243856112;0.1360001564025879
12;0.50417827298050144;[ 0.78021978  0.22033898];[ 0.50714286  0.49367089];[ 0.61471861  0.3046875 ];[   0.50027938    0.50040687    0.45970306  179.5       ];-0.0055438391243856112;0.15900015830993652
13;0.50417827298050144;[ 0.78021978  0.22033898];[ 0.50714286  0.49367089];[ 0.61471861  0.3046875 ];[   0.50027938    0.50040687    0.45970306  179.5       ];-0.0055438391243856112;0.14800000190734863
14;0.50417827298050144;[ 0.78021978  0.22033898];[ 0.50714286  0.49367089];[ 0.61471861  0.3046875 ];[   0.50027938    0.50040687    0.45970306  179.5       ];-0.0055438391243856112;0.13699984550476074
15;0.50417827298050144;[ 0.78021978  0.22033898];[ 0.50714286  0.49367089];[ 0.61471861  0.3046875 ];[   0.50027938    0.50040687    0.45970306  179.5       ];-0.0055438391243856112;0.1400001049041748
16;0.50417827298050144;[ 0.78021978  0.22033898];[ 0.50714286  0.49367089];[ 0.61471861  0.3046875 ];[   0.50027938    0.50040687    0.45970306  179.5       ];-0.0055438391243856112;0.13700008392333984
17;0.50417827298050144;[ 0.78021978  0.22033898];[ 0.50714286  0.49367089];[ 0.61471861  0.3046875 ];[   0.50027938    0.50040687    0.45970306  179.5       ];-0.0055438391243856112;0.1359999179840088
18;0.50417827298050144;[ 0.78021978  0.22033898];[ 0.50714286  0.49367089];[ 0.61471861  0.3046875 ];[   0.50027938    0.50040687    0.45970306  179.5       ];-0.0055438391243856112;0.14400005340576172
19;0.50417827298050144;[ 0.78021978  0.22033898];[ 0.50714286  0.49367089];[ 0.61471861  0.3046875 ];[   0.50027938    0.50040687    0.45970306  179.5       ];-0.0055438391243856112;0.13900017738342285
20;0.50417827298050144;[ 0.78021978  0.22033898];[ 0.50714286  0.49367089];[ 0.61471861  0.3046875 ];[   0.50027938    0.50040687    0.45970306  179.5       ];-0.0055438391243856112;0.1530001163482666
21;0.50417827298050144;[ 0.78021978  0.22033898];[ 0.50714286  0.49367089];[ 0.61471861  0.3046875 ];[   0.50027938    0.50040687    0.45970306  179.5       ];-0.0055438391243856112;0.14800000190734863
22;0.50417827298050144;[ 0.78021978  0.22033898];[ 0.50714286  0.49367089];[ 0.61471861  0.3046875 ];[   0.50027938    0.50040687    0.45970306  179.5       ];-0.0055438391243856112;0.13900017738342285
23;0.50417827298050144;[ 0.78021978  0.22033898];[ 0.50714286  0.49367089];[ 0.61471861  0.3046875 ];[   0.50027938    0.50040687    0.45970306  179.5       ];-0.0055438391243856112;0.1510000228881836
24;0.50417827298050144;[ 0.78021978  0.22033898];[ 0.50714286  0.49367089];[ 0.61471861  0.3046875 ];[   0.50027938    0.50040687    0.45970306  179.5       ];-0.0055438391243856112;0.1529998779296875
25;0.50417827298050144;[ 0.78021978  0.22033898];[ 0.50714286  0.49367089];[ 0.61471861  0.3046875 ];[   0.50027938    0.50040687    0.45970306  179.5       ];-0.0055438391243856112;0.14700007438659668
 ;Accuracy;Precison;Recall;F-Score;;;
Media Final:;0.50417827298050144;0.50027938163531394;0.50040687160940323;0.45970305735930755;;;
