 ; ;Classe 0;Classe 1;Classe 2;All Class;;
Execution Number;Accuracy ;Precision/Recall/F-Score;Precision/Recall/F-Score;Precision/Recall/F-Score;Precision/Recall/F-Score/Support;Silhouette Coefficient;Time (seconds)
1;0.4148681055155875;[ 0.29411765  0.45783133  0.41666667];[ 0.07194245  0.27338129  0.89928058];[ 0.11560694  0.34234234  0.56947608];[   0.38953855    0.41486811    0.34247512  139.        ];-0.11571402001218133;30.260.000.228.881.800
2;0.42925659472422062;[ 0.43037975  0.74074074  0.40192926];[ 0.24460432  0.14388489  0.89928058];[ 0.31192661  0.24096386  0.55555556];[   0.52434992    0.42925659    0.36948201  139.        ];-0.19296690749039344;33.910.000.324.249.200
3;0.40047961630695444;[ 0.42857143  0.45121951  0.38436482];[ 0.08633094  0.26618705  0.84892086];[ 0.14371257  0.33484163  0.52914798];[   0.42138525    0.40047962    0.33590073  139.        ];-0.071768901426994283;40.950.000.286.102.200
4;0.28537170263788969;[ 0.42857143  0.31270358  0.13414634];[ 0.08633094  0.69064748  0.07913669];[ 0.14371257  0.43049327  0.09954751];[   0.29180712    0.2853717     0.22458445  139.        ];-0.071768901426994283;4.892.999.887.466.430
5;0.34292565947242204;[ 0.          0.34366925  0.35714286];[ 0.          0.95683453  0.07194245];[ 0.          0.50570342  0.11976048];[   0.23360404    0.34292566    0.20848797  139.        ];-0.29612816560017441;545.799.994.468.689
6;0.23741007194244604;[ 0.14814815  0.27096774  0.1375    ];[ 0.02877698  0.60431655  0.07913669];[ 0.04819277  0.37416481  0.10045662];[   0.18553863    0.23741007    0.1742714   139.        ];-0.19214849424478145;63.500.001.430.511.400
7;0.33573141486810554;[ 0.3029316   0.45121951  0.35714286];[ 0.66906475  0.26618705  0.07194245];[ 0.41704036  0.33484163  0.11976048];[   0.37043132    0.33573141    0.29054749  139.        ];-0.071768901426994283;8.213.000.059.127.800
8;0.28537170263788969;[ 0.42857143  0.31270358  0.13414634];[ 0.08633094  0.69064748  0.07913669];[ 0.14371257  0.43049327  0.09954751];[   0.29180712    0.2853717     0.22458445  139.        ];-0.071768901426994283;7.984.999.895.095.820
9;0.28537170263788969;[ 0.42857143  0.31270358  0.13414634];[ 0.08633094  0.69064748  0.07913669];[ 0.14371257  0.43049327  0.09954751];[   0.29180712    0.2853717     0.22458445  139.        ];-0.071768901426994283;774.399.995.803.833
10;0.40287769784172661;[ 0.33333333  0.46428571  0.39158576];[ 0.05755396  0.28057554  0.8705036 ];[ 0.09815951  0.34977578  0.54017857];[   0.3964016     0.4028777     0.32937129  139.        ];-0.084774491274188318;9.506.999.969.482.420
11;0.37889688249400477;[ 0.94117647  0.35579515  0.34482759];[ 0.11510791  0.94964029  0.07194245];[ 0.20512821  0.51764706  0.11904762];[   0.5472664     0.37889688    0.28060763  139.        ];-0.14922852772848796;9.378.999.948.501.580
12;0.33573141486810554;[ 0.41463415  0.31270358  0.35714286];[ 0.24460432  0.69064748  0.07194245];[ 0.30769231  0.43049327  0.11976048];[   0.36149353    0.33573141    0.28598202  139.        ];-0.071768901426994283;10.479.000.091.552.700
13;0.40047961630695444;[ 0.42857143  0.45121951  0.38436482];[ 0.08633094  0.26618705  0.84892086];[ 0.14371257  0.33484163  0.52914798];[   0.42138525    0.40047962    0.33590073  139.        ];-0.071768901426994283;10.770.999.908.447.200
14;0.33573141486810554;[ 0.3029316   0.45121951  0.35714286];[ 0.66906475  0.26618705  0.07194245];[ 0.41704036  0.33484163  0.11976048];[   0.37043132    0.33573141    0.29054749  139.        ];-0.071768901426994283;1.260.700.011.253.350
15;0.33573141486810554;[ 0.41463415  0.31270358  0.35714286];[ 0.24460432  0.69064748  0.07194245];[ 0.30769231  0.43049327  0.11976048];[   0.36149353    0.33573141    0.28598202  139.        ];-0.071768901426994283;12.990.000.009.536.700
16;0.43405275779376501;[ 1.          0.46428571  0.40125392];[ 0.10071942  0.28057554  0.92086331];[ 0.18300654  0.34977578  0.55895197];[   0.62184654    0.43405276    0.36391143  139.        ];-0.21481576536156649;1.214.299.988.746.640
17;0.28537170263788969;[ 0.42857143  0.31270358  0.13414634];[ 0.08633094  0.69064748  0.07913669];[ 0.14371257  0.43049327  0.09954751];[   0.29180712    0.2853717     0.22458445  139.        ];-0.071768901426994283;1.266.700.005.531.310
18;0.33573141486810554;[ 0.41463415  0.31270358  0.35714286];[ 0.24460432  0.69064748  0.07194245];[ 0.30769231  0.43049327  0.11976048];[   0.36149353    0.33573141    0.28598202  139.        ];-0.071768901426994283;1.411.899.995.803.830
19;0.40287769784172661;[ 0.22222222  0.46428571  0.39197531];[ 0.01438849  0.28057554  0.91366906];[ 0.02702703  0.34977578  0.54859611];[   0.35949442    0.4028777     0.30846631  139.        ];-0.17739509336189929;15.425.000.190.734.800
20;0.33573141486810554;[ 0.3029316   0.45121951  0.35714286];[ 0.66906475  0.26618705  0.07194245];[ 0.41704036  0.33484163  0.11976048];[   0.37043132    0.33573141    0.29054749  139.        ];-0.071768901426994283;1.621.999.979.019.160
21;0.28776978417266186;[ 0.48148148  0.31596091  0.12048193];[ 0.09352518  0.69784173  0.07194245];[ 0.15662651  0.43497758  0.09009009];[   0.30597477    0.28776978    0.22723139  139.        ];-0.073144466354875634;16.342.000.007.629.300
22;0.40047961630695444;[ 0.42857143  0.45121951  0.38436482];[ 0.08633094  0.26618705  0.84892086];[ 0.14371257  0.33484163  0.52914798];[   0.42138525    0.40047962    0.33590073  139.        ];-0.071768901426994283;1.672.000.002.861.020
23;0.30215827338129497;[ 0.36206897  0.3003003   0.19230769];[ 0.15107914  0.71942446  0.03597122];[ 0.21319797  0.42372881  0.06060606];[   0.28489232    0.30215827    0.23251095  139.        ];-0.084997785040620208;25.164.999.961.853.000
24;0.40047961630695444;[ 0.42857143  0.45121951  0.38436482];[ 0.08633094  0.26618705  0.84892086];[ 0.14371257  0.33484163  0.52914798];[   0.42138525    0.40047962    0.33590073  139.        ];-0.071768901426994283;25.981.000.185.012.800
25;0.28537170263788969;[ 0.42857143  0.31270358  0.13414634];[ 0.08633094  0.69064748  0.07913669];[ 0.14371257  0.43049327  0.09954751];[   0.29180712    0.2853717     0.22458445  139.        ];-0.071768901426994283;19.513.000.011.444.000
 ;Accuracy;Precison;Recall;F-Score;;;
Media Final:;0.34705035971223025;0.3675703336435967;0.34705035971223014;0.2813171677432188;;;
