 ; ;Classe 0;Classe 1;Classe 2;All Class;;
Execution Number;Accuracy ;Precision/Recall/F-Score;Precision/Recall/F-Score;Precision/Recall/F-Score;Precision/Recall/F-Score/Support;Silhouette Coefficient;Time (seconds)
1;0.51798561151079137;[ 0.51219512  0.53424658];[ 0.75539568  0.28057554];[ 0.61046512  0.36792453];[   0.52322085    0.51798561    0.48919482  139.        ];-0.004281865331766728;4.162.999.868.392.940
2;0.48201438848920863;[ 0.46575342  0.48780488];[ 0.24460432  0.71942446];[ 0.32075472  0.58139535];[   0.47677915    0.48201439    0.45107503  139.        ];-0.004281865331766728;2.490.999.937.057.490
3;0.52158273381294962;[ 0.66666667  0.51153846];[ 0.08633094  0.95683453];[ 0.15286624  0.66666667];[   0.58910256    0.52158273    0.40976645  139.        ];-0.027026356443967912;3.011.000.156.402.580
4;0.48201438848920863;[ 0.46575342  0.48780488];[ 0.24460432  0.71942446];[ 0.32075472  0.58139535];[   0.47677915    0.48201439    0.45107503  139.        ];-0.004281865331766728;36.059.999.465.942.300
5;0.5611510791366906;[ 0.68888889  0.53648069];[ 0.22302158  0.89928058];[ 0.33695652  0.67204301];[   0.61268479    0.56115108    0.50449977  139.        ];0.0097751973312513087;420.799.994.468.689
6;0.48561151079136688;[ 0.47222222  0.49029126];[ 0.24460432  0.72661871];[ 0.32227488  0.58550725];[   0.48125674    0.48561151    0.45389106  139.        ];-0.0052337752447966504;4.483.000.040.054.320
7;0.51438848920863312;[ 0.50970874  0.52777778];[ 0.75539568  0.27338129];[ 0.60869565  0.36018957];[   0.51874326    0.51438849    0.48444261  139.        ];-0.0052337752447966504;536.299.991.607.666
8;0.51079136690647486;[ 0.52631579  0.50678733];[ 0.21582734  0.8057554 ];[ 0.30612245  0.62222222];[   0.51655156    0.51079137    0.46417234  139.        ];-0.0061034927785679352;608.899.998.664.856
9;0.48201438848920863;[ 0.46575342  0.48780488];[ 0.24460432  0.71942446];[ 0.32075472  0.58139535];[   0.47677915    0.48201439    0.45107503  139.        ];-0.004281865331766728;68.470.001.220.703.100
10;0.51438848920863312;[ 0.50970874  0.52777778];[ 0.75539568  0.27338129];[ 0.60869565  0.36018957];[   0.51874326    0.51438849    0.48444261  139.        ];-0.0052337752447966504;5.651.000.022.888.180
11;0.48201438848920863;[ 0.46575342  0.48780488];[ 0.24460432  0.71942446];[ 0.32075472  0.58139535];[   0.47677915    0.48201439    0.45107503  139.        ];-0.004281865331766728;791.700.005.531.311
12;0.51798561151079137;[ 0.51219512  0.53424658];[ 0.75539568  0.28057554];[ 0.61046512  0.36792453];[   0.52322085    0.51798561    0.48919482  139.        ];-0.004281865331766728;892.199.993.133.545
13;0.51438848920863312;[ 0.50970874  0.52777778];[ 0.75539568  0.27338129];[ 0.60869565  0.36018957];[   0.51874326    0.51438849    0.48444261  139.        ];-0.0052337752447966504;9.617.000.102.996.820
14;0.48561151079136688;[ 0.47222222  0.49029126];[ 0.24460432  0.72661871];[ 0.32227488  0.58550725];[   0.48125674    0.48561151    0.45389106  139.        ];-0.0052337752447966504;10.020.999.908.447.200
15;0.48561151079136688;[ 0.47222222  0.49029126];[ 0.24460432  0.72661871];[ 0.32227488  0.58550725];[   0.48125674    0.48561151    0.45389106  139.        ];-0.0052337752447966504;1.542.300.009.727.470
16;0.48920863309352519;[ 0.49321267  0.47368421];[ 0.78417266  0.1942446 ];[ 0.60555556  0.2755102 ];[   0.48344844    0.48920863    0.44053288  139.        ];-0.0061034927785679352;15.973.000.049.591.000
17;0.51438848920863312;[ 0.50970874  0.52777778];[ 0.75539568  0.27338129];[ 0.60869565  0.36018957];[   0.51874326    0.51438849    0.48444261  139.        ];-0.0052337752447966504;1.579.099.988.937.370
18;0.51798561151079137;[ 0.51219512  0.53424658];[ 0.75539568  0.28057554];[ 0.61046512  0.36792453];[   0.52322085    0.51798561    0.48919482  139.        ];-0.004281865331766728;15.684.999.942.779.500
19;0.51798561151079137;[ 0.51219512  0.53424658];[ 0.75539568  0.28057554];[ 0.61046512  0.36792453];[   0.52322085    0.51798561    0.48919482  139.        ];-0.004281865331766728;1.455.299.997.329.710
20;0.51798561151079137;[ 0.51219512  0.53424658];[ 0.75539568  0.28057554];[ 0.61046512  0.36792453];[   0.52322085    0.51798561    0.48919482  139.        ];-0.004281865331766728;17.483.999.967.575.000
21;0.51798561151079137;[ 0.51219512  0.53424658];[ 0.75539568  0.28057554];[ 0.61046512  0.36792453];[   0.52322085    0.51798561    0.48919482  139.        ];-0.004281865331766728;13.976.999.998.092.600
22;0.55755395683453235;[ 0.94444444  0.53076923];[ 0.12230216  0.99280576];[ 0.21656051  0.69172932];[   0.73760684    0.55755396    0.45414492  139.        ];-0.091805154025250135;16.138.000.011.444.000
23;0.48201438848920863;[ 0.46575342  0.48780488];[ 0.24460432  0.71942446];[ 0.32075472  0.58139535];[   0.47677915    0.48201439    0.45107503  139.        ];-0.004281865331766728;1.417.300.009.727.470
24;0.51798561151079137;[ 0.51219512  0.53424658];[ 0.75539568  0.28057554];[ 0.61046512  0.36792453];[   0.52322085    0.51798561    0.48919482  139.        ];-0.004281865331766728;13.443.000.078.201.200
25;0.51798561151079137;[ 0.51219512  0.53424658];[ 0.75539568  0.28057554];[ 0.61046512  0.36792453];[   0.52322085    0.51798561    0.48919482  139.        ];-0.004281865331766728;17.893.999.814.987.100
 ;Accuracy;Precison;Recall;F-Score;;;
Media Final:;0.50834532374100716;0.52111199973051747;0.50834532374100727;0.46965974953704387;;;
