 , ,Classe 0,Classe 1,Classe 2,All Class
Execution Number,Accuracy ,Precision/Recall/F-Score,Precision/Recall/F-Score,Precision/Recall/F-Score,Precision/Recall/F-Score/Support,Silhouette Coefficient,Time (seconds)
1,0.28313253012048195,[ 0.33787466  0.17647059  0.11340206],[ 0.68131868  0.03389831  0.07913669],[ 0.45173042  0.05687204  0.09322034],[   0.2092491     0.26478456    0.2006076   166.        ],-0.075694381491551804,4.0299999713897705
2,0.29919678714859438,[ 0.325       0.17647059  0.        ],[ 0.78571429  0.03389831  0.        ],[ 0.45980707  0.05687204  0.        ],[   0.16715686    0.2732042     0.17222637  166.        ],-0.12889367528554116,4.129000186920166
3,0.36546184738955823,[ 0.52941176  0.4742268   0.32152589],[ 0.0989011   0.25988701  0.84892086],[ 0.16666667  0.33576642  0.46640316],[   0.44172148    0.40256966    0.32294542  166.        ],-0.075694381491551804,5.199999809265137
4,0.28313253012048195,[ 0.33787466  0.17647059  0.11340206],[ 0.68131868  0.03389831  0.07913669],[ 0.45173042  0.05687204  0.09322034],[   0.2092491     0.26478456    0.2006076   166.        ],-0.075694381491551804,6.763000011444092
5,0.36546184738955823,[ 0.52941176  0.4742268   0.32152589],[ 0.0989011   0.25988701  0.84892086],[ 0.16666667  0.33576642  0.46640316],[   0.44172148    0.40256966    0.32294542  166.        ],-0.075694381491551804,6.944000005722046
6,0.3112449799196787,[ 0.89473684  0.33509235  0.11      ],[ 0.09340659  0.71751412  0.07913669],[ 0.16915423  0.45683453  0.09205021],[   0.44660973    0.2966858     0.23934632  166.        ],-0.24670895674597509,10.296000003814697
7,0.3534136546184739,[ 0.41414141  0.33695652  0.35483871],[ 0.22527473  0.70056497  0.07913669],[ 0.29181495  0.45504587  0.12941176],[   0.36864555    0.33499213    0.29209086  166.        ],-0.09106647429867068,10.355000019073486
8,0.36144578313253012,[ 0.33787466  0.4742268   0.29411765],[ 0.68131868  0.25988701  0.07194245],[ 0.45173042  0.33576642  0.11560694],[   0.3687397     0.33771604    0.30103459  166.        ],-0.075694381491551804,9.719000101089478
9,0.37951807228915663,[ 0.82352941  0.48        0.33333333],[ 0.07692308  0.27118644  0.91366906],[ 0.14070352  0.3465704   0.48846154],[   0.54562092    0.42059286    0.32524515  166.        ],-0.2178722203604892,10.40499997138977
10,0.34738955823293172,[ 0.11111111  0.45833333  0.34153005],[ 0.02197802  0.24858757  0.89928058],[ 0.03669725  0.32234432  0.4950495 ],[   0.30365817    0.38994872    0.28469703  166.        ],-0.23891955886696564,11.444999933242798
