 ; ;Classe 0;Classe 1;Classe 2;All Class;;
Execution Number;Accuracy ;Precision/Recall/F-Score;Precision/Recall/F-Score;Precision/Recall/F-Score;Precision/Recall/F-Score/Support;Silhouette Coefficient;Time (seconds)
1;0.54874651810584962;[ 0.73809524  0.52365931];[ 0.17032967  0.93785311];[ 0.27678571  0.67206478];[   0.63087727    0.55409139    0.47442525  179.5       ];-0.017099651273093389;33.589.999.675.750.700
2;0.52646239554317553;[ 0.52222222  0.53932584];[ 0.77472527  0.27118644];[ 0.62389381  0.36090226];[   0.53077403    0.52295586    0.49239803  179.5       ];0.00025196494876565044;3.181.999.921.798.700
3;0.47353760445682452;[ 0.46067416  0.47777778];[ 0.22527473  0.72881356];[ 0.30258303  0.57718121];[   0.46922597    0.47704414    0.43988212  179.5       ];0.00025196494876565044;4.180.999.994.277.950
4;0.52646239554317553;[ 0.52222222  0.53932584];[ 0.77472527  0.27118644];[ 0.62389381  0.36090226];[   0.53077403    0.52295586    0.49239803  179.5       ];0.00025196494876565044;5.492.000.102.996.820
5;0.52646239554317553;[ 0.75        0.51044776];[ 0.0989011   0.96610169];[ 0.17475728  0.66796875];[   0.63022388    0.5325014     0.42136302  179.5       ];-0.051019708358497028;5.752.000.093.460.080
6;0.52646239554317553;[ 0.52222222  0.53932584];[ 0.77472527  0.27118644];[ 0.62389381  0.36090226];[   0.53077403    0.52295586    0.49239803  179.5       ];0.00025196494876565044;5.984.999.895.095.820
7;0.47353760445682452;[ 0.46067416  0.47777778];[ 0.22527473  0.72881356];[ 0.30258303  0.57718121];[   0.46922597    0.47704414    0.43988212  179.5       ];0.00025196494876565044;6.865.000.009.536.740
8;0.52646239554317553;[ 0.75        0.51044776];[ 0.0989011   0.96610169];[ 0.17475728  0.66796875];[   0.63022388    0.5325014     0.42136302  179.5       ];-0.051019708358497028;7.990.000.009.536.740
9;0.54596100278551529;[ 0.88        0.52095808];[ 0.12087912  0.98305085];[ 0.21256039  0.68101761];[   0.70047904    0.55196498    0.446789    179.5       ];-0.08069701812326073;10.772.000.074.386.500
10;0.52646239554317553;[ 0.52222222  0.53932584];[ 0.77472527  0.27118644];[ 0.62389381  0.36090226];[   0.53077403    0.52295586    0.49239803  179.5       ];0.00025196494876565044;10.098.000.049.591.000
11;0.45403899721448465;[ 0.11111111  0.47214076];[ 0.01098901  0.90960452];[ 0.02        0.62162162];[   0.29162594    0.46029677    0.32081081  179.5       ];-0.088195811635720489;12.605.999.946.594.200
12;0.48189415041782729;[ 0.40909091  0.48664688];[ 0.04945055  0.92655367];[ 0.08823529  0.6381323 ];[   0.4478689     0.48800211    0.36318379  179.5       ];-0.009396806340689701;1.357.200.002.670.280
13;0.47353760445682452;[ 0.46067416  0.47777778];[ 0.22527473  0.72881356];[ 0.30258303  0.57718121];[   0.46922597    0.47704414    0.43988212  179.5       ];0.00025196494876565044;10.680.999.994.277.900
14;0.52646239554317553;[ 0.52222222  0.53932584];[ 0.77472527  0.27118644];[ 0.62389381  0.36090226];[   0.53077403    0.52295586    0.49239803  179.5       ];0.00025196494876565044;11.342.000.007.629.300
15;0.41225626740947074;[ 0.10810811  0.44720497];[ 0.02197802  0.81355932];[ 0.03652968  0.57715431];[   0.27765654    0.41776867    0.30684199  179.5       ];-0.0087374211092530064;18.506.999.969.482.400
16;0.55710306406685239;[ 0.53872054  0.64516129];[ 0.87912088  0.2259887 ];[ 0.66805846  0.33472803];[   0.59194091    0.55255479    0.50139324  179.5       ];0.013502296894969113;3.176.099.991.798.400
17;0.47353760445682452;[ 0.46067416  0.47777778];[ 0.22527473  0.72881356];[ 0.30258303  0.57718121];[   0.46922597    0.47704414    0.43988212  179.5       ];0.00025196494876565044;3.473.099.994.659.420
18;0.52646239554317553;[ 0.52222222  0.53932584];[ 0.77472527  0.27118644];[ 0.62389381  0.36090226];[   0.53077403    0.52295586    0.49239803  179.5       ];0.00025196494876565044;3.938.600.015.640.250
19;0.52646239554317553;[ 0.52222222  0.53932584];[ 0.77472527  0.27118644];[ 0.62389381  0.36090226];[   0.53077403    0.52295586    0.49239803  179.5       ];0.00025196494876565044;30.848.999.977.111.800
20;0.52646239554317553;[ 0.52222222  0.53932584];[ 0.77472527  0.27118644];[ 0.62389381  0.36090226];[   0.53077403    0.52295586    0.49239803  179.5       ];0.00025196494876565044;2.914.299.988.746.640
21;0.52646239554317553;[ 0.52222222  0.53932584];[ 0.77472527  0.27118644];[ 0.62389381  0.36090226];[   0.53077403    0.52295586    0.49239803  179.5       ];0.00025196494876565044;24.131.999.969.482.400
22;0.52646239554317553;[ 0.75        0.51044776];[ 0.0989011   0.96610169];[ 0.17475728  0.66796875];[   0.63022388    0.5325014     0.42136302  179.5       ];-0.051019708358497028;16.490.000.009.536.700
23;0.52646239554317553;[ 0.52222222  0.53932584];[ 0.77472527  0.27118644];[ 0.62389381  0.36090226];[   0.53077403    0.52295586    0.49239803  179.5       ];0.00025196494876565044;1.904.800.009.727.470
24;0.52646239554317553;[ 0.52222222  0.53932584];[ 0.77472527  0.27118644];[ 0.62389381  0.36090226];[   0.53077403    0.52295586    0.49239803  179.5       ];0.00025196494876565044;17.555.999.994.277.900
25;0.47353760445682452;[ 0.46067416  0.47777778];[ 0.22527473  0.72881356];[ 0.30258303  0.57718121];[   0.46922597    0.47704414    0.43988212  179.5       ];0.00025196494876565044;20.990.000.009.536.700
 ;Accuracy;Precison;Recall;F-Score;;;
Media Final:;0.50952646239554322;0.52063057748100317;0.5103967219221458;0.45173288228315811;;;
