 , ,Classe 0,Classe 1,Classe 2,All Class
Execution Number,Accuracy ,Precision/Recall/F-Score,Precision/Recall/F-Score,Precision/Recall/F-Score,Precision/Recall/F-Score/Support,Silhouette Coefficient,Time (seconds)
1,0.2429718875502008,[ 0.30714286  0.16826923  0.28666667],[ 0.25903614  0.21084337  0.25903614],[ 0.28104575  0.18716578  0.2721519 ],[   0.25402625    0.24297189    0.24678781  166.        ],-0.048293665178588664,5.036046981811523
2,0.38554216867469882,[ 0.43203883  0.41549296  0.29333333],[ 0.53614458  0.35542169  0.26506024],[ 0.47849462  0.38311688  0.27848101],[   0.38028838    0.38554217    0.38003084  166.        ],-0.051589499152169101,4.8878350257873535
3,0.40160642570281124,[ 0.28181818  0.47191011  0.4047619 ],[ 0.18674699  0.5060241   0.51204819],[ 0.22463768  0.48837209  0.45212766],[   0.3861634     0.40160643    0.38837914  166.        ],-0.041449558426354727,4.997220039367676
4,0.23293172690763053,[ 0.24193548  0.19354839  0.28025478],[ 0.18072289  0.25301205  0.26506024],[ 0.20689655  0.21932115  0.27244582],[   0.23857955    0.23293173    0.23288784  166.        ],-0.052435498123297217,5.6551032066345215
5,0.21285140562248997,[ 0.21153846  0.17370892  0.27906977],[ 0.19879518  0.22289157  0.21686747],[ 0.20496894  0.19525066  0.2440678 ],[   0.22143905    0.21285141    0.21476247  166.        ],-0.051448290146598401,6.400568962097168
6,0.24497991967871485,[ 0.30985915  0.16504854  0.29333333],[ 0.26506024  0.20481928  0.26506024],[ 0.28571429  0.1827957   0.27848101],[   0.25608034    0.24497992    0.248997    166.        ],-0.051589499152169101,7.85868501663208
7,0.24899598393574296,[ 0.30935252  0.18009479  0.29054054],[ 0.25903614  0.22891566  0.25903614],[ 0.28196721  0.20159151  0.27388535],[   0.25999595    0.24899598    0.25248136  166.        ],-0.049913540575391664,7.990916967391968
8,0.24698795180722891,[ 0.32824427  0.17142857  0.28025478],[ 0.25903614  0.21686747  0.26506024],[ 0.28956229  0.19148936  0.27244582],[   0.25997587    0.24698795    0.25116582  166.        ],-0.047779756061597137,9.322665929794312
9,0.35742971887550201,[ 0.39285714  0.39416058  0.2293578 ],[ 0.59638554  0.3253012   0.15060241],[ 0.47368421  0.35643564  0.18181818],[   0.33879184    0.35742972    0.33731268  166.        ],-0.049849304810083046,9.708039999008179
10,0.24698795180722891,[ 0.2752809   0.18604651  0.32380952],[ 0.29518072  0.24096386  0.20481928],[ 0.28488372  0.20997375  0.25092251],[   0.26171231    0.24698795    0.24859333  166.        ],-0.040655094234851072,9.884680032730103
11,0.21485943775100402,[ 0.22        0.16908213  0.27659574],[ 0.19879518  0.21084337  0.23493976],[ 0.20886076  0.18766756  0.25407166],[   0.22189262    0.21485944    0.21686666  166.        ],-0.051768501724932692,10.903532981872559
12,0.35742971887550201,[ 0.39285714  0.39416058  0.2293578 ],[ 0.59638554  0.3253012   0.15060241],[ 0.47368421  0.35643564  0.18181818],[   0.33879184    0.35742972    0.33731268  166.        ],-0.049849304810083046,10.913679838180542
13,0.24096385542168675,[ 0.32773109  0.18695652  0.25503356],[ 0.23493976  0.25903614  0.22891566],[ 0.27368421  0.21717172  0.24126984],[   0.25657372    0.24096386    0.24404192  166.        ],-0.03958043089703317,12.835392951965332
14,0.21485943775100402,[ 0.22        0.16908213  0.27659574],[ 0.19879518  0.21084337  0.23493976],[ 0.20886076  0.18766756  0.25407166],[   0.22189262    0.21485944    0.21686666  166.        ],-0.051768501724932692,12.196722984313965
15,0.42570281124497994,[ 0.42727273  0.5125      0.30508475],[ 0.56626506  0.4939759   0.21686747],[ 0.48704663  0.50306748  0.25352113],[   0.41495249    0.42570281    0.41454508  166.        ],-0.040083110740877191,12.798258066177368
16,0.40562248995983935,[ 0.40096618  0.45901639  0.32407407],[ 0.5         0.5060241   0.21084337],[ 0.44504021  0.48137536  0.25547445],[   0.39468555    0.40562249    0.39396334  166.        ],-0.032003044808722902,14.14480209350586
17,0.24698795180722891,[ 0.31205674  0.16908213  0.29333333],[ 0.26506024  0.21084337  0.26506024],[ 0.28664495  0.18766756  0.27848101],[   0.2581574     0.24698795    0.25093117  166.        ],-0.051768501724932692,14.34716510772705
18,0.34136546184738958,[ 0.21794872  0.38931298  0.4028436 ],[ 0.20481928  0.30722892  0.51204819],[ 0.21118012  0.34343434  0.45092838],[   0.33670177    0.34136546    0.33518095  166.        ],-0.048837609382205764,15.125739812850952
19,0.21285140562248997,[ 0.21153846  0.17370892  0.27906977],[ 0.19879518  0.22289157  0.21686747],[ 0.20496894  0.19525066  0.2440678 ],[   0.22143905    0.21285141    0.21476247  166.        ],-0.051448290146598401,16.338414907455444
20,0.23895582329317269,[ 0.2293578   0.21031746  0.29927007],[ 0.15060241  0.31927711  0.24698795],[ 0.18181818  0.25358852  0.27062706],[   0.24631511    0.23895582    0.23534459  166.        ],-0.049849304810083046,16.50031614303589
21,0.25301204819277107,[ 0.27868852  0.19417476  0.32110092],[ 0.30722892  0.24096386  0.21084337],[ 0.29226361  0.21505376  0.25454545],[   0.26465473    0.25301205    0.25395428  166.        ],-0.032499649163289963,17.907097101211548
22,0.36144578313253012,[ 0.23364486  0.39855072  0.39525692],[ 0.15060241  0.3313253   0.60240964],[ 0.18315018  0.36184211  0.47732697],[   0.34248417    0.36144578    0.34077309  166.        ],-0.050828759738467157,18.578542947769165
23,0.34538152610441769,[ 0.4028436   0.3853211   0.25280899],[ 0.51204819  0.25301205  0.27108434],[ 0.45092838  0.30545455  0.26162791],[   0.34699123    0.34538153    0.33933694  166.        ],-0.033487408014774546,18.520684003829956
24,0.23092369477911648,[ 0.27619048  0.18691589  0.25698324],[ 0.1746988   0.24096386  0.27710843],[ 0.21402214  0.21052632  0.26666667],[   0.24002987    0.23092369    0.23040504  166.        ],-0.039608624965278019,19.31388807296753
25,0.41164658634538154,[ 0.42380952  0.50318471  0.28244275],[ 0.53614458  0.47590361  0.22289157],[ 0.47340426  0.48916409  0.24915825],[   0.40314566    0.41164659    0.40390886  166.        ],-0.047779756061597137,20.6601300239563
 ,Accuracy,Precison,Recall,F-Score
Media Final:,0.29293172690763053,0.29463043137885303,0.29293172690763053,0.2891836809199389
