 , ,Classe 0,Classe 1,Classe 2,All Class
Execution Number,Accuracy ,Precision/Recall/F-Score,Precision/Recall/F-Score,Precision/Recall/F-Score,Precision/Recall/F-Score/Support,Silhouette Coefficient,Time (seconds)
1,0.36570862239841428,[ 0.08865979  0.57055215  0.24684685],[ 0.25903614  0.4295612   0.2477396 ],[ 0.13210445  0.49011858  0.24729242],[  3.02019596e-01   3.12112316e-01   2.89838484e-01   6.72666667e+02],-0.10277124839593804,21.88269805908203
2,0.33052527254707631,[ 0.07592892  0.55034325  0.2647619 ],[ 0.28313253  0.37028483  0.25135624],[ 0.11974522  0.44270594  0.25788497],[  2.97011357e-01   3.01591201e-01   2.73445377e-01   6.72666667e+02],-0.10302471194087794,25.291948080062866
3,0.42715559960356791,[ 0.10565338  0.78344671  1.        ],[ 0.68674699  0.53194765  0.10307414],[ 0.18313253  0.63365429  0.18688525],[  6.29700032e-01   4.40589594e-01   3.34557354e-01   6.72666667e+02],-0.2003949936969272,25.33044409751892
4,0.30376610505450941,[ 0.05263158  0.54237288  0.16413374],[ 0.15060241  0.36951501  0.19529837],[ 0.07800312  0.43956044  0.17836499],[  2.53046066e-01   2.38471931e-01   2.31976182e-01   6.72666667e+02],-0.10063200766258761,30.235386848449707
5,0.34440039643211101,[ 0.04212454  0.70967742  0.32786885],[ 0.13855422  0.27097768  0.57866184],[ 0.06460674  0.39220056  0.41857423],[  3.59890271e-01   3.29397912e-01   2.91793843e-01   6.72666667e+02],-0.099612012790037091,33.765331983566284
6,0.27056491575817643,[ 0.10568295  0.71229698  0.22773973],[ 0.63855422  0.23633564  0.24050633],[ 0.18135158  0.35491329  0.23394899],[  3.48573220e-01   3.71798730e-01   2.56737955e-01   6.72666667e+02],-0.10269056107652583,38.23899817466736
7,0.30376610505450941,[ 0.05285412  0.53923767  0.16385911],[ 0.15060241  0.37028483  0.19349005],[ 0.07824726  0.43906892  0.1774461 ],[  2.51983634e-01   2.38125766e-01   2.31587427e-01   6.72666667e+02],-0.10323397143500625,41.39122986793518
8,0.37661050545094155,[ 0.08847737  0.70892857  0.32921811],[ 0.25903614  0.30561971  0.57866184],[ 0.13190184  0.42711135  0.41967213],[  3.75541348e-01   3.81105899e-01   3.26228441e-01   6.72666667e+02],-0.1049152391457549,45.64121103286743
9,0.2898909811694747,[ 0.10103093  0.71192661  0.19681909],[ 0.59036145  0.2986913   0.17902351],[ 0.17253521  0.4208243   0.1875    ],[  3.36592206e-01   3.56025418e-01   2.60286502e-01   6.72666667e+02],-0.10095266681643751,51.4001669883728
10,0.31318136769078297,[ 0.042       0.55345212  0.18387097],[ 0.12650602  0.382602    0.20614828],[ 0.06306306  0.45243514  0.1943734 ],[  2.59774361e-01   2.38418769e-01   2.36623868e-01   6.72666667e+02],-0.10499143201313461,54.1294960975647
