 , ,Classe 0,Classe 1,Classe 2,All Class
Execution Number,Accuracy ,Precision/Recall/F-Score,Precision/Recall/F-Score,Precision/Recall/F-Score,Precision/Recall/F-Score/Support,Silhouette Coefficient,Time (seconds)
1,0.32730923694779118,[ 0.33747412  0.          0.        ],[ 0.98192771  0.          0.        ],[ 0.50231125  0.          0.        ],[  1.12491373e-01   3.27309237e-01   1.67437083e-01   1.66000000e+02],-0.59048611436597631,9.54200005531311
2,0.31325301204819278,[ 0.27272727  0.32403433  0.0952381 ],[ 0.01807229  0.90963855  0.01204819],[ 0.03389831  0.4778481   0.02139037],[   0.23066657    0.31325301    0.17771226  166.        ],-0.25037194189007,7.585000038146973
3,0.31526104417670681,[ 0.          0.          0.32172131],[ 0.          0.          0.94578313],[ 0.          0.          0.48012232],[  1.07240437e-01   3.15261044e-01   1.60040775e-01   1.66000000e+02],-0.069965660602486657,8.049999952316284
4,0.31526104417670681,[ 0.16666667  0.32489451  0.11111111],[ 0.0060241   0.92771084  0.01204819],[ 0.01162791  0.48125     0.02173913],[   0.20089076    0.31526104    0.17153901  166.        ],-0.39172150728441951,10.348000049591064
5,0.32128514056224899,[ 0.          0.32510288  0.2       ],[ 0.          0.95180723  0.01204819],[ 0.          0.48466258  0.02272727],[   0.17503429    0.32128514    0.16912995  166.        ],-0.48069518035262332,10.07800006866455
6,0.33734939759036142,[ 0.33742331  0.          1.        ],[ 0.9939759   0.          0.01807229],[ 0.50381679  0.          0.03550296],[   0.44580777    0.3373494     0.17977325  166.        ],-0.0746242874882143,11.444000005722046
7,0.32128514056224899,[ 1.          0.32640333  0.06666667],[ 0.01204819  0.94578313  0.0060241 ],[ 0.02380952  0.48531685  0.01104972],[   0.46435666    0.32128514    0.17339203  166.        ],-0.37523645122791721,13.0
8,0.33333333333333331,[ 0.        0.336714  0.      ],[ 0.  1.  0.],[ 0.          0.50379363  0.        ],[  1.12237999e-01   3.33333333e-01   1.67931209e-01   1.66000000e+02],-0.53479772749534726,14.053999900817871
9,0.32730923694779118,[ 0.33402062  0.33333333  0.        ],[ 0.97590361  0.0060241   0.        ],[ 0.49769585  0.01183432  0.        ],[   0.22245132    0.32730924    0.16984339  166.        ],-0.37482040739211137,15.96399998664856
10,0.32931726907630521,[ 0.125       0.32854209  1.        ],[ 0.0060241   0.96385542  0.01807229],[ 0.01149425  0.49004594  0.03550296],[   0.48451403    0.32931727    0.17901438  166.        ],-0.5151705149823893,17.003999948501587
11,0.32329317269076308,[ 0.14285714  0.          0.32989691],[ 0.0060241   0.          0.96385542],[ 0.01156069  0.          0.49155146],[  1.57584683e-01   3.23293173e-01   1.67704051e-01   1.66000000e+02],-0.39024620626508577,18.993000030517578
12,0.30522088353413657,[ 0.33333333  0.31182796  0.11111111],[ 0.03012048  0.87349398  0.01204819],[ 0.05524862  0.45958796  0.02173913],[   0.2520908     0.30522088    0.17885857  166.        ],-0.20501895177147947,19.975000143051147
13,0.33132530120481929,[ 0.45454545  0.33126294  0.        ],[ 0.03012048  0.96385542  0.        ],[ 0.05649718  0.49306626  0.        ],[   0.26193613    0.3313253     0.18318781  166.        ],-0.34922638560041203,22.044999837875366
14,0.33132530120481929,[ 0.33690987  0.42857143  0.11111111],[ 0.94578313  0.03614458  0.01204819],[ 0.49683544  0.06666667  0.02173913],[   0.29219747    0.3313253     0.19508041  166.        ],-0.16523912982116198,22.983999967575073
15,0.3353413654618474,[ 0.33264033  0.          0.46666667],[ 0.96385542  0.          0.04216867],[ 0.49459042  0.          0.07734807],[   0.26643567    0.33534137    0.19064616  166.        ],0.0085893244552979336,25.213000059127808
16,0.29919678714859438,[ 0.09090909  0.31648352  0.125     ],[ 0.0060241   0.86746988  0.02409639],[ 0.01129944  0.46376812  0.04040404],[   0.1774642     0.29919679    0.17182386  166.        ],-0.29969272610961722,25.85800004005432
17,0.3353413654618474,[ 0.33403805  0.44444444  0.14285714],[ 0.95180723  0.04819277  0.0060241 ],[ 0.49452269  0.08695652  0.01156069],[   0.30711321    0.33534137    0.19767997  166.        ],-0.15099074364324827,27.467000007629395
18,0.32329317269076308,[ 0.4         0.          0.32648871],[ 0.01204819  0.          0.95783133],[ 0.02339181  0.          0.48698315],[   0.2421629     0.32329317    0.17012499  166.        ],-0.15443273244487024,29.5479998588562
19,0.32329317269076308,[ 0.30769231  0.          0.32708333],[ 0.02409639  0.          0.94578313],[ 0.04469274  0.          0.48606811],[   0.21159188    0.32329317    0.17692028  166.        ],0.017861506239015085,30.199000120162964
20,0.3253012048192771,[ 0.3255814   0.15789474  0.83333333],[ 0.92771084  0.01807229  0.03012048],[ 0.48200313  0.03243243  0.05813953],[   0.43893649    0.3253012     0.19085837  166.        ],-0.23389560216195882,32.67300009727478
21,0.31927710843373491,[ 0.16666667  0.          0.32377049],[ 0.0060241   0.          0.95180723],[ 0.01162791  0.          0.48318043],[  1.63479053e-01   3.19277108e-01   1.64936112e-01   1.66000000e+02],0.0089147953209459483,33.424999952316284
22,0.32931726907630521,[ 0.5         0.          0.32987552],[ 0.03012048  0.          0.95783133],[ 0.05681818  0.          0.49074074],[   0.27662517    0.32931727    0.18251964  166.        ],-0.28951655503091267,34.639999866485596
23,0.36546184738955823,[ 0.34716157  0.55263158  1.        ],[ 0.95783133  0.12650602  0.01204819],[ 0.50961538  0.20588235  0.02380952],[   0.63326438    0.36546185    0.24643575  166.        ],-0.38802072307923796,37.15499997138977
24,0.3493975903614458,[ 0.3418259   0.66666667  0.11111111],[ 0.96987952  0.07228916  0.0060241 ],[ 0.50549451  0.13043478  0.01142857],[   0.37320123    0.34939759    0.21578595  166.        ],-0.24328124841010779,38.04900002479553
25,0.3353413654618474,[ 0.34782609  0.33617021  0.2       ],[ 0.04819277  0.95180723  0.0060241 ],[ 0.08465608  0.49685535  0.01169591],[   0.29466543    0.33534137    0.19773578  166.        ],-0.16036947179502625,39.598999977111816
 ,Accuracy,Precison,Recall,F-Score
Media Final:,0.32690763052208838,0.27617759710047052,0.32690763052208832,0.181844442385351
