 , ,Classe 0,Classe 1,Classe 2,All Class
Execution Number,Accuracy ,Precision/Recall/F-Score,Precision/Recall/F-Score,Precision/Recall/F-Score,Precision/Recall/F-Score/Support,Silhouette Coefficient,Time (seconds)
1,0.87986348122866898,[ 0.14285714  0.8869745 ],[ 0.01204819  0.99076212],[ 0.02222222  0.936     ],[  5.14915822e-01   5.01405159e-01   4.79111111e-01   7.32500000e+02],0.17690359038561018,14.384999990463257
2,0.86143344709897607,[ 0.02564103  0.88429173],[ 0.0060241   0.97074673],[ 0.0097561   0.92550459],[  4.54966375e-01   4.88385412e-01   4.67630342e-01   7.32500000e+02],-0.63984205929157167,18.74399995803833
3,0.86552901023890783,[ 0.05714286  0.88531469],[ 0.01204819  0.97459584],[ 0.0199005   0.92781239],[  4.71228771e-01   4.93322018e-01   4.73856442e-01   7.32500000e+02],-0.41627807388959798,23.58799982070923
4,0.13651877133105803,[ 0.11546536  0.97222222],[ 0.9939759  0.0269438],[ 0.20689655  0.05243446],[  5.43843791e-01   5.10459853e-01   1.29665504e-01   7.32500000e+02],-0.62739157246827104,28.449000120162964
5,0.17133105802047782,[ 0.11583578  0.92079208],[ 0.95180723  0.07159353],[ 0.20653595  0.13285714],[  5.18313928e-01   5.11700381e-01   1.69696545e-01   7.32500000e+02],-0.23713125916673178,33.980000019073486
6,0.87030716723549484,[ 0.125       0.88695045],[ 0.02409639  0.97844496],[ 0.04040404  0.93045388],[  5.05975227e-01   5.01270672e-01   4.85428960e-01   7.32500000e+02],0.078412911756470083,38.76600003242493
7,0.86416382252559731,[ 0.02857143  0.88461538],[ 0.0060241   0.97382602],[ 0.00995025  0.92707952],[  4.56593407e-01   4.89925058e-01   4.68514883e-01   7.32500000e+02],-0.62260933458929368,44.133999824523926
8,0.1310580204778157,[ 0.11535789  1.        ],[ 1.         0.0200154],[ 0.20685358  0.03924528],[  5.57678944e-01   5.10007698e-01   1.23049433e-01   7.32500000e+02],-0.83819297754275701,50.37400007247925
9,0.13720136518771331,[ 0.11554622  0.97297297],[ 0.9939759   0.02771363],[ 0.20702635  0.05389222],[  5.44259596e-01   5.10844765e-01   1.30459282e-01   7.32500000e+02],-0.63184069676228305,54.355000019073486
10,0.87508532423208196,[ 0.05263158  0.88589212],[ 0.0060241   0.98614319],[ 0.01081081  0.93333333],[  4.69261848e-01   4.96083642e-01   4.72072072e-01   7.32500000e+02],-0.45790609020487216,60.111000061035156
