 , ,Classe 0,Classe 1,Classe 2,All Class
Execution Number,Accuracy ,Precision/Recall/F-Score,Precision/Recall/F-Score,Precision/Recall/F-Score,Precision/Recall/F-Score/Support,Silhouette Coefficient,Time (seconds)
1,0.4759036144578313,[ 0.44285714  0.48473282],[ 0.18674699  0.76506024],[ 0.26271186  0.59345794],[   0.46379498    0.47590361    0.4280849   166.        ],-0.0017703033851351839,16.30299997329712
2,0.49397590361445781,[ 0.48484848  0.4962406 ],[ 0.19277108  0.79518072],[ 0.27586207  0.61111111],[   0.49054454    0.4939759     0.44348659  166.        ],-0.0056316809252191661,36.50699996948242
3,0.50602409638554213,[ 0.515625    0.50373134],[ 0.19879518  0.81325301],[ 0.28695652  0.62211982],[   0.50967817    0.5060241     0.45453817  166.        ],-0.0056391162706217442,56.84299993515015
4,0.51506024096385539,[ 0.53424658  0.50965251],[ 0.23493976  0.79518072],[ 0.32635983  0.62117647],[   0.52194954    0.51506024    0.47376815  166.        ],-0.004118770276324183,77.41799998283386
5,0.50903614457831325,[ 0.52173913  0.50570342],[ 0.21686747  0.80120482],[ 0.30638298  0.62004662],[   0.51372128    0.50903614    0.4632148   166.        ],-0.0052511586881325021,98.65400004386902
6,0.5,[ 0.5  0.5],[ 0.27710843  0.72289157],[ 0.35658915  0.591133  ],[   0.5           0.5           0.47386108  166.        ],-0.0060240963855421274,118.29399991035461
7,0.44277108433734941,[ 0.37662338  0.4627451 ],[ 0.1746988   0.71084337],[ 0.23868313  0.56057007],[   0.41968424    0.44277108    0.3996266   166.        ],0.016425651909645931,137.61299991607666
8,0.53614457831325302,[ 0.58823529  0.52272727],[ 0.24096386  0.8313253 ],[ 0.34188034  0.64186047],[   0.55548128    0.53614458    0.4918704   166.        ],0.0026752353839702794,158.40100002288818
9,0.54216867469879515,[ 0.60294118  0.52651515],[ 0.24698795  0.8373494 ],[ 0.35042735  0.64651163],[   0.56472816    0.54216867    0.49846949  166.        ],0.0055677736018963555,178.92700004577637
10,0.50301204819277112,[ 0.50666667  0.50194553],[ 0.22891566  0.77710843],[ 0.3153527   0.60992908],[   0.5043061     0.50301205    0.46264089  166.        ],-0.0058882347571381629,199.30799984931946
11,0.5,[ 0.5  0.5],[ 0.18674699  0.81325301],[ 0.27192982  0.61926606],[   0.5           0.5           0.44559794  166.        ],-0.0060240963855420927,221.24699997901917
12,0.53915662650602414,[ 0.5915493   0.52490421],[ 0.25301205  0.8253012 ],[ 0.35443038  0.64168618],[   0.55822676    0.53915663    0.49805828  166.        ],0.0044609109439521571,243.4079999923706
13,0.50602409638554213,[ 0.51515152  0.5037594 ],[ 0.20481928  0.80722892],[ 0.29310345  0.62037037],[   0.50945546    0.5060241     0.45673691  166.        ],-0.0056316809252191617,268.9619998931885
14,0.49397590361445781,[ 0.48717949  0.49606299],[ 0.22891566  0.75903614],[ 0.31147541  0.6       ],[   0.49162124    0.4939759     0.4557377   166.        ],-0.0056062065346303147,295.56500005722046
15,0.47891566265060243,[ 0.45454545  0.48627451],[ 0.21084337  0.74698795],[ 0.28806584  0.58907363],[   0.47040998    0.47891566    0.43856974  166.        ],-0.0024541501741817558,318.21399998664856
16,0.5331325301204819,[ 0.57142857  0.52156863],[ 0.26506024  0.80120482],[ 0.36213992  0.63182898],[   0.5464986     0.53313253    0.49698445  166.        ],0.0021108731787911755,341.0149998664856
17,0.54518072289156627,[ 0.59493671  0.52964427],[ 0.28313253  0.80722892],[ 0.38367347  0.63961814],[   0.56229049    0.54518072    0.5116458   166.        ],0.0086212187978191475,367.37999987602234
18,0.50602409638554213,[ 0.51219512  0.504     ],[ 0.25301205  0.75903614],[ 0.33870968  0.60576923],[   0.50809756    0.5060241     0.47223945  166.        ],-0.0056024289227293647,391.3159999847412
19,0.51807228915662651,[ 0.53846154  0.51181102],[ 0.25301205  0.78313253],[ 0.3442623   0.61904762],[   0.52513628    0.51807229    0.48165496  166.        ],-0.0032973113329193898,416.539999961853
20,0.58132530120481929,[ 0.67532468  0.55294118],[ 0.31325301  0.84939759],[ 0.42798354  0.66983373],[   0.61413293    0.5813253     0.54890863  166.        ],0.037251389771125437,442.4429998397827
21,0.49698795180722893,[ 0.49333333  0.49805447],[ 0.22289157  0.77108434],[ 0.30705394  0.60520095],[   0.4956939     0.49698795    0.45612744  166.        ],-0.0058882347571381647,468.00300002098083
22,0.52409638554216864,[ 0.55405405  0.51550388],[ 0.24698795  0.80120482],[ 0.34166667  0.62735849],[   0.53477897    0.52409639    0.48451258  166.        ],-0.0015885717717047327,495.3639998435974
23,0.51204819277108438,[ 0.52857143  0.50763359],[ 0.22289157  0.80120482],[ 0.31355932  0.62149533],[   0.51810251    0.51204819    0.46752732  166.        ],-0.0047620439216845625,523.2259998321533
24,0.50301204819277112,[ 0.50588235  0.50202429],[ 0.25903614  0.74698795],[ 0.34262948  0.60048426],[   0.50395332    0.50301205    0.47155687  166.        ],-0.0058882745730763188,551.1429998874664
25,0.51204819277108438,[ 0.52325581  0.50813008],[ 0.27108434  0.75301205],[ 0.35714286  0.60679612],[   0.51569295    0.51204819    0.48196949  166.        ],-0.004643952185649892,577.8179998397827
 ,Accuracy,Precison,Recall,F-Score
Media Final:,0.51096385542168665,0.51591916939905214,0.51096385542168665,0.47029554587022182
