 , ,Classe 0,Classe 1,Classe 2,All Class
Execution Number,Accuracy ,Precision/Recall/F-Score,Precision/Recall/F-Score,Precision/Recall/F-Score,Precision/Recall/F-Score/Support,Silhouette Coefficient,Time (seconds)
1,0.52500000000000002,[ 0.54901961  0.51677852],[ 0.28  0.77],[ 0.37086093  0.6184739 ],[   0.53289907    0.525         0.49466741  300.        ],0.0014194422169246461,275.10599994659424
2,0.5033333333333333,[ 0.50625     0.50227273],[ 0.27        0.73666667],[ 0.35217391  0.5972973 ],[   0.50426136    0.50333333    0.47473561  300.        ],-0.0032025124990174435,596.1010000705719
3,0.50166666666666671,[ 0.50285714  0.50117647],[ 0.29333333  0.71      ],[ 0.37052632  0.58758621],[   0.50201681    0.50166667    0.47905626  300.        ],-0.0032921037962773446,905.4779999256134
4,0.49166666666666664,[ 0.48322148  0.49445676],[ 0.24        0.74333333],[ 0.32071269  0.59387483],[   0.48883912    0.49166667    0.45729376  300.        ],-0.0027087769204773944,1209.473000049591
5,0.46999999999999997,[ 0.43835616  0.48017621],[ 0.21333333  0.72666667],[ 0.28699552  0.57824934],[   0.45926619    0.47          0.43262243  300.        ],0.0032213961602581285,1482.8150000572205
6,0.48166666666666669,[ 0.46308725  0.48780488],[ 0.23        0.73333333],[ 0.30734967  0.58588549],[   0.47544606    0.48166667    0.44661758  300.        ],-0.00070434983717434282,1758.3740000724792
7,0.51500000000000001,[ 0.53103448  0.50989011],[ 0.25666667  0.77333333],[ 0.34606742  0.61456954],[   0.5204623     0.515         0.48031848  300.        ],-0.0015440603279875612,2033.2290000915527
8,0.49666666666666665,[ 0.49390244  0.49770642],[ 0.27        0.72333333],[ 0.34913793  0.58967391],[   0.49580443    0.49666667    0.46940592  300.        ],-0.0032023461918907628,2307.0060000419617
9,0.50166666666666671,[ 0.50306748  0.50114416],[ 0.27333333  0.73      ],[ 0.35421166  0.59430122],[   0.50210582    0.50166667    0.47425644  300.        ],-0.0032917813793381869,2589.114000082016
10,0.5,[ 0.5  0.5],[ 0.24666667  0.75333333],[ 0.33035714  0.60106383],[   0.5           0.5           0.46571049  300.        ],-0.0033333333333333218,2868.6589999198914
11,0.48833333333333334,[ 0.47586207  0.49230769],[ 0.23        0.74666667],[ 0.31011236  0.59337748],[   0.48408488    0.48833333    0.45174492  300.        ],-0.0022032419353169232,3149.1470000743866
12,0.50166666666666671,[ 0.50310559  0.50113895],[ 0.27        0.73333333],[ 0.35140998  0.59539919],[   0.50212227    0.50166667    0.47340458  300.        ],-0.0032917355498333889,3432.510999917984
13,0.51666666666666672,[ 0.53289474  0.51116071],[ 0.27        0.76333333],[ 0.35840708  0.61229947],[   0.52202773    0.51666667    0.48535327  300.        ],-0.0011116445017191653,3711.7170000076294
14,0.505,[ 0.5106383   0.50326797],[ 0.24  0.77],[ 0.32653061  0.60869565],[   0.50695314    0.505         0.46761313  300.        ],-0.0030809431256960955,3994.542000055313
15,0.5,[ 0.5  0.5],[ 0.26  0.74],[ 0.34210526  0.59677419],[   0.5           0.5           0.46943973  300.        ],-0.0033333333333332845,4272.082999944687
16,0.48333333333333334,[ 0.46987952  0.48847926],[ 0.26        0.70666667],[ 0.33476395  0.57765668],[   0.47917939    0.48333333    0.45621031  300.        ],-0.001045319901086647,4554.908999919891
17,0.49833333333333335,[ 0.4969697   0.49885057],[ 0.27333333  0.72333333],[ 0.35268817  0.59047619],[   0.49791014    0.49833333    0.47158218  300.        ],-0.0032918299505385442,4838.954999923706
18,0.495,[ 0.48905109  0.49676026],[ 0.22333333  0.76666667],[ 0.30663616  0.60288336],[   0.49290568    0.495         0.45475976  300.        ],-0.0030836524595027415,5117.976999998093
19,0.46333333333333332,[ 0.43209877  0.47488584],[ 0.23333333  0.69333333],[ 0.3030303   0.56368564],[   0.45349231    0.46333333    0.43335797  300.        ],0.0066602605308114056,5399.898000001907
20,0.50166666666666671,[ 0.50331126  0.50111359],[ 0.25333333  0.75      ],[ 0.33702882  0.60080107],[   0.50221242    0.50166667    0.46891495  300.        ],-0.0032915603913437163,5685.551000118256
21,0.49166666666666664,[ 0.48447205  0.49430524],[ 0.26        0.72333333],[ 0.33839479  0.58728011],[   0.48938864    0.49166667    0.46283745  300.        ],-0.0026944124708087195,5974.2009999752045
22,0.5033333333333333,[ 0.50649351  0.50224215],[ 0.26        0.74666667],[ 0.34361233  0.60053619],[   0.50436783    0.50333333    0.47207426  300.        ],-0.0032029243473143411,6264.6050000190735
23,0.48999999999999999,[ 0.48076923  0.49324324],[ 0.25  0.73],[ 0.32894737  0.58870968],[   0.48700624    0.49          0.45882852  300.        ],-0.0024538880911243646,6561.3150000572205
24,0.51500000000000001,[ 0.53061224  0.50993377],[ 0.26  0.77],[ 0.34899329  0.61354582],[   0.52027301    0.515         0.48126955  300.        ],-0.0015319337770799339,6856.901999950409
25,0.52166666666666661,[ 0.54248366  0.51454139],[ 0.27666667  0.76666667],[ 0.36644592  0.61579652],[   0.52851252    0.52166667    0.49112122  300.        ],0.00030007140866679843,7157.804000139236
 ,Accuracy,Precison,Recall,F-Score
Media Final:,0.49846666666666672,0.49806149384840576,0.49846666666666672,0.46692784728562542
