 , ,Classe 0,Classe 1,Classe 2,All Class
Execution Number,Accuracy ,Precision/Recall/F-Score,Precision/Recall/F-Score,Precision/Recall/F-Score,Precision/Recall/F-Score/Support,Silhouette Coefficient,Time (seconds)
1,0.53166666666666662,[ 0.53220339  0.53114754],[ 0.52333333  0.54      ],[ 0.52773109  0.53553719],[   0.53167547    0.53166667    0.53163414  300.        ],0.0046030394141246007,114.15499997138977
2,0.49666666666666665,[ 0.49655172  0.49677419],[ 0.48        0.51333333],[ 0.48813559  0.50491803],[   0.49666296    0.49666667    0.49652681  300.        ],-0.0032063774912053102,115.30800008773804
3,0.53000000000000003,[ 0.52884615  0.53125   ],[ 0.55  0.51],[ 0.53921569  0.52040816],[   0.53004808    0.53          0.52981192  300.        ],0.0038318238391250275,114.42300009727478
4,0.47999999999999998,[ 0.48101266  0.47887324],[ 0.50666667  0.45333333],[ 0.49350649  0.46575342],[   0.47994295    0.48          0.47962996  300.        ],-4.6711268644987018e-06,112.99599981307983
5,0.48833333333333334,[ 0.48805461  0.48859935],[ 0.47666667  0.5       ],[ 0.48229342  0.49423394],[   0.48832698    0.48833333    0.48826368  300.        ],-0.0021226298920832818,114.10400009155273
6,0.49333333333333335,[ 0.49342105  0.49324324],[ 0.5         0.48666667],[ 0.49668874  0.48993289],[   0.49333215    0.49333333    0.49331081  300.        ],-0.0029002222426200955,113.39300012588501
7,0.49833333333333335,[ 0.49834983  0.4983165 ],[ 0.50333333  0.49333333],[ 0.50082919  0.4958124 ],[   0.49833317    0.49833333    0.49832079  300.        ],-0.0032945904521670209,114.52800011634827
8,0.47833333333333333,[ 0.47619048  0.48012232],[ 0.43333333  0.52333333],[ 0.45375218  0.50079745],[   0.4781564     0.47833333    0.47727481  300.        ],0.00053976019186786851,113.71000003814697
9,0.49166666666666664,[ 0.49152542  0.49180328],[ 0.48333333  0.5       ],[ 0.48739496  0.49586777],[   0.49166435    0.49166667    0.49163136  300.        ],-0.0026830485085329288,113.17200016975403
10,0.49666666666666665,[ 0.4964539   0.49685535],[ 0.46666667  0.52666667],[ 0.48109966  0.51132686],[   0.49665462    0.49666667    0.49621326  300.        ],-0.0032062827685289258,113.88299989700317
11,0.48499999999999999,[ 0.48504983  0.48494983],[ 0.48666667  0.48333333],[ 0.48585691  0.48414023],[   0.48499983    0.485         0.48499857  300.        ],-0.0013969906180438855,112.85400009155273
12,0.48166666666666669,[ 0.48220065  0.48109966],[ 0.49666667  0.46666667],[ 0.48932677  0.47377327],[   0.48165015    0.48166667    0.48155002  300.        ],-0.0005089195342301158,114.4670000076294
13,0.49166666666666664,[ 0.49134948  0.49196141],[ 0.47333333  0.51      ],[ 0.48217317  0.50081833],[   0.49165545    0.49166667    0.49149575  300.        ],-0.0026829402466147208,112.61500000953674
14,0.48666666666666669,[ 0.48648649  0.48684211],[ 0.48        0.49333333],[ 0.48322148  0.49006623],[   0.4866643     0.48666667    0.48664385  300.        ],-0.0017802880792978375,114.0920000076294
15,0.49666666666666665,[ 0.49659864  0.49673203],[ 0.48666667  0.50666667],[ 0.49158249  0.50165017],[   0.49666533    0.49666667    0.49661633  300.        ],-0.0032064046682714446,112.64100003242493
16,0.49333333333333335,[ 0.49354839  0.49310345],[ 0.51        0.47666667],[ 0.50163934  0.48474576],[   0.49332592    0.49333333    0.49319255  300.        ],-0.0029001468429137641,112.37199997901917
17,0.49666666666666665,[ 0.49640288  0.49689441],[ 0.46        0.53333333],[ 0.47750865  0.51446945],[   0.49664864    0.49666667    0.49598905  300.        ],-0.0032062154928244003,113.70000004768372
18,0.46500000000000002,[ 0.46623794  0.46366782],[ 0.48333333  0.44666667],[ 0.47463175  0.45500849],[   0.46495288    0.465         0.46482012  300.        ],0.006257083659454302,114.99699997901917
19,0.5033333333333333,[ 0.50337838  0.50328947],[ 0.49666667  0.51      ],[ 0.5         0.50662252],[   0.50333393    0.50333333    0.50331126  300.        ],-0.0032064131713476279,115.17600011825562
20,0.5033333333333333,[ 0.50347222  0.50320513],[ 0.48333333  0.52333333],[ 0.49319728  0.5130719 ],[   0.50333868    0.50333333    0.50313459  300.        ],-0.0032063588360589897,114.50099992752075
21,0.47333333333333333,[ 0.47163121  0.47484277],[ 0.44333333  0.50333333],[ 0.45704467  0.48867314],[   0.47323699    0.47333333    0.47285891  300.        ],0.0024009182260934857,114.22099995613098
22,0.49833333333333335,[ 0.49830508  0.49836066],[ 0.49        0.50666667],[ 0.49411765  0.50247934],[   0.49833287    0.49833333    0.49829849  300.        ],-0.0032945875222426648,112.72699999809265
23,0.48166666666666669,[ 0.48135593  0.48196721],[ 0.47333333  0.49      ],[ 0.47731092  0.48595041],[   0.48166157    0.48166667    0.48163067  300.        ],-0.00050905850229456039,114.56299996376038
24,0.52166666666666661,[ 0.52090032  0.52249135],[ 0.54        0.50333333],[ 0.53027823  0.51273345],[   0.52169584    0.52166667    0.52150584  300.        ],0.00053815218570145646,127.53399991989136
25,0.49666666666666665,[ 0.4969697  0.4962963],[ 0.54666667  0.44666667],[ 0.52063492  0.47017544],[   0.496633      0.49666667    0.49540518  300.        ],-0.0032060421078626195,111.0479998588562
26,0.53000000000000003,[ 0.52980132  0.53020134],[ 0.53333333  0.52666667],[ 0.53156146  0.52842809],[   0.53000133    0.53          0.52999478  300.        ],0.0038312549575574978,109.92400002479553
27,0.46666666666666667,[ 0.46753247  0.46575342],[ 0.48        0.45333333],[ 0.47368421  0.45945946],[   0.46664295    0.46666667    0.46657183  300.        ],0.0054117603127380853,119.76500010490417
28,0.505,[ 0.50501672  0.50498339],[ 0.50333333  0.50666667],[ 0.50417362  0.50582363],[   0.50500006    0.505         0.50499862  300.        ],-0.0030748246605566813,110.00300002098083
29,0.51666666666666672,[ 0.51655629  0.51677852],[ 0.52        0.51333333],[ 0.51827243  0.51505017],[   0.51666741    0.51666667    0.5166613   300.        ],-0.00097312114124373868,108.41199994087219
30,0.51833333333333331,[ 0.51768489  0.51903114],[ 0.53666667  0.5       ],[ 0.52700491  0.50933786],[   0.51835801    0.51833333    0.51817139  300.        ],-0.00050882131557006868,107.86699986457825
 ,Accuracy,Precison,Recall,F-Score
Media Final:,0.49655555555555553,0.49654207471737971,0.49655555555555553,0.49634888848517106
